"","hour","floor","direction","count"
"1","0","01","down",108
"2","1","01","down",119
"3","2","01","down",122
"4","3","01","down",105
"5","4","01","down",96
"6","5","01","down",163
"7","6","01","down",654
"8","7","01","down",427
"9","8","01","down",349
"10","9","01","down",348
"11","10","01","down",331
"12","11","01","down",315
"13","12","01","down",334
"14","13","01","down",335
"15","14","01","down",340
"16","15","01","down",335
"17","16","01","down",416
"18","17","01","down",383
"19","18","01","down",322
"20","19","01","down",326
"21","20","01","down",253
"22","21","01","down",255
"23","22","01","down",319
"24","23","01","down",228
"25","0","02","down",5
"26","1","02","down",11
"27","2","02","down",4
"28","3","02","down",13
"29","4","02","down",6
"30","5","02","down",4
"31","6","02","down",26
"32","7","02","down",55
"33","8","02","down",110
"34","9","02","down",167
"35","10","02","down",146
"36","11","02","down",145
"37","12","02","down",81
"38","13","02","down",122
"39","14","02","down",154
"40","15","02","down",166
"41","16","02","down",157
"42","17","02","down",83
"43","18","02","down",57
"44","19","02","down",39
"45","20","02","down",20
"46","21","02","down",17
"47","22","02","down",18
"48","23","02","down",21
"49","0","03","down",78
"50","1","03","down",76
"51","2","03","down",59
"52","3","03","down",49
"53","4","03","down",67
"54","5","03","down",56
"55","6","03","down",67
"56","7","03","down",112
"57","8","03","down",215
"58","9","03","down",275
"59","10","03","down",260
"60","11","03","down",285
"61","12","03","down",263
"62","13","03","down",245
"63","14","03","down",292
"64","15","03","down",300
"65","16","03","down",325
"66","17","03","down",304
"67","18","03","down",222
"68","19","03","down",158
"69","20","03","down",244
"70","21","03","down",166
"71","22","03","down",146
"72","23","03","down",121
"73","0","04","down",62
"74","1","04","down",52
"75","2","04","down",60
"76","3","04","down",54
"77","4","04","down",78
"78","5","04","down",30
"79","6","04","down",27
"80","7","04","down",183
"81","8","04","down",285
"82","9","04","down",227
"83","10","04","down",214
"84","11","04","down",283
"85","12","04","down",279
"86","13","04","down",222
"87","14","04","down",271
"88","15","04","down",259
"89","16","04","down",276
"90","17","04","down",279
"91","18","04","down",243
"92","19","04","down",200
"93","20","04","down",235
"94","21","04","down",136
"95","22","04","down",160
"96","23","04","down",65
"97","0","05","down",117
"98","1","05","down",73
"99","2","05","down",68
"100","3","05","down",60
"101","4","05","down",79
"102","5","05","down",62
"103","6","05","down",145
"104","7","05","down",299
"105","8","05","down",389
"106","9","05","down",396
"107","10","05","down",397
"108","11","05","down",531
"109","12","05","down",512
"110","13","05","down",398
"111","14","05","down",523
"112","15","05","down",467
"113","16","05","down",560
"114","17","05","down",487
"115","18","05","down",398
"116","19","05","down",285
"117","20","05","down",330
"118","21","05","down",200
"119","22","05","down",160
"120","23","05","down",70
"121","0","06","down",66
"122","1","06","down",51
"123","2","06","down",16
"124","3","06","down",13
"125","4","06","down",24
"126","5","06","down",29
"127","6","06","down",97
"128","7","06","down",227
"129","8","06","down",293
"130","9","06","down",294
"131","10","06","down",302
"132","11","06","down",352
"133","12","06","down",356
"134","13","06","down",332
"135","14","06","down",306
"136","15","06","down",311
"137","16","06","down",387
"138","17","06","down",429
"139","18","06","down",354
"140","19","06","down",330
"141","20","06","down",253
"142","21","06","down",191
"143","22","06","down",143
"144","23","06","down",70
"145","0","07","down",58
"146","1","07","down",41
"147","2","07","down",32
"148","3","07","down",20
