"","hour","floor","direction","count"
"1","0","01","down",23
"2","1","01","down",16
"3","2","01","down",8
"4","3","01","down",14
"5","4","01","down",10
"6","5","01","down",20
"7","6","01","down",91
"8","7","01","down",171
"9","8","01","down",125
"10","9","01","down",146
"11","10","01","down",182
"12","11","01","down",169
"13","12","01","down",176
"14","13","01","down",201
"15","14","01","down",172
"16","15","01","down",172
"17","16","01","down",139
"18","17","01","down",117
"19","18","01","down",116
"20","19","01","down",89
"21","20","01","down",92
"22","21","01","down",78
"23","22","01","down",65
"24","23","01","down",45
"25","0","02","down",1
"26","1","02","down",0
"27","2","02","down",1
"28","3","02","down",1
"29","4","02","down",1
"30","5","02","down",4
"31","6","02","down",8
"32","7","02","down",24
"33","8","02","down",59
"34","9","02","down",91
"35","10","02","down",99
"36","11","02","down",93
"37","12","02","down",82
"38","13","02","down",81
"39","14","02","down",97
"40","15","02","down",93
"41","16","02","down",82
"42","17","02","down",42
"43","18","02","down",28
"44","19","02","down",6
"45","20","02","down",12
"46","21","02","down",5
"47","22","02","down",4
"48","23","02","down",4
"49","0","04","down",42
"50","1","04","down",23
"51","2","04","down",9
"52","3","04","down",10
"53","4","04","down",6
"54","5","04","down",2
"55","6","04","down",17
"56","7","04","down",65
"57","8","04","down",155
"58","9","04","down",152
"59","10","04","down",156
"60","11","04","down",258
"61","12","04","down",298
"62","13","04","down",216
"63","14","04","down",233
"64","15","04","down",278
"65","16","04","down",211
"66","17","04","down",232
"67","18","04","down",181
"68","19","04","down",134
"69","20","04","down",265
"70","21","04","down",99
"71","22","04","down",44
"72","23","04","down",17
"73","0","08","down",68
"74","1","08","down",40
"75","2","08","down",16
"76","3","08","down",20
"77","4","08","down",18
"78","5","08","down",31
"79","6","08","down",138
"80","7","08","down",286
"81","8","08","down",390
"82","9","08","down",424
"83","10","08","down",379
"84","11","08","down",387
"85","12","08","down",416
"86","13","08","down",364
"87","14","08","down",336
"88","15","08","down",371
"89","16","08","down",410
"90","17","08","down",467
"91","18","08","down",432
"92","19","08","down",409
"93","20","08","down",345
"94","21","08","down",296
"95","22","08","down",139
"96","23","08","down",52
"97","0","09","down",88
"98","1","09","down",55
"99","2","09","down",40
"100","3","09","down",18
"101","4","09","down",24
"102","5","09","down",51
"103","6","09","down",243
"104","7","09","down",356
"105","8","09","down",449
"106","9","09","down",458
"107","10","09","down",442
"108","11","09","down",472
"109","12","09","down",497
"110","13","09","down",456
"111","14","09","down",442
"112","15","09","down",468
"113","16","09","down",487
"114","17","09","down",548
"115","18","09","down",543
"116","19","09","down",478
"117","20","09","down",476
"118","21","09","down",406
"119","22","09","down",215
"120","23","09","down",99
"121","0","10","down",8
"122","1","10","down",5
"123","2","10","down",1
"124","3","10","down",4
"125","4","10","down",0
"126","5","10","down",2
"127","6","10","down",4
"128","7","10","down",39
"129","8","10","down",172
"130","9","10","down",154
"131","10","10","down",201
"132","11","10","down",219
"133","12","10","down",164
"134","13","10","down",149
"135","14","10","down",151
"136","15","10","down",177
"137","16","10","down",221
"138","17","10","down",316
"139","18","10","down",163
"140","19","10","down",85
"141","20","10","down",65
"142","21","10","down",57
"143","22","10","down",54
"144","23","10","down",5
"145","0","11","down",123
"146","1","11","down",48
"147","2","11","down",30
"148","3","11","down",28
"149","4","11","down",24
"150","5","11","down",55
"151","6","11","down",173
"152","7","11","down",316
"153","8","11","down",414
"154","9","11","down",376
"155","10","11","down",423
"156","11","11","down",442
"157","12","11","down",438
"158","13","11","down",435
"159","14","11","down",430
"160","15","11","down",431
"161","16","11","down",495
"162","17","11","down",512
"163","18","11","down",459
"164","19","11","down",446
"165","20","11","down",422
"166","21","11","down",350
"167","22","11","down",187
"168","23","11","down",119
"169","0","12","down",134
"170","1","12","down",103
"171","2","12","down",32
"172","3","12","down",26
"173","4","12","down",26
"174","5","12","down",67
"175","6","12","down",241
"176","7","12","down",350
"177","8","12","down",468
"178","9","12","down",466
"179","10","12","down",486
"180","11","12","down",449
"181","12","12","down",445
"182","13","12","down",416
"183","14","12","down",432
"184","15","12","down",443
"185","16","12","down",474
"186","17","12","down",524
"187","18","12","down",488
"188","19","12","down",506
"189","20","12","down",463
"190","21","12","down",422
"191","22","12","down",326
"192","23","12","down",171
"193","0","13","down",143
"194","1","13","down",76
"195","2","13","down",35
"196","3","13","down",19
"197","4","13","down",17
"198","5","13","down",69
"199","6","13","down",229
"200","7","13","down",350
"201","8","13","down",425
