"","hour","floor","direction","count"
"1","0","01","down",47
"2","1","01","down",20
"3","2","01","down",5
"4","3","01","down",14
"5","4","01","down",25
"6","5","01","down",26
"7","6","01","down",126
"8","7","01","down",216
"9","8","01","down",254
"10","9","01","down",208
"11","10","01","down",238
"12","11","01","down",253
"13","12","01","down",232
"14","13","01","down",238
"15","14","01","down",214
"16","15","01","down",254
"17","16","01","down",240
"18","17","01","down",209
"19","18","01","down",179
"20","19","01","down",160
"21","20","01","down",96
"22","21","01","down",81
"23","22","01","down",57
"24","23","01","down",51
"25","0","02","down",1
"26","1","02","down",2
"27","2","02","down",1
"28","3","02","down",2
"29","4","02","down",4
"30","5","02","down",0
"31","6","02","down",23
"32","7","02","down",21
"33","8","02","down",32
"34","9","02","down",62
"35","10","02","down",56
"36","11","02","down",66
"37","12","02","down",45
"38","13","02","down",73
"39","14","02","down",54
"40","15","02","down",63
"41","16","02","down",62
"42","17","02","down",35
"43","18","02","down",34
"44","19","02","down",24
"45","20","02","down",19
"46","21","02","down",7
"47","22","02","down",6
"48","23","02","down",2
"49","0","03","down",132
"50","1","03","down",58
"51","2","03","down",19
"52","3","03","down",13
"53","4","03","down",12
"54","5","03","down",11
"55","6","03","down",134
"56","7","03","down",165
"57","8","03","down",270
"58","9","03","down",247
"59","10","03","down",263
"60","11","03","down",310
"61","12","03","down",296
"62","13","03","down",282
"63","14","03","down",303
"64","15","03","down",399
"65","16","03","down",343
"66","17","03","down",359
"67","18","03","down",303
"68","19","03","down",276
"69","20","03","down",402
"70","21","03","down",199
"71","22","03","down",325
"72","23","03","down",281
"73","0","04","down",257
"74","1","04","down",61
"75","2","04","down",16
"76","3","04","down",11
"77","4","04","down",14
"78","5","04","down",11
"79","6","04","down",39
"80","7","04","down",101
"81","8","04","down",247
"82","9","04","down",223
"83","10","04","down",226
"84","11","04","down",276
"85","12","04","down",318
"86","13","04","down",232
"87","14","04","down",328
"88","15","04","down",389
"89","16","04","down",366
"90","17","04","down",229
"91","18","04","down",169
"92","19","04","down",169
"93","20","04","down",464
"94","21","04","down",138
"95","22","04","down",75
"96","23","04","down",82
"97","0","05","down",69
"98","1","05","down",70
"99","2","05","down",38
"100","3","05","down",18
"101","4","05","down",16
"102","5","05","down",36
"103","6","05","down",108
"104","7","05","down",192
"105","8","05","down",245
"106","9","05","down",303
"107","10","05","down",302
"108","11","05","down",266
"109","12","05","down",290
"110","13","05","down",273
"111","14","05","down",298
"112","15","05","down",295
"113","16","05","down",344
"114","17","05","down",333
"115","18","05","down",328
"116","19","05","down",329
"117","20","05","down",268
"118","21","05","down",206
"119","22","05","down",122
"120","23","05","down",48
"121","0","06","down",93
"122","1","06","down",70
"123","2","06","down",26
"124","3","06","down",28
"125","4","06","down",29
"126","5","06","down",81
"127","6","06","down",279
"128","7","06","down",348
"129","8","06","down",424
"130","9","06","down",419
"131","10","06","down",427
"132","11","06","down",362
"133","12","06","down",366
"134","13","06","down",355
"135","14","06","down",388
"136","15","06","down",421
"137","16","06","down",420
"138","17","06","down",433
"139","18","06","down",466
"140","19","06","down",450
"141","20","06","down",434
"142","21","06","down",363
"143","22","06","down",196
"144","23","06","down",98
"145","0","07","down",96
"146","1","07","down",74
"147","2","07","down",72
"148","3","07","down",41
"149","4","07","down",27
"150","5","07","down",77
"151","6","07","down",241
"152","7","07","down",334
"153","8","07","down",374
"154","9","07","down",389
"155","10","07","down",398
"156","11","07","down",427
"157","12","07","down",429
"158","13","07","down",434
"159","14","07","down",422
"160","15","07","down",424
"161","16","07","down",439
"162","17","07","down",494
"163","18","07","down",507
"164","19","07","down",547
"165","20","07","down",517
"166","21","07","down",439
"167","22","07","down",242
"168","23","07","down",137
"169","0","08","down",182
"170","1","08","down",57
"171","2","08","down",31
"172","3","08","down",14
"173","4","08","down",21
"174","5","08","down",40
"175","6","08","down",204
"176","7","08","down",371
"177","8","08","down",450
"178","9","08","down",411
"179","10","08","down",432
"180","11","08","down",425
"181","12","08","down",431
"182","13","08","down",440
"183","14","08","down",408
"184","15","08","down",438
"185","16","08","down",513
"186","17","08","down",506
"187","18","08","down",519
"188","19","08","down",502
"189","20","08","down",482
"190","21","08","down",407
"191","22","08","down",265
"192","23","08","down",111
"193","0","09","down",90
"194","1","09","down",76
"195","2","09","down",20
"196","3","09","down",9
"197","4","09","down",16
"198","5","09","down",40
"199","6","09","down",146
"200","7","09","down",309
"201","8","09","down",474
"202","9","09","down",413
"203","10","09","down",413
"204","11","09","down",416
"205","12","09","down",425
"206","13","09","down",392
"207","14","09","down",406
"208","15","09","down",421
"209","16","09","down",469
"210","17","09","down",511
"211","18","09","down",526
"212","19","09","down",466
"213","20","09","down",397
"214","21","09","down",361
"215","22","09","down",171
"216","23","09","down",71
"217","0","10","down",11
"218","1","10","down",7
"219","2","10","down",5
"220","3","10","down",4
"221","4","10","down",5
"222","5","10","down",3
"223","6","10","down",0
"224","7","10","down",15
"225","8","10","down",60
"226","9","10","down",146
"227","10","10","down",171
"228","11","10","down",160
"229","12","10","down",165
"230","13","10","down",166
"231","14","10","down",184
"232","15","10","down",213
"233","16","10","down",198
"234","17","10","down",230
"235","18","10","down",161
"236","19","10","down",109
"237","20","10","down",59
"238","21","10","down",33
"239","22","10","down",23
"240","23","10","down",11
"241","0","11","down",77
"242","1","11","down",37
"243","2","11","down",18
"244","3","11","down",11
"245","4","11","down",9
"246","5","11","down",60
"247","6","11","down",208
"248","7","11","down",373
"249","8","11","down",451
"250","9","11","down",405
"251","10","11","down",406
"252","11","11","down",420
"253","12","11","down",425
"254","13","11","down",438
"255","14","11","down",384
"256","15","11","down",408
"257","16","11","down",431
"258","17","11","down",519
"259","18","11","down",507
"260","19","11","down",444
"261","20","11","down",398
"262","21","11","down",320
"263","22","11","down",193
"264","23","11","down",96
"265","0","12","down",108
"266","1","12","down",83
"267","2","12","down",54
"268","3","12","down",22
"269","4","12","down",27
"270","5","12","down",79
"271","6","12","down",157
"272","7","12","down",365
"273","8","12","down",396
"274","9","12","down",392
"275","10","12","down",388
"276","11","12","down",452
"277","12","12","down",466
"278","13","12","down",467
"279","14","12","down",429
"280","15","12","down",432
"281","16","12","down",470
"282","17","12","down",549
"283","18","12","down",533
"284","19","12","down",435
"285","20","12","down",395
"286","21","12","down",265
"287","22","12","down",160
"288","23","12","down",66
"289","0","13","down",64
"290","1","13","down",28
"291","2","13","down",24
"292","3","13","down",25
"293","4","13","down",21
"294","5","13","down",56
"295","6","13","down",217
"296","7","13","down",370
"297","8","13","down",432
"298","9","13","down",447
"299","10","13","down",403
"300","11","13","down",457
"301","12","13","down",461
"302","13","13","down",413
"303","14","13","down",430
"304","15","13","down",440
"305","16","13","down",485
"306","17","13","down",526
"307","18","13","down",502
"308","19","13","down",442
"309","20","13","down",374
"310","21","13","down",285
"311","22","13","down",172
"312","23","13","down",98
"313","0","14","down",74
"314","1","14","down",107
"315","2","14","down",31
"316","3","14","down",19
"317","4","14","down",21
"318","5","14","down",62
"319","6","14","down",274
"320","7","14","down",362
"321","8","14","down",386
"322","9","14","down",451
"323","10","14","down",412
"324","11","14","down",458
"325","12","14","down",483
"326","13","14","down",433
"327","14","14","down",405
"328","15","14","down",434
"329","16","14","down",477
"330","17","14","down",528
"331","18","14","down",531
"332","19","14","down",482
"333","20","14","down",415
"334","21","14","down",317
"335","22","14","down",248
"336","23","14","down",94
"337","0","15","down",47
"338","1","15","down",17
"339","2","15","down",2
