"","hour","floor","direction","count"
"1","0","01","down",4
"2","1","01","down",2
"3","2","01","down",2
"4","3","01","down",4
"5","4","01","down",1
"6","5","01","down",6
"7","6","01","down",129
"8","7","01","down",258
"9","8","01","down",159
"10","9","01","down",176
"11","10","01","down",192
"12","11","01","down",207
"13","12","01","down",205
"14","13","01","down",196
"15","14","01","down",191
"16","15","01","down",204
"17","16","01","down",197
"18","17","01","down",229
"19","18","01","down",122
"20","19","01","down",88
"21","20","01","down",48
"22","21","01","down",58
"23","22","01","down",35
"24","23","01","down",19
"25","0","02","down",0
"26","1","02","down",1
"27","2","02","down",0
"28","3","02","down",0
"29","4","02","down",0
"30","5","02","down",0
"31","6","02","down",6
"32","7","02","down",43
"33","8","02","down",110
"34","9","02","down",126
"35","10","02","down",131
"36","11","02","down",185
"37","12","02","down",120
"38","13","02","down",149
"39","14","02","down",138
"40","15","02","down",151
"41","16","02","down",132
"42","17","02","down",112
"43","18","02","down",88
"44","19","02","down",26
"45","20","02","down",19
"46","21","02","down",14
"47","22","02","down",4
"48","23","02","down",2
"49","0","03","down",5
"50","1","03","down",3
"51","2","03","down",9
"52","3","03","down",2
"53","4","03","down",5
"54","5","03","down",2
"55","6","03","down",14
"56","7","03","down",51
"57","8","03","down",126
"58","9","03","down",178
"59","10","03","down",180
"60","11","03","down",248
"61","12","03","down",148
"62","13","03","down",144
"63","14","03","down",178
"64","15","03","down",203
"65","16","03","down",238
"66","17","03","down",177
"67","18","03","down",93
"68","19","03","down",53
"69","20","03","down",48
"70","21","03","down",26
"71","22","03","down",21
"72","23","03","down",7
"73","0","04","down",22
"74","1","04","down",8
"75","2","04","down",3
"76","3","04","down",2
"77","4","04","down",2
"78","5","04","down",3
"79","6","04","down",13
"80","7","04","down",70
"81","8","04","down",73
"82","9","04","down",167
"83","10","04","down",132
"84","11","04","down",140
"85","12","04","down",119
"86","13","04","down",106
"87","14","04","down",146
"88","15","04","down",165
"89","16","04","down",154
"90","17","04","down",164
"91","18","04","down",103
"92","19","04","down",87
"93","20","04","down",96
"94","21","04","down",54
"95","22","04","down",45
"96","23","04","down",25
"97","0","05","down",10
"98","1","05","down",6
"99","2","05","down",2
"100","3","05","down",4
"101","4","05","down",7
"102","5","05","down",5
"103","6","05","down",18
"104","7","05","down",55
"105","8","05","down",149
"106","9","05","down",173
"107","10","05","down",143
"108","11","05","down",198
"109","12","05","down",220
"110","13","05","down",175
"111","14","05","down",133
"112","15","05","down",183
"113","16","05","down",190
"114","17","05","down",241
"115","18","05","down",190
"116","19","05","down",114
"117","20","05","down",80
"118","21","05","down",70
"119","22","05","down",44
"120","23","05","down",26
"121","0","06","down",16
"122","1","06","down",12
"123","2","06","down",9
"124","3","06","down",7
"125","4","06","down",5
"126","5","06","down",6
"127","6","06","down",174
"128","7","06","down",304
"129","8","06","down",297
"130","9","06","down",305
"131","10","06","down",410
"132","11","06","down",414
"133","12","06","down",360
"134","13","06","down",345
"135","14","06","down",450
"136","15","06","down",428
"137","16","06","down",372
"138","17","06","down",414
"139","18","06","down",330
"140","19","06","down",180
"141","20","06","down",145
"142","21","06","down",70
"143","22","06","down",109
"144","23","06","down",118
"145","0","07","down",17
"146","1","07","down",13
"147","2","07","down",12
"148","3","07","down",12
"149","4","07","down",10
"150","5","07","down",4
"151","6","07","down",8
"152","7","07","down",78
"153","8","07","down",121
"154","9","07","down",234
"155","10","07","down",234
"156","11","07","down",321
"157","12","07","down",316
"158","13","07","down",270
"159","14","07","down",279
"160","15","07","down",266
"161","16","07","down",280
"162","17","07","down",461
"163","18","07","down",330
"164","19","07","down",148
"165","20","07","down",73
"166","21","07","down",25
"167","22","07","down",29
"168","23","07","down",12
"169","0","08","down",30
"170","1","08","down",11
"171","2","08","down",5
"172","3","08","down",3
"173","4","08","down",1
"174","5","08","down",7
"175","6","08","down",23
"176","7","08","down",103
"177","8","08","down",333
"178","9","08","down",282
"179","10","08","down",285
"180","11","08","down",332
"181","12","08","down",332
"182","13","08","down",314
"183","14","08","down",304
"184","15","08","down",323
"185","16","08","down",350
"186","17","08","down",422
"187","18","08","down",348
"188","19","08","down",227
"189","20","08","down",130
"190","21","08","down",66
"191","22","08","down",74
"192","23","08","down",36
"193","0","09","down",4
"194","1","09","down",6
"195","2","09","down",2
"196","3","09","down",4
"197","4","09","down",6
"198","5","09","down",5
"199","6","09","down",9
"200","7","09","down",71
"201","8","09","down",238
"202","9","09","down",270
"203","10","09","down",264
"204","11","09","down",317
"205","12","09","down",285
"206","13","09","down",291
"207","14","09","down",247
"208","15","09","down",258
"209","16","09","down",279
"210","17","09","down",406
"211","18","09","down",278
"212","19","09","down",158
"213","20","09","down",88
"214","21","09","down",52
"215","22","09","down",27
"216","23","09","down",17
"217","0","10","down",4
"218","1","10","down",5
"219","2","10","down",2
"220","3","10","down",1
"221","4","10","down",2
"222","5","10","down",67
"223","6","10","down",197
"224","7","10","down",122
"225","8","10","down",61
"226","9","10","down",42
"227","10","10","down",59
"228","11","10","down",158
"229","12","10","down",127
"230","13","10","down",122
"231","14","10","down",154
"232","15","10","down",170
"233","16","10","down",197
"234","17","10","down",86
"235","18","10","down",30
"236","19","10","down",34
"237","20","10","down",23
"238","21","10","down",24
"239","22","10","down",156
"240","23","10","down",33
"241","0","11","down",16
"242","1","11","down",2
"243","2","11","down",2
"244","3","11","down",2
"245","4","11","down",3
"246","5","11","down",3
"247","6","11","down",20
"248","7","11","down",130
"249","8","11","down",314
"250","9","11","down",261
"251","10","11","down",259
"252","11","11","down",281
"253","12","11","down",253
"254","13","11","down",268
"255","14","11","down",251
"256","15","11","down",246
"257","16","11","down",310
"258","17","11","down",419
"259","18","11","down",299
"260","19","11","down",146
"261","20","11","down",81
"262","21","11","down",85
"263","22","11","down",27
"264","23","11","down",19
"265","0","12","down",20
"266","1","12","down",16
"267","2","12","down",4
"268","3","12","down",1
"269","4","12","down",2
"270","5","12","down",5
"271","6","12","down",15
"272","7","12","down",63
"273","8","12","down",252
"274","9","12","down",235
"275","10","12","down",223
"276","11","12","down",279
"277","12","12","down",318
"278","13","12","down",275
"279","14","12","down",231
"280","15","12","down",264
"281","16","12","down",263
"282","17","12","down",357
"283","18","12","down",317
"284","19","12","down",162
"285","20","12","down",88
"286","21","12","down",47
"287","22","12","down",46
"288","23","12","down",11
"289","0","13","down",19
"290","1","13","down",6
"291","2","13","down",3
"292","3","13","down",0
"293","4","13","down",1
"294","5","13","down",5
"295","6","13","down",40
"296","7","13","down",79
"297","8","13","down",213
"298","9","13","down",216
"299","10","13","down",219
"300","11","13","down",294
"301","12","13","down",305
"302","13","13","down",297
"303","14","13","down",233
"304","15","13","down",245
"305","16","13","down",265
"306","17","13","down",359
"307","18","13","down",296
"308","19","13","down",153
"309","20","13","down",89
"310","21","13","down",69
"311","22","13","down",38
"312","23","13","down",19
"313","0","14","down",13
"314","1","14","down",14
"315","2","14","down",5
"316","3","14","down",4
"317","4","14","down",3
"318","5","14","down",6
"319","6","14","down",2
"320","7","14","down",82
"321","8","14","down",216
"322","9","14","down",318
"323","10","14","down",314
"324","11","14","down",379
"325","12","14","down",317
"326","13","14","down",339
"327","14","14","down",319
"328","15","14","down",337
"329","16","14","down",350
"330","17","14","down",357
"331","18","14","down",223
"332","19","14","down",143
"333","20","14","down",70
"334","21","14","down",73
"335","22","14","down",28
"336","23","14","down",14
"337","0","15","down",15
"338","1","15","down",4
"339","2","15","down",5
"340","3","15","down",6
"341","4","15","down",7
"342","5","15","down",6
"343","6","15","down",11
"344","7","15","down",101
"345","8","15","down",223
"346","9","15","down",251
"347","10","15","down",242
"348","11","15","down",279
"349","12","15","down",191
"350","13","15","down",231
"351","14","15","down",268
"352","15","15","down",240
"353","16","15","down",299
"354","17","15","down",317
"355","18","15","down",207
"356","19","15","down",145
"357","20","15","down",84
"358","21","15","down",47
"359","22","15","down",36
"360","23","15","down",18
"361","0","B1","down",8
"362","1","B1","down",3
"363","2","B1","down",3
"364","3","B1","down",1
