"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","down",36.25,4,9.0625
"2","01",0,"0","up",18.78,2,9.39
"3","01",0,"1","down",4.19,3,1.39666666666667
"4","01",0,"2","down",19.75,6,3.29166666666667
"5","01",0,"2","up",31.92,7,4.56
"6","01",0,"3","down",18.28,3,6.09333333333333
"7","01",0,"3","up",48.7,7,6.95714285714286
"8","01",0,"4","down",12.42,9,1.38
"9","01",0,"4","up",28.57,4,7.1425
"10","01",0,"5","down",1.52,2,0.76
"11","01",0,"5","up",12.82,3,4.27333333333333
"12","01",0,"6","down",48.6,7,6.94285714285714
"13","01",0,"6","up",16.43,4,4.1075
"14","01",1,"0","down",20.89,4,5.2225
"15","01",1,"1","down",40.55,4,10.1375
"16","01",1,"1","up",26.77,3,8.92333333333333
"17","01",1,"2","down",32.91,3,10.97
"18","01",1,"2","up",62.26,7,8.89428571428572
"19","01",1,"3","down",30.49,4,7.6225
"20","01",1,"3","up",20.81,4,5.2025
"21","01",1,"4","down",14.82,4,3.705
"22","01",1,"4","up",34.49,5,6.898
"23","01",1,"5","down",47.01,2,23.505
"24","01",1,"5","up",1.55,1,1.55
"25","01",1,"6","down",55.45,5,11.09
"26","01",1,"6","up",18.91,3,6.30333333333333
"27","01",2,"0","down",58.75,8,7.34375
"28","01",2,"0","up",43.55,3,14.5166666666667
"29","01",2,"1","down",26.3,3,8.76666666666667
"30","01",2,"1","up",33.3,3,11.1
"31","01",2,"2","down",5.31,4,1.3275
"32","01",2,"2","up",21.25,4,5.3125
"33","01",2,"3","down",42.57,5,8.514
"34","01",2,"3","up",82.22,6,13.7033333333333
"35","01",2,"4","down",18.58,3,6.19333333333333
"36","01",2,"4","up",23.4,6,3.9
"37","01",2,"5","down",17.71,2,8.855
"38","01",2,"5","up",1.59,1,1.59
"39","01",2,"6","down",18.93,3,6.31
"40","01",2,"6","up",34.59,3,11.53
"41","01",3,"0","down",45.94,5,9.188
"42","01",3,"1","down",3.27,2,1.635
"43","01",3,"1","up",21.51,3,7.17
"44","01",3,"2","down",54.76,5,10.952
"45","01",3,"2","up",35.52,2,17.76
"46","01",3,"3","down",2.64,2,1.32
"47","01",3,"3","up",20.39,2,10.195
"48","01",3,"4","down",43.14,3,14.38
"49","01",3,"4","up",1.6,1,1.6
"50","01",3,"5","down",18.27,1,18.27
"51","01",3,"6","down",25.44,6,4.24
"52","01",3,"6","up",2.52,2,1.26
"53","01",4,"0","down",53.08,8,6.635
"54","01",4,"0","up",16.01,1,16.01
"55","01",4,"1","down",32.2,5,6.44
"56","01",4,"1","up",2.62,2,1.31
"57","01",4,"2","down",16.92,6,2.82
"58","01",4,"2","up",19.48,3,6.49333333333333
"59","01",4,"3","down",21.75,5,4.35
"60","01",4,"3","up",11.11,2,5.555
"61","01",4,"4","down",69.44,9,7.71555555555556
"62","01",4,"4","up",20.38,3,6.79333333333333
"63","01",4,"5","down",17.31,2,8.655
"64","01",4,"5","up",1.53,1,1.53
"65","01",4,"6","down",28.43,3,9.47666666666667
"66","01",4,"6","up",1.67,1,1.67
"67","01",5,"0","down",41.45,4,10.3625
"68","01",5,"0","up",87.37,7,12.4814285714286
"69","01",5,"1","down",57.53,6,9.58833333333333
"70","01",5,"1","up",97.24,9,10.8044444444444
"71","01",5,"2","down",81.46,10,8.146
"72","01",5,"2","up",22,4,5.5
"73","01",5,"3","down",73.64,6,12.2733333333333
"74","01",5,"3","up",104.13,8,13.01625
"75","01",5,"4","down",82.3,6,13.7166666666667
"76","01",5,"4","up",42.79,5,8.558
"77","01",5,"5","down",0.22,1,0.22
"78","01",5,"5","up",22.62,2,11.31
"79","01",5,"6","down",59.53,8,7.44125
"80","01",5,"6","up",47.6,7,6.8
"81","01",6,"0","down",319.38,21,15.2085714285714
"82","01",6,"0","up",357.63,22,16.2559090909091
"83","01",6,"1","down",472.29,26,18.165
"84","01",6,"1","up",789.99,52,15.1921153846154
"85","01",6,"2","down",425.23,28,15.1867857142857
"86","01",6,"2","up",971.25,51,19.0441176470588
"87","01",6,"3","down",389.98,28,13.9278571428571
"88","01",6,"3","up",807.51,50,16.1502
"89","01",6,"4","down",620.84,35,17.7382857142857
"90","01",6,"4","up",774.25,46,16.8315217391304
"91","01",6,"5","down",287.75,13,22.1346153846154
"92","01",6,"5","up",536.76,29,18.5089655172414
"93","01",6,"6","down",448.27,26,17.2411538461538
"94","01",6,"6","up",394.71,26,15.1811538461538
"95","01",7,"0","down",691.74,30,23.058
"96","01",7,"0","up",711.34,40,17.7835
"97","01",7,"1","down",603.49,36,16.7636111111111
"98","01",7,"1","up",1428.13,86,16.6061627906977
"99","01",7,"2","down",780.64,33,23.6557575757576
"100","01",7,"2","up",1472.95,87,16.9304597701149
"101","01",7,"3","down",660.69,34,19.4320588235294
"102","01",7,"3","up",1503.04,88,17.08
"103","01",7,"4","down",839.35,38,22.0881578947368
"104","01",7,"4","up",1257.73,82,15.3381707317073
"105","01",7,"5","down",311.48,16,19.4675
"106","01",7,"5","up",622.63,42,14.8245238095238
"107","01",7,"6","down",523.92,33,15.8763636363636
"108","01",7,"6","up",1230.69,70,17.5812857142857
"109","01",8,"0","down",282.57,24,11.77375
"110","01",8,"0","up",406.7,38,10.7026315789474
"111","01",8,"1","down",390.47,35,11.1562857142857
"112","01",8,"1","up",1636.9,75,21.8253333333333
"113","01",8,"2","down",359.16,31,11.5858064516129
"114","01",8,"2","up",1406.27,75,18.7502666666667
"115","01",8,"3","down",422.81,33,12.8124242424242
"116","01",8,"3","up",1695.93,87,19.4934482758621
"117","01",8,"4","down",266.01,26,10.2311538461538
"118","01",8,"4","up",1642.19,72,22.8081944444444
"119","01",8,"5","down",622.08,42,14.8114285714286
"120","01",8,"5","up",1869.33,114,16.3976315789474
"121","01",8,"6","down",523.76,30,17.4586666666667
"122","01",8,"6","up",1276.45,75,17.0193333333333
"123","01",9,"0","down",234.57,18,13.0316666666667
"124","01",9,"0","up",671.45,53,12.6688679245283
"125","01",9,"1","down",494.88,42,11.7828571428571
"126","01",9,"1","up",1277.33,66,19.3534848484848
"127","01",9,"2","down",352.49,32,11.0153125
"128","01",9,"2","up",1811.88,80,22.6485
"129","01",9,"3","down",443.06,31,14.2922580645161
"130","01",9,"3","up",1905.74,78,24.4325641025641
"131","01",9,"4","down",381.8,30,12.7266666666667
"132","01",9,"4","up",1465.72,74,19.807027027027
"133","01",9,"5","down",521.93,38,13.735
"134","01",9,"5","up",2321.82,110,21.1074545454545
"135","01",9,"6","down",288.83,24,12.0345833333333
"136","01",9,"6","up",1065.12,70,15.216
"137","01",10,"0","down",582.54,31,18.7916129032258
"138","01",10,"0","up",912.53,50,18.2506
"139","01",10,"1","down",440.46,33,13.3472727272727
"140","01",10,"1","up",1586.8,68,23.3352941176471
"141","01",10,"2","down",447.05,42,10.6440476190476
"142","01",10,"2","up",1601.06,66,24.2584848484848
"143","01",10,"3","down",576.6,45,12.8133333333333
"144","01",10,"3","up",1453.77,74,19.6455405405405
"145","01",10,"4","down",415.72,39,10.6594871794872
