"","floor","hour","week","direction","total","count","avgWait"
"1","01",4,"0","down",34.01,1,34.01
"2","01",4,"0","up",48.97,1,48.97
"3","01",4,"1","up",21.78,1,21.78
"4","01",4,"3","up",47.66,3,15.8866666666667
"5","01",4,"4","up",28.57,1,28.57
"6","01",4,"5","up",30.3,2,15.15
"7","01",5,"0","up",24.41,3,8.13666666666667
"8","01",5,"1","down",4.1,2,2.05
"9","01",5,"1","up",29.86,2,14.93
"10","01",5,"2","down",32.56,2,16.28
"11","01",5,"2","up",42.18,2,21.09
"12","01",5,"3","up",1.45,1,1.45
"13","01",5,"4","down",1.34,1,1.34
"14","01",5,"4","up",1.38,1,1.38
"15","01",5,"5","down",28.57,2,14.285
"16","01",5,"5","up",733.66,1,733.66
"17","01",5,"6","down",10.89,1,10.89
"18","01",5,"6","up",21.78,1,21.78
"19","01",6,"1","up",73.43,1,73.43
"20","01",6,"2","down",13.62,1,13.62
"21","01",6,"3","down",145.95,2,72.975
"22","01",6,"6","down",16.35,2,8.175
"23","01",9,"0","up",17.07,1,17.07
"24","01",10,"1","up",1.39,1,1.39
"25","01",11,"0","down",1.37,1,1.37
"26","01",11,"0","up",1.36,1,1.36
"27","01",11,"4","up",1299.03,1,1299.03
"28","01",11,"5","up",208.5,1,208.5
"29","01",12,"0","down",1.37,1,1.37
"30","01",12,"1","down",58.49,1,58.49
"31","01",12,"1","up",131.26,1,131.26
"32","01",12,"5","up",1.4,1,1.4
"33","01",13,"0","down",1.4,1,1.4
"34","01",13,"0","up",9.53,1,9.53
"35","01",13,"2","up",3.92,1,3.92
"36","01",13,"5","up",1.37,1,1.37
"37","01",14,"2","down",1.34,1,1.34
"38","01",14,"2","up",76.4,1,76.4
"39","01",14,"6","down",63.92,2,31.96
"40","01",16,"1","up",163.2,1,163.2
"41","01",16,"2","up",616.51,3,205.503333333333
"42","01",16,"3","up",463.97,3,154.656666666667
"43","01",16,"4","up",372.63,2,186.315
"44","01",16,"5","up",171.76,1,171.76
"45","01",16,"6","up",16.52,2,8.26
"46","01",17,"1","down",9.59,1,9.59
"47","01",17,"2","up",112.72,2,56.36
"48","01",18,"0","up",1.37,1,1.37
"49","01",18,"4","up",27.42,1,27.42
"50","01",18,"5","up",180.95,1,180.95
"51","01",19,"1","up",8.16,1,8.16
"52","01",19,"5","down",1.37,1,1.37
"53","01",20,"1","up",27.43,1,27.43
"54","01",20,"2","up",47.5,2,23.75
"55","01",20,"3","down",1.36,1,1.36
"56","01",20,"3","up",19.05,1,19.05
"57","01",20,"4","up",36.73,3,12.2433333333333
"58","01",21,"0","up",21.78,1,21.78
"59","01",21,"1","down",18.91,2,9.455
"60","01",21,"1","up",23.13,1,23.13
"61","01",21,"2","down",28.58,1,28.58
"62","01",21,"2","up",23.09,1,23.09
"63","01",21,"3","down",25.85,1,25.85
"64","01",21,"3","up",20.59,1,20.59
"65","01",21,"4","up",25.85,1,25.85
"66","01",21,"5","up",23.08,1,23.08
"67","01",21,"6","up",16.33,1,16.33
"68","01",22,"2","down",1.45,1,1.45
"69","01",22,"2","up",1.42,1,1.42
"70","01",22,"6","up",43.5,2,21.75
"71","02",9,"0","down",9.73,1,9.73
"72","02",15,"6","down",216.26,1,216.26
"73","02",18,"3","up",16.32,1,16.32
"74","02",18,"6","up",16.35,1,16.35
"75","02",19,"0","down",25.84,1,25.84
"76","02",19,"0","up",17.69,1,17.69
"77","02",19,"1","down",252.06,1,252.06
"78","02",19,"1","up",1.4,1,1.4
"79","02",19,"2","up",10.84,1,10.84
"80","02",19,"3","down",9.57,1,9.57
"81","02",19,"3","up",18.85,1,18.85
"82","02",19,"5","up",76.14,2,38.07
"83","02",19,"6","up",23.13,1,23.13
"84","02",20,"1","down",1.4,1,1.4
"85","02",20,"4","down",17.64,1,17.64
"86","03",1,"6","up",1.36,1,1.36
"87","03",2,"0","down",1.43,1,1.43
"88","03",2,"0","up",12.29,1,12.29
"89","03",2,"1","up",1.37,1,1.37
"90","03",2,"3","up",1.36,1,1.36
"91","03",2,"6","up",1.36,1,1.36
"92","03",7,"1","down",46.5,1,46.5
"93","03",12,"0","down",53.11,1,53.11
"94","03",12,"1","down",275.84,1,275.84
"95","03",13,"2","up",1.35,1,1.35
"96","03",15,"3","down",137.81,1,137.81
"97","03",18,"3","up",27.19,1,27.19
"98","03",18,"5","up",21.71,1,21.71
"99","03",19,"6","up",8.2,1,8.2
"100","03",20,"0","up",21.73,1,21.73
"101","03",20,"2","up",53.11,2,26.555
"102","03",20,"4","up",75.06,3,25.02
"103","03",23,"0","up",1.37,1,1.37
"104","04",2,"0","up",1.28,1,1.28
"105","04",2,"1","up",1.36,1,1.36
"106","04",2,"3","up",1.36,1,1.36
"107","04",2,"6","up",2.65,2,1.325
"108","04",6,"0","down",1.36,1,1.36
"109","04",9,"1","up",1.36,1,1.36
"110","04",11,"1","down",29.93,1,29.93
"111","04",11,"4","down",12.25,1,12.25
"112","04",15,"4","up",5.52,1,5.52
"113","04",16,"2","down",1.36,1,1.36
"114","04",16,"3","up",58.74,1,58.74
"115","04",16,"5","down",34.22,1,34.22
"116","04",16,"5","up",182.49,1,182.49
"117","04",18,"0","down",13.85,1,13.85
