"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","down",1.59,1,1.59
"2","01",0,"1","down",3.15,2,1.575
"3","01",0,"4","down",1.6,1,1.6
"4","01",0,"6","down",6.53,4,1.6325
"5","01",1,"0","down",3.16,2,1.58
"6","01",1,"1","down",1.59,1,1.59
"7","01",1,"3","down",4.78,3,1.59333333333333
"8","01",2,"1","down",4.63,3,1.54333333333333
"9","01",2,"2","down",1.55,1,1.55
"10","01",2,"4","down",1.59,1,1.59
"11","01",3,"0","down",1.57,1,1.57
"12","01",3,"1","down",3.23,2,1.615
"13","01",3,"2","down",4.96,3,1.65333333333333
"14","01",3,"5","down",1.61,1,1.61
"15","01",3,"6","down",6.39,4,1.5975
"16","01",4,"0","down",1.77,1,1.77
"17","01",4,"1","down",6.54,4,1.635
"18","01",4,"2","down",1.61,1,1.61
"19","01",4,"3","down",4.75,3,1.58333333333333
"20","01",4,"4","down",1.56,1,1.56
"21","01",4,"6","down",1.65,1,1.65
"22","01",5,"0","down",3.18,2,1.59
"23","01",5,"1","down",3.22,2,1.61
"24","01",5,"2","down",4.99,3,1.66333333333333
"25","01",5,"3","down",3.24,2,1.62
"26","01",5,"4","down",1.64,1,1.64
"27","01",5,"5","down",3.09,2,1.545
"28","01",5,"6","down",4.68,3,1.56
"29","01",6,"0","down",7.93,5,1.586
"30","01",6,"1","down",3.18,2,1.59
"31","01",6,"2","down",6.33,4,1.5825
"32","01",6,"3","down",3.17,1,3.17
"33","01",6,"4","down",4.69,3,1.56333333333333
"34","01",6,"5","down",1.59,1,1.59
"35","01",6,"6","down",4.83,2,2.415
"36","01",7,"0","down",14.6,9,1.62222222222222
"37","01",7,"1","down",30.15,8,3.76875
"38","01",7,"2","down",43.07,8,5.38375
"39","01",7,"3","down",27.26,5,5.452
"40","01",7,"4","down",54.42,9,6.04666666666667
"41","01",7,"5","down",6.46,3,2.15333333333333
"42","01",7,"6","down",22.67,8,2.83375
"43","01",8,"0","down",79.85,10,7.985
"44","01",8,"1","down",139.52,20,6.976
"45","01",8,"2","down",152.62,18,8.47888888888889
"46","01",8,"3","down",89.56,16,5.5975
"47","01",8,"4","down",117.97,15,7.86466666666667
"48","01",8,"5","down",89.92,24,3.74666666666667
"49","01",8,"6","down",9.58,6,1.59666666666667
"50","01",9,"0","down",9.33,6,1.555
"51","01",9,"1","down",58.65,14,4.18928571428571
"52","01",9,"2","down",31.68,8,3.96
"53","01",9,"3","down",49.64,9,5.51555555555556
"54","01",9,"4","down",17.73,5,3.546
"55","01",9,"5","down",19.26,12,1.605
"56","01",9,"6","down",51.17,5,10.234
"57","01",10,"0","down",1.64,1,1.64
"58","01",10,"1","down",19.31,6,3.21833333333333
"59","01",10,"2","down",14.48,4,3.62
"60","01",10,"3","down",28.87,6,4.81166666666667
"61","01",10,"4","down",11.27,7,1.61
"62","01",10,"5","down",31.58,9,3.50888888888889
"63","01",10,"6","down",19.16,6,3.19333333333333
"64","01",11,"0","down",1.53,1,1.53
"65","01",11,"1","down",49.98,9,5.55333333333333
"66","01",11,"2","down",41.56,8,5.195
"67","01",11,"3","down",59.11,11,5.37363636363636
"68","01",11,"4","down",87.65,8,10.95625
"69","01",11,"5","down",43.08,9,4.78666666666667
"70","01",11,"6","down",4.8,3,1.6
"71","01",12,"0","down",3.23,2,1.615
"72","01",12,"1","down",28.76,4,7.19
"73","01",12,"2","down",38.44,7,5.49142857142857
"74","01",12,"3","down",58.57,5,11.714
"75","01",12,"4","down",25.58,4,6.395
"76","01",12,"5","down",34.57,11,3.14272727272727
"77","01",12,"6","down",11.28,7,1.61142857142857
"78","01",13,"0","down",3.32,2,1.66
"79","01",13,"1","down",25.44,5,5.088
"80","01",13,"2","down",1.55,1,1.55
"81","01",13,"3","down",27.1,5,5.42
"82","01",13,"4","down",29.56,6,4.92666666666667
"83","01",13,"5","down",28.63,7,4.09
"84","01",13,"6","down",4.86,3,1.62
"85","01",14,"0","down",81.5,14,5.82142857142857
"86","01",14,"1","down",32.19,7,4.59857142857143
"87","01",14,"2","down",57.57,10,5.757
"88","01",14,"3","down",27.25,6,4.54166666666667
"89","01",14,"4","down",22.65,8,2.83125
"90","01",14,"5","down",78.51,14,5.60785714285714
"91","01",14,"6","down",17.59,5,3.518
"92","01",15,"0","down",35.62,5,7.124
"93","01",15,"1","down",19.41,6,3.235
"94","01",15,"2","down",36.97,6,6.16166666666667
"95","01",15,"3","down",33.71,9,3.74555555555556
"96","01",15,"4","down",51.23,12,4.26916666666667
"97","01",15,"5","down",79.03,15,5.26866666666667
"98","01",15,"6","down",39.9,5,7.98
"99","01",16,"0","down",69.93,15,4.662
"100","01",16,"1","down",69.32,11,6.30181818181818
"101","01",16,"2","down",111.9,15,7.46
"102","01",16,"3","down",59.25,13,4.55769230769231
"103","01",16,"4","down",221.93,21,10.5680952380952
"104","01",16,"5","down",179.59,30,5.98633333333333
"105","01",16,"6","down",23.73,9,2.63666666666667
"106","01",17,"1","down",69.97,10,6.997
"107","01",17,"2","down",98.05,9,10.8944444444444
"108","01",17,"3","down",108.57,10,10.857
"109","01",17,"4","down",92.39,13,7.10692307692308
"110","01",17,"5","down",59.08,16,3.6925
"111","01",18,"0","down",3.2,2,1.6
"112","01",18,"2","down",1.49,1,1.49
"113","01",18,"3","down",15.83,4,3.9575
"114","01",18,"5","down",14.4,3,4.8
"115","01",18,"6","down",6.13,4,1.5325
"116","01",19,"1","down",28.62,3,9.54
"117","01",19,"2","down",3.12,2,1.56
"118","01",19,"3","down",3.19,2,1.595
"119","01",19,"5","down",6.33,4,1.5825
"120","01",19,"6","down",3.17,2,1.585
"121","01",20,"0","down",1.5,1,1.5
"122","01",20,"1","down",4.8,3,1.6
"123","01",20,"2","down",1.69,1,1.69
"124","01",20,"3","down",3.15,2,1.575
"125","01",20,"4","down",14.23,3,4.74333333333333
"126","01",20,"5","down",3.2,2,1.6
"127","01",20,"6","down",4.89,3,1.63
"128","01",21,"0","down",3.27,2,1.635
"129","01",21,"1","down",51.6,5,10.32
"130","01",21,"2","down",17.49,5,3.498
"131","01",21,"3","down",19.27,5,3.854
"132","01",21,"4","down",6.36,4,1.59
"133","01",21,"5","down",47.92,12,3.99333333333333
"134","01",21,"6","down",25.99,6,4.33166666666667
"135","01",22,"0","down",7.95,5,1.59
"136","01",22,"1","down",1.61,1,1.61
"137","01",22,"3","down",6.46,4,1.615
"138","01",22,"5","down",3.16,2,1.58
"139","01",22,"6","down",3.19,2,1.595
"140","01",23,"0","down",22.36,8,2.795
"141","01",23,"1","down",5.04,3,1.68
"142","01",23,"2","down",30.63,5,6.126
"143","01",23,"3","down",3.2,2,1.6
"144","01",23,"4","down",4.64,3,1.54666666666667
"145","01",23,"5","down",7.99,5,1.598
"146","01",23,"6","down",27.64,5,5.528
"147","B1",0,"6","up",4.99,3,1.66333333333333
"148","B1",1,"0","up",1.6,1,1.6
"149","B1",1,"3","up",4.69,3,1.56333333333333
"150","B1",2,"1","up",3.21,2,1.605
"151","B1",2,"2","up",1.54,1,1.54
"152","B1",2,"4","up",1.59,1,1.59
"153","B1",3,"0","up",3.21,2,1.605
"154","B1",3,"1","up",1.6,1,1.6
"155","B1",3,"2","up",4.72,3,1.57333333333333
"156","B1",3,"3","up",1.6,1,1.6
"157","B1",3,"5","up",1.58,1,1.58
"158","B1",3,"6","up",3.25,2,1.625
"159","B1",4,"0","up",3.21,2,1.605
"160","B1",4,"1","up",1.6,1,1.6
"161","B1",4,"2","up",1.55,1,1.55
"162","B1",4,"3","up",4.91,3,1.63666666666667
"163","B1",4,"4","up",3.19,2,1.595
"164","B1",4,"6","up",3.39,2,1.695
"165","B1",5,"0","up",4.55,3,1.51666666666667
"166","B1",5,"1","up",3.25,2,1.625
"167","B1",5,"2","up",3.2,2,1.6
"168","B1",5,"3","up",1.7,1,1.7
"169","B1",5,"4","up",1.6,1,1.6
"170","B1",5,"6","up",3.16,2,1.58
"171","B1",6,"0","up",1.63,1,1.63
"172","B1",6,"1","up",3.15,2,1.575
"173","B1",6,"3","up",1.66,1,1.66
"174","B1",6,"4","up",1.87,1,1.87
"175","B1",6,"6","up",3.2,2,1.6
"176","B1",7,"0","up",3.07,2,1.535
"177","B1",7,"1","up",19.28,7,2.75428571428571
"178","B1",7,"2","up",43.04,4,10.76
"179","B1",7,"3","up",4.75,3,1.58333333333333
"180","B1",7,"4","up",18.98,4,4.745
"181","B1",7,"5","up",1.62,1,1.62
"182","B1",7,"6","up",20.64,8,2.58
"183","B1",8,"0","up",68.38,9,7.59777777777778
"184","B1",8,"1","up",217.65,19,11.4552631578947
"185","B1",8,"2","up",273.2,20,13.66
"186","B1",8,"3","up",146.13,18,8.11833333333333
"187","B1",8,"4","up",143.98,19,7.5778947368421
"188","B1",8,"5","up",202.54,29,6.98413793103448
"189","B1",8,"6","up",12.74,8,1.5925
"190","B1",9,"0","up",3.25,2,1.625
"191","B1",9,"1","up",79.4,10,7.94
"192","B1",9,"2","up",75.08,9,8.34222222222222
"193","B1",9,"3","up",25.59,5,5.118
"194","B1",9,"4","up",17.26,5,3.452
"195","B1",9,"5","up",45.99,12,3.8325
"196","B1",9,"6","up",3.19,2,1.595
"197","B1",10,"0","up",1.6,1,1.6
"198","B1",10,"1","up",6.15,4,1.5375
"199","B1",10,"2","up",4.99,3,1.66333333333333
"200","B1",10,"3","up",7.92,5,1.584
"201","B1",10,"4","up",17.44,6,2.90666666666667
"202","B1",10,"5","up",25.61,11,2.32818181818182
"203","B1",10,"6","up",15.8,4,3.95
"204","B1",11,"0","up",1.57,1,1.57
"205","B1",11,"1","up",28.84,7,4.12
"206","B1",11,"2","up",11.14,2,5.57
"207","B1",11,"3","up",36.35,6,6.05833333333333
"208","B1",11,"4","up",12.7,3,4.23333333333333
"209","B1",11,"5","up",27.08,5,5.416
"210","B1",12,"0","up",1.6,1,1.6
"211","B1",12,"1","up",97.42,9,10.8244444444444
"212","B1",12,"2","up",55.53,9,6.17
"213","B1",12,"3","up",37.01,6,6.16833333333333
"214","B1",12,"4","up",50.91,5,10.182
"215","B1",12,"5","up",55.42,14,3.95857142857143
"216","B1",12,"6","up",12.52,8,1.565
"217","B1",13,"0","up",3.23,2,1.615
"218","B1",13,"1","up",28.95,6,4.825
"219","B1",13,"2","up",1.6,1,1.6
"220","B1",13,"3","up",3.35,2,1.675
"221","B1",13,"4","up",27.24,6,4.54
"222","B1",13,"5","up",30.57,7,4.36714285714286
"223","B1",14,"0","up",106.8,11,9.70909090909091
"224","B1",14,"1","up",40.29,8,5.03625
"225","B1",14,"2","up",128.46,13,9.88153846153846
"226","B1",14,"3","up",70.44,8,8.805
"227","B1",14,"4","up",43.33,11,3.93909090909091
"228","B1",14,"5","up",119.93,14,8.56642857142857
"229","B1",14,"6","up",25.51,6,4.25166666666667
"230","B1",15,"0","up",33.67,4,8.4175
"231","B1",15,"1","up",6.1,4,1.525
"232","B1",15,"2","up",38.46,6,6.41
"233","B1",15,"3","up",59.4,8,7.425
"234","B1",15,"4","up",29.08,7,4.15428571428571
"235","B1",15,"5","up",151.3,18,8.40555555555556
"236","B1",15,"6","up",25.6,4,6.4
"237","B1",16,"0","up",73.41,9,8.15666666666667
"238","B1",16,"1","up",174.09,16,10.880625
"239","B1",16,"2","up",128.19,12,10.6825
"240","B1",16,"3","up",22.5,8,2.8125
"241","B1",16,"4","up",119.86,13,9.22
"242","B1",16,"5","up",196.48,25,7.8592
"243","B1",16,"6","up",22.14,7,3.16285714285714
"244","B1",17,"1","up",105.48,12,8.79
"245","B1",17,"2","up",73.39,10,7.339
"246","B1",17,"3","up",49.03,6,8.17166666666667
"247","B1",17,"4","up",98.98,10,9.898
"248","B1",17,"5","up",65.03,11,5.91181818181818
"249","B1",18,"0","up",1.52,1,1.52
"250","B1",18,"1","up",12.66,2,6.33
"251","B1",18,"2","up",13,3,4.33333333333333
"252","B1",18,"3","up",19.31,5,3.862
"253","B1",18,"5","up",14.29,3,4.76333333333333
"254","B1",18,"6","up",6.66,4,1.665
"255","B1",19,"1","up",12.85,2,6.425
"256","B1",19,"2","up",3.09,2,1.545
"257","B1",19,"3","up",3.23,2,1.615
