"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","up",884.47,39,22.6787179487179
"2","01",0,"1","up",883.98,39,22.6661538461538
"3","01",0,"2","up",922.94,39,23.6651282051282
"4","01",0,"3","up",722.2,31,23.2967741935484
"5","01",0,"4","up",487.13,27,18.0418518518519
"6","01",0,"5","up",359.85,16,22.490625
"7","01",0,"6","up",543.76,25,21.7504
"8","01",1,"0","up",497.71,23,21.6395652173913
"9","01",1,"1","up",529.91,24,22.0795833333333
"10","01",1,"2","up",459.9,22,20.9045454545455
"11","01",1,"3","up",518.65,20,25.9325
"12","01",1,"4","up",599.63,24,24.9845833333333
"13","01",1,"5","up",201.17,11,18.2881818181818
"14","01",1,"6","up",524.04,27,19.4088888888889
"15","01",2,"0","up",229.67,11,20.8790909090909
"16","01",2,"1","up",52.78,4,13.195
"17","01",2,"2","up",234.67,8,29.33375
"18","01",2,"3","up",222.07,10,22.207
"19","01",2,"4","up",339.46,12,28.2883333333333
"20","01",2,"5","up",149.23,5,29.846
"21","01",2,"6","up",189.96,10,18.996
"22","01",3,"0","up",98.09,4,24.5225
"23","01",3,"1","up",79.27,4,19.8175
"24","01",3,"2","up",105.7,5,21.14
"25","01",3,"3","up",88.73,3,29.5766666666667
"26","01",3,"4","up",210.15,10,21.015
"27","01",3,"5","up",177.47,6,29.5783333333333
"28","01",3,"6","up",106.6,6,17.7666666666667
"29","01",4,"1","up",26.79,2,13.395
"30","01",4,"2","up",0.44,1,0.44
"31","01",4,"3","up",92.33,4,23.0825
"32","01",4,"4","up",7.08,5,1.416
"33","01",4,"5","up",24.5,1,24.5
"34","01",4,"6","up",30.01,4,7.5025
"35","01",5,"0","up",25.84,2,12.92
"36","01",5,"1","up",1.35,1,1.35
"37","01",5,"2","up",32.79,2,16.395
"38","01",5,"3","up",31.95,4,7.9875
"39","01",5,"4","up",27.49,3,9.16333333333333
"40","01",5,"5","up",33.67,1,33.67
"41","01",5,"6","up",4.07,2,2.035
"42","01",6,"0","up",47.92,9,5.32444444444444
"43","01",6,"1","up",92.79,19,4.88368421052632
"44","01",6,"2","up",103.14,14,7.36714285714286
"45","01",6,"3","up",75.72,9,8.41333333333333
"46","01",6,"4","up",33.36,9,3.70666666666667
