,floor,hour,direction,avgWait_weekend
0,1,0,down,5.568888888888889
1,1,0,up,4.178571428571429
2,1,1,down,14.637142857142859
3,1,1,up,5.115
4,1,2,down,7.328
5,1,2,up,9.045000000000002
6,1,3,down,6.244285714285715
7,1,3,up,1.26
8,1,4,down,9.148
9,1,4,up,1.6
10,1,5,down,6.638888888888889
11,1,5,up,7.802222222222222
12,1,6,down,18.872307692307693
13,1,6,up,16.93581818181818
14,1,7,down,17.048979591836734
15,1,7,up,16.547500000000003
16,1,8,down,15.914444444444447
17,1,8,up,16.644338624338623
18,1,9,down,13.076774193548387
19,1,9,up,18.816333333333333
20,1,10,down,11.251279069767442
21,1,10,up,17.769829545454545
22,1,11,down,10.168
23,1,11,up,16.7803164556962
24,1,12,down,12.800916666666668
25,1,12,up,18.973076923076924
26,1,13,down,12.498555555555555
27,1,13,up,16.5555421686747
28,1,14,down,12.737857142857143
29,1,14,up,18.86503311258278
30,1,15,down,10.513953488372094
31,1,15,up,17.648432835820895
32,1,16,down,9.260329670329671
33,1,16,up,18.733309352517985
34,1,17,down,10.63153846153846
35,1,17,up,16.715230769230768
36,1,18,down,11.65485294117647
37,1,18,up,12.927159090909093
38,1,19,down,13.947111111111111
39,1,19,up,12.016170212765957
40,1,20,down,10.96
41,1,20,up,9.665
42,1,21,down,9.185555555555556
43,1,21,up,14.282307692307691
44,1,22,down,5.733333333333333
45,1,22,up,10.514565217391304
46,1,23,down,16.8075
47,1,23,up,11.257222222222222
48,2,0,down,18.8
49,2,0,up,13.936666666666667
50,2,1,down,9.18
51,2,1,up,9.54
52,2,2,down,21.46
53,2,5,down,19.07
54,2,6,down,21.0275
55,2,7,down,14.075999999999999
56,2,7,up,1.35
57,2,8,down,18.524285714285714
58,2,8,up,7.180000000000001
59,2,9,down,12.659117647058824
60,2,9,up,13.977142857142857
61,2,10,down,13.85070588235294
62,2,10,up,12.48
63,2,11,down,13.33277108433735
64,2,11,up,13.201666666666668
65,2,12,down,11.215245901639346
66,2,12,up,15.106363636363636
67,2,13,down,16.012739726027394
68,2,13,up,8.047692307692309
69,2,14,down,11.00619718309859
70,2,14,up,12.866363636363637
71,2,15,down,11.091772151898734
72,2,15,up,14.088823529411764
73,2,16,down,9.372857142857143
74,2,16,up,12.238636363636363
