,floor,hour,direction,week,avgWait
0,1,0,down,weekday,9.378571429
1,1,0,up,weekday,9.16466899
2,1,1,down,weekday,9.708333333
3,1,1,up,weekday,8.071036269
4,1,2,up,weekday,12.5278
5,1,2,down,weekday,26.242
6,1,3,up,weekday,10.28898438
7,1,3,down,weekday,6.81
8,1,4,up,weekday,8.551573034
9,1,4,down,weekday,10.596
10,1,5,down,weekday,5.31
11,1,5,up,weekday,9.024818653
12,1,6,down,weekday,30.6115942
13,1,6,up,weekday,20.86467675
14,1,7,down,weekday,64.75900763
15,1,7,up,weekday,25.83420968
16,1,8,down,weekday,57.68022989
17,1,8,up,weekday,25.35971888
18,1,9,down,weekday,51.85513514
19,1,9,up,weekday,29.88806061
20,1,10,down,weekday,43.89909774
21,1,10,up,weekday,28.6418
22,1,11,down,weekday,43.21893443
23,1,11,up,weekday,23.414677
24,1,12,down,weekday,39.74880342
25,1,12,up,weekday,22.40262376
26,1,13,down,weekday,54.59816993
27,1,13,up,weekday,24.05992974
28,1,14,down,weekday,50.61556391
29,1,14,up,weekday,27.58613909
30,1,15,down,weekday,35.12908333
31,1,15,up,weekday,32.09486022
32,1,16,down,weekday,44.35352941
33,1,16,up,weekday,28.54580717
34,1,17,down,weekday,46.82776471
35,1,17,up,weekday,24.33226415
36,1,18,down,weekday,61.50553191
37,1,18,up,weekday,23.79408421
38,1,19,down,weekday,48.87112903
39,1,19,up,weekday,31.7419963
40,1,20,down,weekday,43.678125
41,1,20,up,weekday,33.71367834
42,1,21,down,weekday,37.884
43,1,21,up,weekday,27.0891906
44,1,22,down,weekday,29.93148148
45,1,22,up,weekday,19.17528937
46,1,23,down,weekday,22.71055556
47,1,23,up,weekday,14.32081416
48,2,0,down,weekday,21.12
49,2,3,down,weekday,2.41
50,2,4,up,weekday,9.815
51,2,5,down,weekday,11.75
52,2,6,down,weekday,55.57285714
53,2,6,up,weekday,19.66333333
54,2,7,down,weekday,56.83333333
55,2,7,up,weekday,11.269
56,2,8,up,weekday,12.88508929
57,2,8,down,weekday,75.43162791
58,2,9,down,weekday,62.16328767
59,2,9,up,weekday,14.11438095
60,2,10,down,weekday,49.28428571
61,2,10,up,weekday,13.24934066
62,2,11,down,weekday,33.03046875
63,2,11,up,weekday,12.46679245
64,2,12,down,weekday,40.66952381
65,2,12,up,weekday,10.84271605
66,2,13,down,weekday,62.17583333
67,2,13,up,weekday,11.41534653
68,2,14,down,weekday,60.09783784
69,2,14,up,weekday,11.49652174
70,2,15,up,weekday,15.1715534
71,2,15,down,weekday,46.83315068
72,2,16,down,weekday,52.05177419
73,2,16,up,weekday,13.71119658
74,2,17,down,weekday,44.67828571
75,2,17,up,weekday,14.25140845
76,2,18,down,weekday,57.8556
77,2,18,up,weekday,12.30208333
78,2,19,up,weekday,17.05529412
79,2,19,down,weekday,74.378
80,2,20,down,weekday,34.214
81,2,20,up,weekday,18.465
82,2,21,down,weekday,21.5075
83,2,21,up,weekday,3.5475
84,2,22,up,weekday,18.66166667
85,2,22,down,weekday,19.9725
86,2,23,down,weekday,7.65
87,2,23,up,weekday,7.325
88,4,0,down,weekday,24.97967742
89,4,0,up,weekday,17.06428571
90,4,1,down,weekday,19.74785714
91,4,1,up,weekday,17.06
92,4,2,down,weekday,32.12428571
93,4,2,up,weekday,12.81
94,4,3,down,weekday,14.01125
95,4,3,up,weekday,20.13333333
96,4,4,up,weekday,11.21
97,4,5,up,weekday,16.315
98,4,6,down,weekday,48.61533333
99,4,6,up,weekday,19.2475
100,4,7,down,weekday,71.21490196
101,4,7,up,weekday,15.47254545
102,4,8,down,weekday,94.17018182
103,4,8,up,weekday,14.26719101
104,4,9,down,weekday,85.94744898
105,4,9,up,weekday,13.44843137
106,4,10,down,weekday,90.64771186
107,4,10,up,weekday,15.77382813
108,4,11,down,weekday,110.5802618
109,4,11,up,weekday,13.72560284
110,4,12,down,weekday,106.0047907
111,4,12,up,weekday,12.46204545
112,4,13,down,weekday,93.03228758
113,4,13,up,weekday,11.53758389
114,4,14,down,weekday,89.61132184
115,4,14,up,weekday,13.3041358
116,4,15,down,weekday,89.32922705
117,4,15,up,weekday,12.52045455
118,4,16,down,weekday,85.40559524
119,4,16,up,weekday,14.72268456
120,4,17,down,weekday,97.45184971
121,4,17,up,weekday,14.9289313
122,4,18,down,weekday,89.09142857
123,4,18,up,weekday,14.35147059
124,4,19,down,weekday,83.73402062
125,4,19,up,weekday,16.432625
126,4,20,down,weekday,70.76361702
127,4,20,up,weekday,15.43777778
128,4,21,down,weekday,44.39735294
129,4,21,up,weekday,21.0684
130,4,22,down,weekday,36.78222222
131,4,22,up,weekday,17.43454545
132,4,23,down,weekday,22.3025
133,4,23,up,weekday,16.71666667
134,8,0,down,weekday,21.22263158
135,8,0,up,weekday,21.055
136,8,1,down,weekday,17.21961538
137,8,1,up,weekday,16.89
138,8,2,down,weekday,18.50461538
139,8,2,up,weekday,43.28666667
140,8,3,down,weekday,20.33333333
141,8,3,up,weekday,23.07
142,8,4,down,weekday,21.14428571
143,8,4,up,weekday,18.23
144,8,5,down,weekday,20.72857143
145,8,5,up,weekday,22.29
146,8,6,down,weekday,22.69029126
147,8,6,up,weekday,38.86625
148,8,7,down,weekday,21.89047393
149,8,7,up,weekday,77.95829268
150,8,8,down,weekday,16.99865248
151,8,8,up,weekday,69.92392
152,8,9,down,weekday,14.53364217
153,8,9,up,weekday,84.69403846
154,8,10,down,weekday,14.06243446
155,8,10,up,weekday,76.78430464
156,8,11,down,weekday,13.62878571
157,8,11,up,weekday,93.32466667
158,8,12,down,weekday,13.31473154
159,8,12,up,weekday,93.64124088
160,8,13,down,weekday,16.23679104
161,8,13,up,weekday,100.5347771
162,8,14,down,weekday,15.64649789
163,8,14,up,weekday,75.33247126
164,8,15,down,weekday,14.70955056
165,8,15,up,weekday,83.61222973
166,8,16,down,weekday,14.63673469
167,8,16,up,weekday,83.808125
168,8,17,down,weekday,11.81130814
169,8,17,up,weekday,84.6468932
170,8,18,down,weekday,12.99131098
171,8,18,up,weekday,99.77336364
172,8,19,down,weekday,17.76142405
173,8,19,up,weekday,69.92509804
174,8,20,down,weekday,15.35151163
175,8,20,up,weekday,59.70892308
176,8,21,down,weekday,19.58730594
177,8,21,up,weekday,48.50510204
178,8,22,down,weekday,18.15815534
179,8,22,up,weekday,26.33625
180,8,23,down,weekday,21.074
181,8,23,up,weekday,29.025
182,9,0,down,weekday,18.990625
183,9,0,up,weekday,23.33
184,9,1,down,weekday,20.74921053
185,9,1,up,weekday,14.392
186,9,2,down,weekday,19.31913043
187,9,2,up,weekday,1.26
188,9,3,down,weekday,22.36666667
189,9,4,down,weekday,18.13363636
190,9,5,down,weekday,21.63648649
191,9,5,up,weekday,20.73
192,9,6,down,weekday,26.37099448
193,9,6,up,weekday,63.42307692
194,9,7,down,weekday,27.2838806
195,9,7,up,weekday,62.69052632
196,9,8,down,weekday,20.48506289
197,9,8,up,weekday,52.99266667
198,9,9,down,weekday,20.91570122
199,9,9,up,weekday,47.80979167
200,9,10,down,weekday,17.32553459
201,9,10,up,weekday,37.47375
202,9,11,down,weekday,15.6653869
203,9,11,up,weekday,43.03148936
204,9,12,down,weekday,15.89558989
205,9,12,up,weekday,58.8
206,9,13,down,weekday,17.23714286
207,9,13,up,weekday,51.06350877
208,9,14,down,weekday,19.08239264
209,9,14,up,weekday,51.87114286
210,9,15,down,weekday,18.63558824
211,9,15,up,weekday,52.33638298
212,9,16,down,weekday,18.37246418
213,9,16,up,weekday,55.50092105
214,9,17,down,weekday,13.84457071
215,9,17,up,weekday,44.7027907
216,9,18,down,weekday,18.37563725
217,9,18,up,weekday,44.594
218,9,19,down,weekday,20.80616901
219,9,19,up,weekday,57.47833333
220,9,20,down,weekday,22.44464286
221,9,20,up,weekday,65.39307692
222,9,21,down,weekday,20.80414474
223,9,21,up,weekday,23.93166667
224,9,22,down,weekday,24.22829412
225,9,22,up,weekday,31.09
226,9,23,down,weekday,20.15545455
227,9,23,up,weekday,20.545
228,10,0,down,weekday,14.925
229,10,0,up,weekday,21.74
230,10,1,down,weekday,20.385
231,10,1,up,weekday,29.87
232,10,3,down,weekday,9.8175
233,10,3,up,weekday,2.39
234,10,5,down,weekday,0.56
235,10,6,down,weekday,38.43
236,10,7,down,weekday,27.2040625
237,10,7,up,weekday,45.5275
238,10,8,down,weekday,17.65349206
239,10,8,up,weekday,45.25766667
240,10,9,down,weekday,18.80713043
241,10,9,up,weekday,60.94701754
242,10,10,down,weekday,16.45604027
243,10,10,up,weekday,55.16329114
244,10,11,down,weekday,14.52797688
245,10,11,up,weekday,43.42728395
246,10,12,down,weekday,16.45766667
247,10,12,up,weekday,64.07852941
248,10,13,down,weekday,15.81373913
249,10,13,up,weekday,49.33070175
250,10,14,down,weekday,14.89458716
251,10,14,up,weekday,35.14842466
252,10,15,down,weekday,14.5545
253,10,15,up,weekday,52.36333333
254,10,16,down,weekday,13.99688623
255,10,16,up,weekday,62.26836364
256,10,17,down,weekday,14.84266393
257,10,17,up,weekday,48.71138889
258,10,18,down,weekday,16.795
259,10,18,up,weekday,68.58333333
260,10,19,down,weekday,15.72914286
261,10,19,up,weekday,51.10333333
262,10,20,down,weekday,17.67745098
263,10,20,up,weekday,65.08533333
264,10,21,down,weekday,22.28733333
265,10,21,up,weekday,43.389
266,10,22,down,weekday,18.53675676
267,10,22,up,weekday,50.67
268,10,23,down,weekday,9.753333333
269,11,0,down,weekday,20.28977528
270,11,0,up,weekday,1.59
271,11,1,down,weekday,19.22636364
272,11,1,up,weekday,13.6
273,11,2,down,weekday,19.9795
274,11,2,up,weekday,22.61
275,11,3,down,weekday,15.94466667
276,11,3,up,weekday,9.375
277,11,4,down,weekday,19.7775
278,11,5,down,weekday,18.13292683
279,11,5,up,weekday,20.6875
280,11,6,down,weekday,30.35161017
281,11,6,up,weekday,44.49
282,11,7,down,weekday,34.13450644
283,11,7,up,weekday,81.86928571
284,11,8,down,weekday,28.31039867
285,11,8,up,weekday,55.63052632
286,11,9,down,weekday,26.01223485
287,11,9,up,weekday,36.36151515
288,11,10,down,weekday,24.8687987
289,11,10,up,weekday,33.12375
290,11,11,down,weekday,25.23207921
291,11,11,up,weekday,46.10764706
292,11,12,down,weekday,23.98727564
293,11,12,up,weekday,44.13342105
294,11,13,down,weekday,30.64038835
295,11,13,up,weekday,45.5304
296,11,14,down,weekday,26.95463023
297,11,14,up,weekday,32.11096774
298,11,15,down,weekday,26.05730519
299,11,15,up,weekday,48.87660714
300,11,16,down,weekday,25.32909348
301,11,16,up,weekday,25.82731707
302,11,17,down,weekday,23.33168067
303,11,17,up,weekday,50.29923077
304,11,18,down,weekday,26.45504373
305,11,18,up,weekday,53.8275
306,11,19,down,weekday,26.03888563
307,11,19,up,weekday,52.60466667
308,11,20,down,weekday,27.06535826
309,11,20,up,weekday,72.06941176
310,11,21,down,weekday,23.9311985
311,11,21,up,weekday,54.39
312,11,22,down,weekday,22.10469799
313,11,22,up,weekday,28.8
314,11,23,down,weekday,20.09094118
315,11,23,up,weekday,38.41
316,12,0,down,weekday,22.89237624
317,12,0,up,weekday,24.54666667
318,12,1,down,weekday,21.45844156
319,12,1,up,weekday,9.975
320,12,2,down,weekday,20.12
321,12,3,down,weekday,21.76090909
322,12,3,up,weekday,8.69
323,12,4,down,weekday,12.85210526
324,12,5,down,weekday,18.59444444
325,12,5,up,weekday,19.04
326,12,6,down,weekday,32.31715116
327,12,6,up,weekday,34.49
328,12,7,down,weekday,44.90282869
329,12,7,up,weekday,60.18785714
330,12,8,down,weekday,45.14403509
331,12,8,up,weekday,35.22823529
332,12,9,down,weekday,45.0786747
333,12,9,up,weekday,46.93242424
334,12,10,down,weekday,45.92576471
335,12,10,up,weekday,38.07521739
336,12,11,down,weekday,56.63585209
337,12,11,up,weekday,54.4725
338,12,12,down,weekday,58.26958209
339,12,12,up,weekday,70.15709677
340,12,13,down,weekday,48.75493333
341,12,13,up,weekday,68.459
342,12,14,down,weekday,51.10778502
343,12,14,up,weekday,36.78787879
344,12,15,down,weekday,49.77747634
345,12,15,up,weekday,30.10147059
346,12,16,down,weekday,52.42342183
347,12,16,up,weekday,48.69043478
348,12,17,down,weekday,50.48618799
349,12,17,up,weekday,46.82045455
350,12,18,down,weekday,45.37758904
351,12,18,up,weekday,49.33472222
352,12,19,down,weekday,38.65051813
353,12,19,up,weekday,69.63769231
354,12,20,down,weekday,39.15650704
355,12,20,up,weekday,35.44428571
356,12,21,down,weekday,29.71578125
357,12,21,up,weekday,33.04666667
358,12,22,down,weekday,25.53367347
359,12,22,up,weekday,31.93263158
360,12,23,down,weekday,23.41533898
361,12,23,up,weekday,29.735
362,13,0,down,weekday,22.93317757
363,13,0,up,weekday,42.39333333
364,13,1,down,weekday,17.30625
365,13,1,up,weekday,14.66333333
366,13,2,down,weekday,23.99
367,13,3,down,weekday,13.91642857
368,13,3,up,weekday,16.175
369,13,4,down,weekday,17.57133333
370,13,5,down,weekday,22.27160714
371,13,5,up,weekday,6.11
372,13,6,down,weekday,31.28696133
373,13,6,up,weekday,44.0075
374,13,7,down,weekday,35.05127049
375,13,7,up,weekday,92.21692308
376,13,8,down,weekday,28.8086755
377,13,8,up,weekday,85.80214286
378,13,9,down,weekday,25.79892857
379,13,9,up,weekday,80.85529412
380,13,10,down,weekday,30.93989011
381,13,10,up,weekday,53.26789474
382,13,11,down,weekday,23.1543554
383,13,11,up,weekday,103.536
384,13,12,down,weekday,21.76283988
385,13,12,up,weekday,100.0852174
386,13,13,down,weekday,24.42943333
387,13,13,up,weekday,113
388,13,14,down,weekday,27.66632302
389,13,14,up,weekday,76.846875
390,13,15,down,weekday,27.00147059
391,13,15,up,weekday,84.86970588
392,13,16,down,weekday,24.05681682
393,13,16,up,weekday,59.04435897
394,13,17,down,weekday,20.98789773
395,13,17,up,weekday,82.04482759
396,13,18,down,weekday,22.985
397,13,18,up,weekday,72.56444444
398,13,19,down,weekday,26.00601626
399,13,19,up,weekday,82.03526316
400,13,20,down,weekday,28.97750742
401,13,20,up,weekday,67.08818182
402,13,21,down,weekday,26.78501672
403,13,21,up,weekday,36.9725
404,13,22,down,weekday,23.95748503
405,13,22,up,weekday,28.01428571
406,13,23,down,weekday,17.63477778
407,13,23,up,weekday,12.03
408,14,0,down,weekday,25.19351648
409,14,0,up,weekday,26.79666667
410,14,1,down,weekday,19.74246575
411,14,1,up,weekday,22.95
412,14,2,down,weekday,22.7168
413,14,3,down,weekday,15.91125
414,14,4,down,weekday,17.25285714
415,14,4,up,weekday,19.65
416,14,5,down,weekday,19.99289855
417,14,5,up,weekday,22.885
418,14,6,down,weekday,29.30152632
419,14,6,up,weekday,37.86428571
420,14,7,down,weekday,41.67968627
421,14,7,up,weekday,69.51428571
422,14,8,down,weekday,40.06931373
423,14,8,up,weekday,61.006
424,14,9,down,weekday,37.7078
425,14,9,up,weekday,95.68941176
426,14,10,down,weekday,39.48445693
427,14,10,up,weekday,98.38083333
428,14,11,down,weekday,33.83375427
429,14,11,up,weekday,105.613913
430,14,12,down,weekday,32.17045045
431,14,12,up,weekday,85.3173913
432,14,13,down,weekday,41.45041534
433,14,13,up,weekday,134.48625
434,14,14,down,weekday,41.74787456
435,14,14,up,weekday,93.59875
436,14,15,down,weekday,35.97754902
437,14,15,up,weekday,79.14769231
438,14,16,down,weekday,33.16552469
439,14,16,up,weekday,94.53285714
440,14,17,down,weekday,33.33884615
441,14,17,up,weekday,84.36933333
442,14,18,down,weekday,41.4958908
443,14,18,up,weekday,87.23478261
444,14,19,down,weekday,39.23078313
445,14,19,up,weekday,83.64823529
446,14,20,down,weekday,36.40923875
447,14,20,up,weekday,78.358
448,14,21,down,weekday,30.96290749
449,14,21,up,weekday,62.74833333
450,14,22,down,weekday,24.40603448
451,14,22,up,weekday,30.54
452,14,23,down,weekday,22.08063063
453,14,23,up,weekday,12.585
454,15,0,down,weekday,21.9358427
455,15,1,down,weekday,28.14326531
456,15,2,down,weekday,30.3152381
457,15,3,down,weekday,22.39454545
