,floor,hour,direction,avgWait_weekday
0,1,4,down,0.0
1,1,4,up,0.0
2,1,5,up,0.0
3,1,5,down,0.0
4,1,6,up,0.0
5,1,6,down,0.0
6,1,9,up,0.0
7,1,10,up,0.0
8,1,11,down,0.0
9,1,11,up,0.0
10,1,12,down,0.0
11,1,12,up,0.0
12,1,13,down,0.0
13,1,13,up,0.0
14,1,14,down,0.0
15,1,14,up,0.0
16,1,16,up,0.0
17,1,17,down,0.0
18,1,17,up,0.0
19,1,18,up,0.0
20,1,19,up,0.0
21,1,20,up,0.0
22,1,20,down,0.0
23,1,21,up,0.0
24,1,21,down,0.0
25,1,22,down,0.0
26,1,22,up,0.0
27,2,9,down,0.0
28,2,18,up,0.0
29,2,19,down,0.0
30,2,19,up,0.0
31,2,20,down,0.0
32,3,2,down,0.0
33,3,2,up,0.0
34,3,7,down,0.0
35,3,12,down,0.0
36,3,13,up,0.0
37,3,15,down,0.0
38,3,18,up,0.0
39,3,20,up,0.0
40,3,23,up,0.0
41,4,2,up,0.0
42,4,6,down,0.0
43,4,9,up,0.0
44,4,11,down,0.0
45,4,15,up,0.0
46,4,16,down,0.0
47,4,16,up,0.0
48,4,18,down,0.0
49,4,18,up,0.0
50,4,19,down,0.0
51,4,19,up,0.0
52,4,20,down,0.0
53,4,20,up,0.0
54,4,21,up,0.0
55,4,23,up,0.0
56,5,1,down,0.0
57,5,6,down,0.0
58,5,6,up,0.0
59,5,8,down,0.0
60,5,9,down,0.0
61,5,10,down,0.0
62,5,11,down,0.0
63,5,14,up,0.0
64,5,16,down,0.0
65,5,17,up,0.0
66,5,18,up,0.0
67,5,18,down,0.0
68,5,19,down,0.0
69,5,19,up,0.0
70,5,20,down,0.0
71,5,21,up,0.0
72,5,22,up,0.0
73,6,4,down,0.0
74,6,10,up,0.0
75,6,13,down,0.0
76,6,13,up,0.0
77,6,14,up,0.0
78,6,16,down,0.0
79,6,18,up,0.0
80,6,18,down,0.0
81,6,20,up,0.0
82,6,21,up,0.0
83,6,21,down,0.0
84,6,22,up,0.0
85,7,11,down,0.0
86,7,14,up,0.0
87,7,16,down,0.0
88,7,18,up,0.0
89,7,18,down,0.0
90,7,19,up,0.0
91,7,19,down,0.0
92,7,20,down,0.0
93,7,20,up,0.0
94,7,21,up,0.0
95,7,21,down,0.0
96,7,22,down,0.0
97,8,11,up,0.0
98,8,12,down,0.0
99,8,14,up,0.0
100,8,16,down,0.0
101,8,18,down,0.0
102,8,18,up,0.0
103,8,19,down,0.0
104,8,20,down,0.0
105,8,21,down,0.0
106,8,22,down,0.0
107,9,17,up,0.0
108,9,18,up,0.0
109,9,18,down,0.0
110,9,19,up,0.0
111,9,20,down,0.0
112,9,21,up,0.0
113,10,7,down,197.19
114,10,11,down,17.77
115,10,17,down,324.39
116,10,18,down,16.383333333333333
117,10,18,up,9.956666666666669
118,11,11,down,8.16
119,11,11,up,159.16
120,11,17,up,98.515
121,11,19,down,144.14166666666668
122,11,20,down,17.62
123,11,21,down,37.74
124,11,21,up,1.26
125,12,7,up,80.66
126,12,11,down,1.3
127,12,17,down,24.535
128,12,18,down,20.63
129,12,20,down,20.41
130,13,7,up,20.41
131,13,8,down,100.67
132,13,8,up,74.79
133,13,11,up,1.39
134,13,18,down,3.3925
135,13,21,down,25.325
136,13,22,down,19.02
137,14,17,down,23.82
138,14,18,down,34.035
139,15,6,down,2.81
140,15,8,down,4.075
141,15,11,down,1.34
142,B1,6,up,250.235
143,B1,6,down,21.77
144,B1,7,down,1.36
145,B1,7,up,4.92
146,B1,8,up,2.717142857142857
147,B1,8,down,141.45
148,B1,9,up,10.01
149,B1,9,down,2.72
150,B1,10,up,23.11
151,B1,10,down,2.0300000000000002
152,B1,11,down,5.956666666666666
153,B1,11,up,23.785
154,B1,12,down,92.03285714285714
155,B1,12,up,200.4125
156,B1,13,up,5.385
157,B1,14,down,76.41333333333334
158,B1,14,up,1.8980000000000001
159,B1,15,up,24.279999999999998
160,B1,15,down,189.09
161,B1,16,down,113.15454545454544
162,B1,16,up,23.951999999999998
163,B1,17,down,30.97142857142857
164,B1,17,up,34.71
165,B1,18,down,27.70833333333333
166,B1,18,up,13.18
167,B1,19,down,15.125
168,B1,19,up,7.936666666666667
169,B1,20,down,24.258
170,B1,20,up,50.29
171,B1,21,up,5.105
172,B1,22,up,2.71
173,B3,6,up,183.11999999999998
174,B3,6,down,39.44
175,B3,7,down,20.44
176,B3,7,up,76.81
177,B3,9,down,121.04
178,B3,10,down,14.91
179,B3,11,down,234.845
180,B3,11,up,112.05199999999999
181,B3,12,down,40.215
182,B3,12,up,18.0625
183,B3,14,up,6.88
184,B3,15,up,183.82
185,B3,16,up,116.42285714285715
186,B3,16,down,270.13
187,B3,17,up,56.56285714285714
188,B3,17,down,18.7025
189,B3,18,up,14.93
190,B3,19,down,15.0
191,B3,20,up,29.5625
192,B3,20,down,16.33
193,B3,21,up,27.0
194,B4,5,up,17.73
195,B4,6,up,22.544285714285714
196,B4,7,up,43.41
197,B4,8,up,59.9225
198,B4,9,up,89.6557142857143
199,B4,10,up,78.11875
200,B4,12,up,164.145
201,B4,13,up,139.4375
202,B4,14,up,72.7375
203,B4,15,up,134.868
204,B4,17,up,130.4518181818182
205,B4,18,up,17.74
206,B4,19,up,17.197
