,floor,hour,direction,avgWait_weekend
0,1,4,up,0.0
1,1,5,down,0.0
2,1,5,up,0.0
3,1,6,down,0.0
4,1,11,up,0.0
5,1,12,up,0.0
6,1,13,up,0.0
7,1,14,down,0.0
8,1,16,up,0.0
9,1,18,up,0.0
10,1,19,down,0.0
11,1,21,up,0.0
12,1,22,up,0.0
13,2,15,down,0.0
14,2,18,up,0.0
15,2,19,up,0.0
16,3,1,up,0.0
17,3,2,up,0.0
18,3,18,up,0.0
19,3,19,up,0.0
20,4,2,up,0.0
21,4,16,down,0.0
22,4,16,up,0.0
23,4,20,down,0.0
24,4,20,up,0.0
25,4,23,up,0.0
26,5,0,down,0.0
27,5,1,down,0.0
28,5,6,up,0.0
29,5,10,up,0.0
30,5,11,up,0.0
31,5,14,down,0.0
32,5,17,up,0.0
33,5,18,up,0.0
34,5,19,down,0.0
35,5,19,up,0.0
36,5,20,up,0.0
37,5,21,up,0.0
38,5,22,up,0.0
39,6,4,down,0.0
40,6,17,up,0.0
41,6,18,down,0.0
42,6,18,up,0.0
43,6,21,up,0.0
44,6,21,down,0.0
45,6,22,down,0.0
46,7,10,up,0.0
47,7,18,down,0.0
48,7,18,up,0.0
49,7,19,down,0.0
50,7,19,up,0.0
51,7,21,down,0.0
52,7,21,up,0.0
53,7,22,down,0.0
54,7,22,up,0.0
55,8,18,down,0.0
56,8,19,down,0.0
57,8,21,down,0.0
58,8,22,down,0.0
59,9,14,up,0.0
60,9,16,up,0.0
61,9,18,up,0.0
62,9,21,up,0.0
63,10,18,down,42.39
64,11,11,down,181.28
65,11,11,up,13.57
66,11,17,down,9.38
67,11,17,up,33.96
68,11,18,down,213.0275
69,11,18,up,20.51
70,11,21,down,24.060000000000002
71,12,18,down,8.209999999999999
72,12,21,down,23.13
73,13,18,down,28.52
74,14,9,down,2.71
75,14,10,up,25.8
76,14,17,down,32.84
77,14,18,down,17.67
78,15,8,down,1.36
79,15,18,down,21.77
80,B1,6,up,1.35
81,B1,7,down,1.36
82,B1,7,up,1.37
83,B1,8,down,1.42
84,B1,8,up,42.68
85,B1,9,down,1.37
86,B1,9,up,371.3833333333334
87,B1,10,up,1.38
88,B1,12,up,5.1049999999999995
89,B1,12,down,16.33
90,B1,14,up,1.3625
91,B1,15,down,34.83
92,B1,15,up,197.505
93,B1,16,down,23.97
94,B1,16,up,14.593333333333334
95,B1,17,down,16.43
96,B1,18,down,43.1
97,B1,18,up,16.38
98,B1,19,down,205.592
99,B1,19,up,1.43
100,B1,20,down,8.85
101,B1,20,up,19.805
102,B3,6,down,10.88
103,B3,11,up,39.46
104,B3,12,down,145.42
105,B3,12,up,14.95
106,B3,16,up,24.253999999999998
107,B3,17,down,24.604
108,B3,17,up,34.964999999999996
109,B3,18,up,32.68
110,B3,20,up,14.96
111,B4,6,up,14.43
112,B4,7,up,126.815
113,B4,8,up,141.37
114,B4,9,up,133.46
115,B4,10,up,152.69500000000002
116,B4,11,up,1.2733333333333334
117,B4,12,up,83.93
118,B4,13,up,145.495
119,B4,15,up,328.53
120,B4,16,up,57.745
121,B4,17,up,22.501666666666665
122,B4,19,up,108.56333333333333
123,B4,20,up,15.07
