,floor,hour,direction,week,avgWait
0,1,0,down,weekday,8.522531646
1,1,0,up,weekday,8.601529412
2,1,1,down,weekday,7.765888889
3,1,1,up,weekday,8.178059701
4,1,2,down,weekday,8.751071429
5,1,2,up,weekday,9.678790323
6,1,3,down,weekday,6.26425
7,1,3,up,weekday,6.516292135
8,1,4,down,weekday,6.071142857
9,1,4,up,weekday,9.917216495
10,1,5,down,weekday,10.27484127
11,1,5,up,weekday,9.1604
12,1,6,down,weekday,14.40694779
13,1,6,up,weekday,14.20090909
14,1,7,down,weekday,23.11881818
15,1,7,up,weekday,13.9600936
16,1,8,down,weekday,19.21206478
17,1,8,up,weekday,17.42368812
18,1,9,down,weekday,16.59533333
19,1,9,up,weekday,16.46334963
20,1,10,down,weekday,18.32746781
21,1,10,up,weekday,16.03810056
22,1,11,down,weekday,14.6336019
23,1,11,up,weekday,15.8731768
24,1,12,down,weekday,18.76695652
25,1,12,up,weekday,15.11167082
26,1,13,down,weekday,19.69828452
27,1,13,up,weekday,13.59246883
28,1,14,down,weekday,15.00331915
29,1,14,up,weekday,14.77317365
30,1,15,down,weekday,13.29358025
31,1,15,up,weekday,16.95869688
32,1,16,down,weekday,18.17852941
33,1,16,up,weekday,16.47387674
34,1,17,down,weekday,17.56090566
35,1,17,up,weekday,15.05960073
36,1,18,down,weekday,21.9837395
37,1,18,up,weekday,16.44770197
38,1,19,down,weekday,20.43758475
39,1,19,up,weekday,15.60247974
40,1,20,down,weekday,14.56617647
41,1,20,up,weekday,12.94170557
42,1,21,down,weekday,12.62640449
43,1,21,up,weekday,11.9999604
44,1,22,down,weekday,12.22162393
45,1,22,up,weekday,9.087728614
46,1,23,down,weekday,11.46561404
47,1,23,up,weekday,9.107789855
48,2,0,down,weekday,12.898
49,2,0,up,weekday,20.51
50,2,1,down,weekday,8.938571429
51,2,1,up,weekday,11.21
52,2,2,down,weekday,8.043333333
53,2,2,up,weekday,8.16
54,2,3,down,weekday,7.573
55,2,3,up,weekday,15.76
56,2,4,up,weekday,11.615
57,2,4,down,weekday,14.954
58,2,5,up,weekday,1.02
59,2,5,down,weekday,7.636666667
60,2,6,down,weekday,10.19
61,2,6,up,weekday,10.57
62,2,7,down,weekday,24.38909091
63,2,7,up,weekday,11.97636364
64,2,8,down,weekday,20.499375
65,2,8,up,weekday,11.95967391
66,2,9,down,weekday,18.43226277
67,2,9,up,weekday,11.93465517
68,2,10,down,weekday,16.37954128
69,2,10,up,weekday,11.92527273
70,2,11,down,weekday,12.43953271
71,2,11,up,weekday,12.325
72,2,12,down,weekday,15.95678571
73,2,12,up,weekday,10.51898305
74,2,13,down,weekday,19.80925532
75,2,13,up,weekday,14.8195283
76,2,14,down,weekday,14.95176471
77,2,14,up,weekday,10.52977011
78,2,15,down,weekday,13.841875
79,2,15,up,weekday,12.73336842
80,2,16,down,weekday,14.28520661
81,2,16,up,weekday,11.04254717
82,2,17,down,weekday,16.47047619
83,2,17,up,weekday,9.862352941
84,2,18,down,weekday,17.96979167
85,2,18,up,weekday,12.44227273
86,2,19,up,weekday,11.99153846
87,2,19,down,weekday,22.4371875
88,2,20,down,weekday,20.92
89,2,20,up,weekday,14.83
90,2,21,down,weekday,9.117692308
91,2,21,up,weekday,13.21
92,2,22,down,weekday,19.34666667
93,2,22,up,weekday,11.82
94,2,23,down,weekday,16.57
95,2,23,up,weekday,14.845
96,3,0,down,weekday,14.06173077
97,3,0,up,weekday,16.16
98,3,1,down,weekday,10.68210526
99,3,1,up,weekday,11.24236842
100,3,2,down,weekday,6.439459459
101,3,2,up,weekday,10.76
102,3,3,down,weekday,7.35969697
103,3,3,up,weekday,9.624642857
104,3,4,down,weekday,7.805882353
105,3,4,up,weekday,9.660909091
106,3,5,down,weekday,5.791395349
107,3,5,up,weekday,12.92423077
108,3,6,down,weekday,17.73811321
109,3,6,up,weekday,12.80103448
110,3,7,down,weekday,28.72130952
111,3,7,up,weekday,10.18038961
112,3,8,down,weekday,24.31434783
113,3,8,up,weekday,14.11192661
114,3,9,down,weekday,25.98494792
115,3,9,up,weekday,12.00670659
116,3,10,down,weekday,21.56098361
117,3,10,up,weekday,14.78801205
118,3,11,down,weekday,15.49
119,3,11,up,weekday,13.62454545
120,3,12,down,weekday,17.50336898
121,3,12,up,weekday,12.85968153
122,3,13,down,weekday,22.16386364
123,3,13,up,weekday,14.66173913
124,3,14,down,weekday,18.50390698
125,3,14,up,weekday,11.99995122
126,3,15,down,weekday,18.87324201
127,3,15,up,weekday,11.39479532
128,3,16,down,weekday,19.42920949
129,3,16,up,weekday,12.71698347
130,3,17,down,weekday,24.11417355
131,3,17,up,weekday,13.06145833
132,3,18,down,weekday,24.37560241
133,3,18,up,weekday,11.81348624
134,3,19,down,weekday,20.88069565
135,3,19,up,weekday,14.55126214
