,floor,hour,direction,week,avgWait
0,B4,0,up,weekday,13.54285714
1,B4,1,up,weekday,3.435
2,B4,2,up,weekday,20.2575
3,B4,3,up,weekday,21.478
4,B4,4,up,weekday,6.17
5,B4,5,up,weekday,14.74583333
6,B4,6,up,weekday,24.82973333
7,B4,7,up,weekday,32.40641791
8,B4,8,up,weekday,30.08351779
9,B4,9,up,weekday,31.82159624
10,B4,10,up,weekday,34.1715859
11,B4,11,up,weekday,49.02057613
12,B4,12,up,weekday,48.67666667
13,B4,13,up,weekday,43.59296296
14,B4,14,up,weekday,32.46376984
15,B4,15,up,weekday,35.87952381
16,B4,16,up,weekday,34.2713834
17,B4,17,up,weekday,40.27939394
18,B4,18,up,weekday,31.82266667
19,B4,19,up,weekday,26.47895833
20,B4,20,up,weekday,21.43890625
21,B4,21,up,weekday,21.42745455
22,B4,22,up,weekday,12.7225
23,B4,23,up,weekday,27.55888889
24,B3,0,up,weekday,14.26
25,B3,1,up,weekday,8.81
26,B3,4,up,weekday,13.16
27,B3,5,up,weekday,15.06
28,B3,6,up,weekday,13.83535714
29,B3,6,down,weekday,11.72
30,B3,7,up,weekday,19.91534392
31,B3,7,down,weekday,22.58
32,B3,8,up,weekday,20.17243243
33,B3,8,down,weekday,30.31272727
34,B3,9,up,weekday,18.43597015
35,B3,9,down,weekday,42.51071429
36,B3,10,up,weekday,20.58682243
37,B3,10,down,weekday,25.10037037
38,B3,11,down,weekday,36.19391304
39,B3,11,up,weekday,21.71535088
40,B3,12,down,weekday,22.92956522
41,B3,12,up,weekday,27.95846847
42,B3,13,up,weekday,22.53537634
43,B3,13,down,weekday,18.629
44,B3,14,down,weekday,23.7655
45,B3,14,up,weekday,21.90603774
46,B3,15,up,weekday,16.1509901
47,B3,15,down,weekday,21.84884615
48,B3,16,up,weekday,19.57567568
49,B3,16,down,weekday,18.58392857
50,B3,17,up,weekday,19.60731343
51,B3,17,down,weekday,33.78166667
52,B3,18,up,weekday,20.53404762
53,B3,18,down,weekday,25.26
54,B3,19,up,weekday,34.61463415
55,B3,19,down,weekday,56.8
56,B3,20,up,weekday,29.92285714
57,B3,21,up,weekday,20.07733333
58,B3,21,down,weekday,53.66333333
59,B3,22,up,weekday,18.15222222
60,B3,22,down,weekday,20.1
61,B3,23,up,weekday,16.64
62,B1,0,down,weekday,11.775
63,B1,0,up,weekday,10.28657895
64,B1,1,down,weekday,10.204
65,B1,1,up,weekday,7.592954545
66,B1,2,up,weekday,6.351818182
67,B1,3,up,weekday,9.102142857
68,B1,3,down,weekday,1.21
69,B1,4,up,weekday,9.189473684
70,B1,5,up,weekday,7.678333333
71,B1,6,down,weekday,31.29852941
72,B1,6,up,weekday,19.47764706
73,B1,7,down,weekday,28.96854839
74,B1,7,up,weekday,26.18236715
75,B1,8,down,weekday,25.05783133
76,B1,8,up,weekday,28.25829181
77,B1,9,down,weekday,21.0788764
78,B1,9,up,weekday,26.97566462
79,B1,10,down,weekday,24.15363636
80,B1,10,up,weekday,30.99402844
81,B1,11,down,weekday,25.9253271
82,B1,11,up,weekday,28.9941483
83,B1,12,down,weekday,23.6033871
84,B1,12,up,weekday,33.96481203
85,B1,13,down,weekday,25.2455303
86,B1,13,up,weekday,27.07171598
87,B1,14,down,weekday,22.07666667
88,B1,14,up,weekday,29.7032636
89,B1,15,down,weekday,20.39195122
90,B1,15,up,weekday,29.27938215
91,B1,16,down,weekday,17.15445378
92,B1,16,up,weekday,30.23877944
93,B1,17,down,weekday,28.58122642
94,B1,17,up,weekday,34.59875686
