,floor,hour,direction,week,avgWait
0,1,0,down,weekday,26.73869565
1,1,0,up,weekday,20.35417582
2,1,1,down,weekday,34.78214286
3,1,1,up,weekday,39.85246154
4,1,2,down,weekday,37.13428571
5,1,2,up,weekday,21.32051724
6,1,3,up,weekday,18.14679245
7,1,3,down,weekday,121.3345
8,1,4,down,weekday,113.6365217
9,1,4,up,weekday,18.60585714
10,1,5,down,weekday,24.19058824
11,1,5,up,weekday,4.539295775
12,1,6,down,weekday,10.96571429
13,1,6,up,weekday,9.329154079
14,1,7,down,weekday,27.67646552
15,1,7,up,weekday,13.48912713
16,1,8,down,weekday,18.82
17,1,8,up,weekday,13.78636986
18,1,9,down,weekday,16.15831858
19,1,9,up,weekday,14.52332518
20,1,10,down,weekday,12.77337349
21,1,10,up,weekday,11.076341
22,1,11,down,weekday,17.72076271
23,1,11,up,weekday,15.87142395
24,1,12,down,weekday,11.44184615
25,1,12,up,weekday,9.443265007
26,1,13,down,weekday,22.06440678
27,1,13,up,weekday,16.00987374
28,1,14,down,weekday,17.82094937
29,1,14,up,weekday,13.83259912
30,1,15,down,weekday,16.06248408
31,1,15,up,weekday,16.0102093
32,1,16,down,weekday,17.74027778
33,1,16,up,weekday,16.65926582
34,1,17,down,weekday,14.22973333
35,1,17,up,weekday,16.05889197
36,1,18,down,weekday,16.53755814
37,1,18,up,weekday,14.92747573
38,1,19,down,weekday,23.36727273
39,1,19,up,weekday,13.05824057
40,1,20,down,weekday,19.83785714
41,1,20,up,weekday,9.249819277
42,1,21,down,weekday,44.71603175
43,1,21,up,weekday,8.602810127
44,1,22,down,weekday,34.74482143
45,1,22,up,weekday,12.35340996
46,1,23,down,weekday,71.81318182
47,1,23,up,weekday,15.20776471
48,2,0,down,weekday,63.6575
49,2,1,down,weekday,286.356
50,2,2,down,weekday,212.615
51,2,3,down,weekday,294.6190909
52,2,4,down,weekday,110.43875
53,2,5,down,weekday,92.2575
54,2,5,up,weekday,98.52142857
55,2,6,down,weekday,19.31666667
56,2,6,up,weekday,3.563333333
57,2,7,down,weekday,15.775
58,2,7,up,weekday,7.009545455
59,2,8,down,weekday,19.11875
60,2,8,up,weekday,10.40258065
61,2,9,down,weekday,20.23047619
62,2,9,up,weekday,9.910166667
63,2,10,down,weekday,14.93202532
64,2,10,up,weekday,11.74943662
65,2,11,down,weekday,16.91574074
66,2,11,up,weekday,9.668860759
67,2,12,down,weekday,8.510833333
68,2,12,up,weekday,9.866315789
69,2,13,down,weekday,20.832
70,2,13,up,weekday,11.76222222
71,2,14,down,weekday,19.14441176
72,2,14,up,weekday,8.066388889
73,2,15,up,weekday,10.17684211
74,2,15,down,weekday,15.14016129
75,2,16,down,weekday,17.71227273
76,2,16,up,weekday,10.73355932
77,2,17,down,weekday,23.5565
78,2,17,up,weekday,13.06444444
79,2,18,down,weekday,22.76619048
80,2,18,up,weekday,6.01
81,2,19,down,weekday,23.601
82,2,19,up,weekday,27.47
83,2,20,down,weekday,17.44142857
84,2,20,up,weekday,10.205
85,2,21,down,weekday,12.91285714
86,2,21,up,weekday,7.66
87,2,22,down,weekday,94.02333333
88,2,22,up,weekday,29.19
89,2,23,down,weekday,158.32375
