,floor,hour,direction,avgWait_weekday
0,1,0,down,1.585
1,1,1,down,1.5883333333333336
2,1,2,down,1.5539999999999998
3,1,3,down,1.6266666666666667
4,1,4,down,1.623
5,1,5,down,1.627
6,1,6,down,1.6866666666666668
7,1,7,down,4.346153846153846
8,1,8,down,7.335696202531645
9,1,9,down,3.9769047619047617
10,1,10,down,3.1487499999999997
11,1,11,down,6.481891891891892
12,1,12,down,7.0263636363636355
13,1,13,down,4.577368421052632
14,1,14,down,4.914666666666666
15,1,15,down,4.656315789473684
16,1,16,down,7.097733333333332
17,1,17,down,8.785238095238094
18,1,18,down,2.9314285714285715
19,1,19,down,4.99
20,1,20,down,2.537
21,1,21,down,4.666190476190476
22,1,22,down,1.6019999999999999
23,1,23,down,3.1366666666666667
24,B1,1,up,1.5725000000000002
25,B1,2,up,1.585
26,B1,3,up,1.59
27,B1,4,up,1.6066666666666665
28,B1,5,up,1.5888888888888888
29,B1,6,up,1.6619999999999997
30,B1,7,up,4.456
31,B1,8,up,9.992235294117647
32,B1,9,up,6.470322580645162
33,B1,10,up,2.005263157894737
34,B1,11,up,4.768421052631579
35,B1,12,up,8.082333333333333
36,B1,13,up,3.7864705882352943
37,B1,14,up,7.6337254901960785
38,B1,15,up,5.748620689655172
39,B1,16,up,8.931896551724137
40,B1,17,up,8.602105263157895
41,B1,18,up,4.226363636363636
42,B1,19,up,3.195
43,B1,20,up,1.576
44,B1,21,up,3.6637500000000003
45,B1,22,up,1.577142857142857
46,B1,23,up,2.553888888888889
