,floor,hour,direction,avgWait_weekend
0,1,0,down,1.6325
1,1,3,down,1.6
2,1,4,down,1.65
3,1,5,down,1.554
4,1,6,down,2.14
5,1,7,down,2.648181818
6,1,8,down,3.316666667
7,1,9,down,4.142941176
8,1,10,down,3.382666667
9,1,11,down,3.99
10,1,12,down,2.547222222
11,1,13,down,3.349
12,1,14,down,5.057894737
13,1,15,down,5.9465
14,1,16,down,5.213333333
15,1,17,down,3.6925
16,1,18,down,2.932857143
17,1,19,down,1.583333333
18,1,20,down,1.618
19,1,21,down,4.106111111
20,1,22,down,1.5875
21,1,23,down,3.563
22,B1,0,up,1.663333333
23,B1,3,up,1.61
24,B1,4,up,1.695
25,B1,5,up,1.58
26,B1,6,up,1.6
27,B1,7,up,2.473333333
28,B1,8,up,5.818378378
29,B1,9,up,3.512857143
30,B1,10,up,2.760666667
31,B1,11,up,5.416
32,B1,12,up,3.088181818
33,B1,13,up,4.367142857
34,B1,14,up,7.272
35,B1,15,up,8.040909091
36,B1,16,up,6.831875
37,B1,17,up,5.911818182
38,B1,18,up,2.992857143
39,B1,19,up,1.563333333
40,B1,20,up,1.6525
41,B1,21,up,4.522307692
42,B1,22,up,1.64
43,B1,23,up,1.59
