,floor,hour,direction,week,avgWait
0,1,0,down,weekday,8.03
1,1,0,up,weekday,3.78375
2,1,1,down,weekday,8.425
3,1,1,up,weekday,11.136
4,1,2,down,weekday,9.365
5,1,2,up,weekday,10.36
6,1,3,down,weekday,19.94333333
7,1,3,up,weekday,15.75
8,1,4,up,weekday,8.65
9,1,4,down,weekday,0.67
10,1,5,down,weekday,25.10833333
11,1,5,up,weekday,16.08909091
12,1,6,down,weekday,24.06220779
13,1,6,up,weekday,16.92088154
14,1,7,down,weekday,33.54444444
15,1,7,up,weekday,13.09365169
16,1,8,down,weekday,30.01764706
17,1,8,up,weekday,12.07878995
18,1,9,down,weekday,18.44009901
19,1,9,up,weekday,13.38857143
20,1,10,down,weekday,22.38050505
21,1,10,up,weekday,13.70707395
22,1,11,down,weekday,16.186875
23,1,11,up,weekday,11.20741135
24,1,12,down,weekday,26.69333333
25,1,12,up,weekday,12.53194842
26,1,13,down,weekday,24.9458
27,1,13,up,weekday,12.30185507
28,1,14,down,weekday,24.87350877
29,1,14,up,weekday,14.29804487
30,1,15,down,weekday,25.07018349
31,1,15,up,weekday,13.24454849
32,1,16,down,weekday,20.94330189
33,1,16,up,weekday,13.46622951
34,1,17,down,weekday,22.0454918
35,1,17,up,weekday,14.2458498
36,1,18,down,weekday,16.54274194
37,1,18,up,weekday,15.24994709
38,1,19,down,weekday,14.9778
39,1,19,up,weekday,12.24307692
40,1,20,down,weekday,12.75555556
41,1,20,up,weekday,11.076
42,1,21,down,weekday,7.246
43,1,21,up,weekday,9.712916667
44,1,22,down,weekday,10.5852381
45,1,22,up,weekday,9.361983471
46,1,23,down,weekday,7.184
47,1,23,up,weekday,12.37666667
48,2,0,up,weekday,17.56
49,2,1,down,weekday,1.24
50,2,4,up,weekday,16.23
51,2,6,up,weekday,15.592
52,2,6,down,weekday,11.63
53,2,7,down,weekday,36.74321429
54,2,7,up,weekday,10.39376623
55,2,8,up,weekday,9.845343511
56,2,8,down,weekday,35.0115493
57,2,9,down,weekday,28.76467532
58,2,9,up,weekday,15.06892857
59,2,10,up,weekday,9.086277372
60,2,10,down,weekday,37.01015625
61,2,11,down,weekday,24.17361111
62,2,11,up,weekday,10.62530864
63,2,12,down,weekday,30.095
64,2,12,up,weekday,9.719496855
65,2,13,down,weekday,35.29158537
66,2,13,up,weekday,9.677368421
67,2,14,down,weekday,29.43313253
68,2,14,up,weekday,9.962236842
69,2,15,down,weekday,25.49359551
70,2,15,up,weekday,10.56541401
71,2,16,down,weekday,26.15734177
72,2,16,up,weekday,9.040130719
73,2,17,down,weekday,18.3768254
74,2,17,up,weekday,10.68721805
75,2,18,up,weekday,11.77819444
76,2,18,down,weekday,23.60795918
77,2,19,down,weekday,21.28529412
78,2,19,up,weekday,14.951
79,2,20,down,weekday,12.49636364
80,2,20,up,weekday,11.01923077
81,2,21,down,weekday,17.56
82,2,21,up,weekday,11.052
83,2,22,down,weekday,17.93
84,2,22,up,weekday,19.81
85,2,23,down,weekday,17.65
86,2,23,up,weekday,0.92
87,3,0,up,weekday,14.22588235
88,3,0,down,weekday,19.435
89,3,1,up,weekday,15.04666667
90,3,1,down,weekday,9.195
91,3,2,down,weekday,15.796
92,3,2,up,weekday,10.44666667
93,3,3,up,weekday,19.05
94,3,3,down,weekday,18.53
95,3,4,down,weekday,1.59
96,3,4,up,weekday,9.275
97,3,5,down,weekday,19.185
98,3,6,down,weekday,24.36666667
99,3,6,up,weekday,8.01
100,3,7,down,weekday,29.16791667
101,3,7,up,weekday,9.027333333
102,3,8,down,weekday,37.08492063
103,3,8,up,weekday,7.637755102
104,3,9,down,weekday,34.77699029
105,3,9,up,weekday,10.8317284
106,3,10,down,weekday,27.34505747
107,3,10,up,weekday,10.27156627
108,3,11,down,weekday,27.17586466
109,3,11,up,weekday,8.814210526
110,3,12,down,weekday,33.07615385
111,3,12,up,weekday,7.915147059
112,3,13,down,weekday,43.14269231
113,3,13,up,weekday,10.3305618
114,3,14,down,weekday,34.79205607
115,3,14,up,weekday,9.455461538
116,3,15,down,weekday,29.85433628
117,3,15,up,weekday,11.30528
118,3,16,down,weekday,29.85318841
119,3,16,up,weekday,9.854083333
120,3,17,down,weekday,31.9285567
121,3,17,up,weekday,12.09235955
122,3,18,down,weekday,22.90538462
123,3,18,up,weekday,10.01756757
124,3,19,down,weekday,19.35228571
125,3,19,up,weekday,14.84
126,3,20,down,weekday,13.57551724
127,3,20,up,weekday,13.21444444
128,3,21,down,weekday,14.82214286
129,3,21,up,weekday,11.88181818
130,3,22,down,weekday,16.63444444
131,3,22,up,weekday,8.68
132,3,23,down,weekday,18.75
133,3,23,up,weekday,12.39833333
134,4,0,down,weekday,14.218
135,4,0,up,weekday,14.67366667
136,4,1,up,weekday,14.33916667
137,4,1,down,weekday,13.628
138,4,2,up,weekday,13.96
139,4,2,down,weekday,1.6
140,4,3,up,weekday,17.5
141,4,4,up,weekday,18.7
142,4,4,down,weekday,1.48
143,4,5,up,weekday,16.78
144,4,5,down,weekday,17.965
145,4,6,down,weekday,29.2575
146,4,6,up,weekday,15.76681818
147,4,7,down,weekday,28.6555
148,4,7,up,weekday,10.30380952
149,4,8,down,weekday,40.47111111
150,4,8,up,weekday,9.807317073
151,4,9,down,weekday,32.21
152,4,9,up,weekday,9.114137931
153,4,10,down,weekday,49.3126087
154,4,10,up,weekday,9.694130435
155,4,11,down,weekday,35.90232877
156,4,11,up,weekday,10.39409639
157,4,12,down,weekday,24.99070175
158,4,12,up,weekday,9.125754717
159,4,13,down,weekday,39.21245902
160,4,13,up,weekday,8.7271
161,4,14,down,weekday,52.844
162,4,14,up,weekday,11.32754237
163,4,15,down,weekday,44.4203
164,4,15,up,weekday,9.756090226
165,4,16,down,weekday,35.33483871
166,4,16,up,weekday,11.835
167,4,17,down,weekday,26.32126316
168,4,17,up,weekday,10.73032
169,4,18,down,weekday,30.79460317
170,4,18,up,weekday,17.81777778
171,4,19,down,weekday,19.04875
172,4,19,up,weekday,16.41011765
173,4,20,down,weekday,16.86566667
174,4,20,up,weekday,16.73583333
175,4,21,down,weekday,19.4048
176,4,21,up,weekday,14.15086957
177,4,22,down,weekday,19.43741935
178,4,22,up,weekday,12.68291667
179,4,23,down,weekday,13.6625
180,4,23,up,weekday,11.44857143
181,5,0,down,weekday,10.56625
182,5,0,up,weekday,13.06058824
183,5,1,up,weekday,14.115
184,5,1,down,weekday,10.86
185,5,2,up,weekday,9.592222222
186,5,2,down,weekday,10.61
187,5,3,up,weekday,13.65428571
188,5,3,down,weekday,17.96
189,5,4,up,weekday,15.84666667
190,5,4,down,weekday,15.97
191,5,5,up,weekday,11.6575
192,5,5,down,weekday,29.4225
193,5,6,up,weekday,13.24428571
194,5,6,down,weekday,20.348
195,5,7,down,weekday,34.471
196,5,7,up,weekday,10.4135
197,5,8,down,weekday,40.82443038
198,5,8,up,weekday,9.978
199,5,9,down,weekday,46.30752809
200,5,9,up,weekday,9.838285714
201,5,10,down,weekday,41.44410959
202,5,10,up,weekday,10.32583333
203,5,11,down,weekday,54.33087379
204,5,11,up,weekday,11.07831683
205,5,12,down,weekday,38.43091743
206,5,12,up,weekday,8.859634146
207,5,13,down,weekday,44.07285714
208,5,13,up,weekday,10.05910256
209,5,14,down,weekday,45.70141026
210,5,14,up,weekday,10.2959633
211,5,15,down,weekday,47.35247525
212,5,15,up,weekday,9.69009901
213,5,16,down,weekday,47.7856
214,5,16,up,weekday,12.30865979
215,5,17,down,weekday,46.56439394
216,5,17,up,weekday,11.76291139
217,5,18,down,weekday,33.25653465
218,5,18,up,weekday,15.86862745
219,5,19,down,weekday,26.49870968
220,5,19,up,weekday,15.57023256
221,5,20,down,weekday,16.945
222,5,20,up,weekday,18.7225
223,5,21,down,weekday,12.99425
224,5,21,up,weekday,14.41538462
225,5,22,down,weekday,17.57444444
226,5,22,up,weekday,17.02235294
227,5,23,down,weekday,19.92875
228,5,23,up,weekday,15.12
229,6,0,down,weekday,1.61
230,6,0,up,weekday,8.64
231,6,1,up,weekday,3.92
232,6,1,down,weekday,1.48
233,6,2,down,weekday,5.446
234,6,3,down,weekday,11.658
235,6,4,down,weekday,12.684
236,6,5,down,weekday,14.87
237,6,5,up,weekday,13.876
238,6,6,down,weekday,18.33036697
239,6,6,up,weekday,22.40045455
240,6,7,down,weekday,22.77988827
241,6,7,up,weekday,39.46348485
