,floor,hour,direction,avgWait_weekday
0,1,0,up,22.289828571428572
1,1,1,up,23.060176991150446
2,1,2,up,23.970000000000002
3,1,3,up,22.382307692307695
4,1,4,up,10.553333333333333
5,1,5,up,9.951666666666666
6,1,6,up,5.882166666666667
7,1,7,up,16.271751824817517
8,1,8,up,17.164540816326532
9,1,9,up,15.037892156862743
10,1,10,up,12.99259493670886
11,1,11,up,13.437295918367347
12,1,12,up,14.33454954954955
13,1,13,up,14.56755458515284
14,1,14,up,14.53701754385965
15,1,15,up,14.49848101265823
16,1,16,up,14.375535714285714
17,1,17,up,19.96963235294118
18,1,18,up,16.962409638554217
19,1,19,up,17.875589519650656
20,1,20,up,20.31438053097345
21,1,21,up,20.909330708661418
22,1,22,up,17.001761904761903
23,1,23,up,17.43643410852713
24,6,0,down,20.393
25,6,0,up,16.48611111111111
26,6,1,down,14.911666666666667
27,6,1,up,19.591590909090908
28,6,2,up,16.70714285714286
29,6,2,down,6.065
30,6,3,up,15.359
31,6,4,up,15.560714285714285
32,6,5,up,9.56
33,6,6,down,23.636363636363637
34,6,6,up,20.820263157894736
35,6,7,down,20.447499999999998
36,6,7,up,15.19783783783784
37,6,8,down,22.577936507936506
38,6,8,up,18.523636363636363
39,6,9,down,17.969523809523807
40,6,9,up,20.15442105263158
41,6,10,down,20.75733333333333
42,6,10,up,16.906973684210527
43,6,11,down,20.091451612903224
44,6,11,up,18.0202
45,6,12,down,20.406571428571425
46,6,12,up,15.674000000000001
47,6,13,up,19.99566265060241
48,6,13,down,15.525625
49,6,14,down,25.519642857142856
50,6,14,up,21.926923076923078
51,6,15,up,14.67942857142857
52,6,15,down,16.73033333333333
53,6,16,down,18.98767123287671
54,6,16,up,19.326689655172412
55,6,17,down,23.649245283018864
56,6,17,up,21.36772277227723
57,6,18,down,19.5221875
58,6,18,up,21.00776315789474
59,6,19,down,25.08703703703704
60,6,19,up,19.264565217391304
61,6,20,down,30.455000000000002
62,6,20,up,17.247272727272726
63,6,21,up,18.03189473684211
