,floor,hour,direction,avgWait_weekend
0,1,0,up,22.03926829
1,1,1,up,19.08447368
2,1,2,up,22.61266667
3,1,3,up,23.6725
4,1,4,up,10.902
5,1,5,up,12.58
6,1,6,up,11.291875
7,1,7,up,11.9715625
8,1,8,up,17.70057692
9,1,9,up,12.76441176
10,1,10,up,10.52614286
11,1,11,up,7.880253165
12,1,12,up,16.71791667
13,1,13,up,16.69951456
14,1,14,up,12.78542169
15,1,15,up,10.65522388
16,1,16,up,16.56198276
17,1,17,up,14.81428571
18,1,18,up,18.08376344
19,1,19,up,18.0373913
20,1,20,up,17.2572619
21,1,21,up,18.45131313
22,1,22,up,18.98662651
23,1,23,up,17.18280702
24,6,0,down,14.25166667
25,6,0,up,18.89805556
26,6,1,down,15.98
27,6,1,up,16.70485714
28,6,2,up,14.73666667
29,6,2,down,24.57
30,6,3,up,23.2675
31,6,4,up,10.0225
32,6,5,up,13.5675
33,6,6,up,22.80444444
34,6,6,down,1.41
35,6,7,down,13.34875
36,6,7,up,19.63583333
37,6,8,down,16.6234375
38,6,8,up,22.97230769
39,6,9,down,15.89
40,6,9,up,20.06792453
41,6,10,down,14.79
42,6,10,up,18.08847826
43,6,11,down,15.0037037
44,6,11,up,21.88
45,6,12,down,18.97333333
46,6,12,up,20.97025
47,6,13,down,22.90571429
48,6,13,up,16.79270833
49,6,14,down,15.17947368
50,6,14,up,18.57552632
51,6,15,down,15.232
52,6,15,up,13.84931818
53,6,16,down,20.2169697
54,6,16,up,19.15771084
55,6,17,down,27.9683871
56,6,17,up,21.85829545
57,6,18,down,19.724
58,6,18,up,24.05857143
59,6,19,down,16.73857143
60,6,19,up,19.533
61,6,20,down,20.896
62,6,20,up,17.91588235
63,6,21,down,40.18
64,6,21,up,15.66333333
65,6,22,down,13.59
66,6,22,up,17.91272727
67,6,23,down,15.645
68,6,23,up,18.26789474
69,7,0,down,8.943333333
70,7,0,up,17.69
71,7,1,down,16.685
72,7,1,up,15.53
73,7,2,down,12.14
74,7,4,down,9.165
75,7,4,up,17.09333333
76,7,5,up,16.27666667
77,7,6,down,16.88193548
78,7,6,up,26.92333333
79,7,7,down,28.96461538
80,7,7,up,11.16666667
81,7,8,down,27.13421053
82,7,8,up,30.88333333
83,7,9,down,24.45217391
84,7,9,up,12.835
85,7,10,down,16.55043478
86,7,10,up,24.31333333
87,7,11,down,21.90586207
88,7,11,up,4.025
89,7,12,down,26.38791667
90,7,12,up,15.182
