"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","down",27.14,3,9.04666666666667
"2","01",0,"0","up",256.2,40,6.405
"3","01",0,"1","down",65.04,5,13.008
"4","01",0,"1","up",236.63,41,5.77146341463415
"5","01",0,"2","down",54.6,7,7.8
"6","01",0,"2","up",1090.45,80,13.630625
"7","01",0,"3","down",49.62,5,9.924
"8","01",0,"3","up",477.08,63,7.57269841269841
"9","01",0,"4","down",0.55,1,0.55
"10","01",0,"4","up",569.9,63,9.04603174603175
"11","01",0,"5","down",16.22,1,16.22
"12","01",0,"5","up",410.83,46,8.93108695652174
"13","01",0,"6","down",0.79,1,0.79
"14","01",0,"6","up",552.27,58,9.52189655172414
"15","01",1,"0","down",2.95,2,1.475
"16","01",1,"0","up",295.64,33,8.95878787878788
"17","01",1,"1","down",5.34,3,1.78
"18","01",1,"1","up",346.27,37,9.35864864864865
"19","01",1,"2","down",3.06,2,1.53
"20","01",1,"2","up",410.96,61,6.73704918032787
"21","01",1,"3","down",67.27,3,22.4233333333333
"22","01",1,"3","up",185.86,24,7.74416666666667
"23","01",1,"4","down",37.88,2,18.94
"24","01",1,"4","up",318.98,38,8.39421052631579
"25","01",1,"5","down",6.51,2,3.255
"26","01",1,"5","up",168.19,35,4.80542857142857
"27","01",1,"6","down",2.26,2,1.13
"28","01",1,"6","up",343.87,43,7.99697674418605
"29","01",2,"0","up",254.54,23,11.0669565217391
"30","01",2,"1","down",1.58,1,1.58
"31","01",2,"1","up",140.95,16,8.809375
"32","01",2,"2","down",72.35,1,72.35
"33","01",2,"2","up",962.09,66,14.5771212121212
"34","01",2,"3","down",16.46,2,8.23
"35","01",2,"3","up",257.16,22,11.6890909090909
"36","01",2,"4","down",40.82,1,40.82
"37","01",2,"4","up",264.43,23,11.4969565217391
"38","01",2,"5","up",162.62,24,6.77583333333333
"39","01",2,"6","down",32.41,3,10.8033333333333
"40","01",2,"6","up",123.62,21,5.88666666666667
"41","01",3,"0","up",234.82,16,14.67625
"42","01",3,"1","down",32.74,2,16.37
"43","01",3,"1","up",239.02,20,11.951
