"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","down",157.36,15,10.4906666666667
"2","01",0,"0","up",284.51,31,9.17774193548387
"3","01",0,"1","down",109.92,17,6.46588235294118
"4","01",0,"1","up",251.74,28,8.99071428571429
"5","01",0,"2","down",116.01,13,8.92384615384615
"6","01",0,"2","up",457.04,38,12.0273684210526
"7","01",0,"3","down",180.65,20,9.0325
"8","01",0,"3","up",170.16,39,4.36307692307692
"9","01",0,"4","down",109.34,14,7.81
"10","01",0,"4","up",298.81,34,8.78852941176471
"11","01",0,"5","down",144.29,12,12.0241666666667
"12","01",0,"5","up",309.33,35,8.838
"13","01",0,"6","down",78.39,17,4.61117647058824
"14","01",0,"6","up",409.13,28,14.6117857142857
"15","01",1,"0","down",161.08,16,10.0675
"16","01",1,"0","up",195.05,26,7.50192307692308
"17","01",1,"1","down",104.41,17,6.14176470588235
"18","01",1,"1","up",283.83,16,17.739375
"19","01",1,"2","down",126.27,14,9.01928571428571
"20","01",1,"2","up",342.72,34,10.08
"21","01",1,"3","down",116.36,24,4.84833333333333
"22","01",1,"3","up",164.36,29,5.66758620689655
"23","01",1,"4","down",190.81,19,10.0426315789474
"24","01",1,"4","up",109.9,29,3.78965517241379
"25","01",1,"5","down",137.07,16,8.566875
"26","01",1,"5","up",230.36,24,9.59833333333333
"27","01",1,"6","down",143.68,13,11.0523076923077
"28","01",1,"6","up",140.61,31,4.5358064516129
"29","01",2,"0","down",176.98,15,11.7986666666667
"30","01",2,"0","up",127.91,23,5.56130434782609
"31","01",2,"1","down",108.95,13,8.38076923076923
"32","01",2,"1","up",248.69,25,9.9476
"33","01",2,"2","down",137.42,15,9.16133333333333
"34","01",2,"2","up",242.35,25,9.694
"35","01",2,"3","down",203.03,21,9.66809523809524
"36","01",2,"3","up",265.94,25,10.6376
"37","01",2,"4","down",108.71,20,5.4355
"38","01",2,"4","up",315.28,26,12.1261538461538
"39","01",2,"5","down",126.99,19,6.68368421052632
"40","01",2,"5","up",150.59,26,5.79192307692308
"41","01",2,"6","down",125.62,19,6.61157894736842
"42","01",2,"6","up",151.63,21,7.22047619047619
"43","01",3,"0","down",71.38,14,5.09857142857143
"44","01",3,"0","up",218.88,20,10.944
"45","01",3,"1","down",124.95,17,7.35
"46","01",3,"1","up",106.12,19,5.58526315789474
"47","01",3,"2","down",95.95,16,5.996875
"48","01",3,"2","up",105.79,18,5.87722222222222
"49","01",3,"3","down",69.65,20,3.4825
"50","01",3,"3","up",51.52,12,4.29333333333333
"51","01",3,"4","down",139.21,13,10.7084615384615
"52","01",3,"4","up",97.64,20,4.882
"53","01",3,"5","down",81.95,13,6.30384615384615
"54","01",3,"5","up",141.16,19,7.42947368421053
"55","01",3,"6","down",105.61,12,8.80083333333333
"56","01",3,"6","up",161.51,21,7.69095238095238
"57","01",4,"0","down",113.86,15,7.59066666666667
"58","01",4,"0","up",218.98,23,9.52086956521739
"59","01",4,"1","down",50.84,11,4.62181818181818
"60","01",4,"1","up",111.98,14,7.99857142857143
"61","01",4,"2","down",111.16,15,7.41066666666667
"62","01",4,"2","up",287.73,28,10.2760714285714
"63","01",4,"3","down",67.33,15,4.48866666666667
"64","01",4,"3","up",160.58,16,10.03625
"65","01",4,"4","down",81.79,14,5.84214285714286
"66","01",4,"4","up",182.7,16,11.41875
"67","01",4,"5","down",118.49,17,6.97
"68","01",4,"5","up",171.02,14,12.2157142857143
"69","01",4,"6","down",31.39,9,3.48777777777778
"70","01",4,"6","up",143.17,24,5.96541666666667
"71","01",5,"0","down",95.46,14,6.81857142857143
"72","01",5,"0","up",139.01,19,7.31631578947368
"73","01",5,"1","down",183.3,24,7.6375
"74","01",5,"1","up",135.35,17,7.96176470588235
"75","01",5,"2","down",266.22,25,10.6488
"76","01",5,"2","up",336.2,17,19.7764705882353
"77","01",5,"3","down",322.35,28,11.5125
"78","01",5,"3","up",171.31,20,8.5655
"79","01",5,"4","down",427.3,35,12.2085714285714
"80","01",5,"4","up",134.17,27,4.96925925925926
"81","01",5,"5","down",178.55,21,8.50238095238095
"82","01",5,"5","up",34.62,16,2.16375
"83","01",5,"6","down",143.94,16,8.99625
"84","01",5,"6","up",322.99,30,10.7663333333333
"85","01",6,"0","down",500.81,52,9.63096153846154
"86","01",6,"0","up",728.63,49,14.87
"87","01",6,"1","down",1205.65,89,13.5466292134831
"88","01",6,"1","up",815.33,64,12.73953125
"89","01",6,"2","down",1768.39,124,14.2612096774194
"90","01",6,"2","up",1145.33,90,12.7258888888889
"91","01",6,"3","down",1767.56,112,15.7817857142857
"92","01",6,"3","up",1553.93,81,19.1843209876543
"93","01",6,"4","down",1932.25,121,15.9690082644628
"94","01",6,"4","up",911.71,79,11.5406329113924
"95","01",6,"5","down",1352.05,94,14.3835106382979
"96","01",6,"5","up",933.96,64,14.593125
"97","01",6,"6","down",724.9,62,11.691935483871
"98","01",6,"6","up",640.59,45,14.2353333333333
"99","01",7,"0","down",1085.55,46,23.5989130434783
"100","01",7,"0","up",1174.67,86,13.6589534883721
"101","01",7,"1","down",1091.09,61,17.8867213114754
"102","01",7,"1","up",1442.4,109,13.2330275229358
"103","01",7,"2","down",1662.71,72,23.0931944444444
"104","01",7,"2","up",2218.3,151,14.6907284768212
"105","01",7,"3","down",1831.65,77,23.7876623376623
"106","01",7,"3","up",1900.44,145,13.1064827586207
"107","01",7,"4","down",1958.21,74,26.4622972972973
"108","01",7,"4","up",2212.61,150,14.7507333333333
"109","01",7,"5","down",1470.88,63,23.3473015873016
"110","01",7,"5","up",1480.2,117,12.6512820512821
"111","01",7,"6","down",659.69,34,19.4026470588235
"112","01",7,"6","up",1381.06,98,14.0924489795918
"113","01",8,"0","down",895.75,41,21.8475609756098
"114","01",8,"0","up",1448.67,97,14.9347422680412
"115","01",8,"1","down",787.54,49,16.0722448979592
"116","01",8,"1","up",1154.04,64,18.031875
"117","01",8,"2","down",990.37,51,19.4190196078431
"118","01",8,"2","up",1475.65,78,18.9185897435897
"119","01",8,"3","down",1248.58,55,22.7014545454545
"120","01",8,"3","up",1583.87,89,17.7962921348315
"121","01",8,"4","down",823.14,51,16.14
"122","01",8,"4","up",1376.94,76,18.1176315789474
"123","01",8,"5","down",1725.09,62,27.8240322580645
"124","01",8,"5","up",1682.57,94,17.8996808510638
"125","01",8,"6","down",864.97,40,21.62425
"126","01",8,"6","up",1600.34,95,16.8456842105263
"127","01",9,"0","down",772.91,38,20.3397368421053
"128","01",9,"0","up",1697.24,107,15.8620560747664
"129","01",9,"1","down",698.75,44,15.8806818181818
"130","01",9,"1","up",1118.76,60,18.646
"131","01",9,"2","down",917.32,58,15.8158620689655
"132","01",9,"2","up",1657.82,85,19.5037647058824
"133","01",9,"3","down",874.15,56,15.6098214285714
"134","01",9,"3","up",1180.24,75,15.7365333333333
"135","01",9,"4","down",719.75,44,16.3579545454545
"136","01",9,"4","up",1079.45,82,13.1640243902439
"137","01",9,"5","down",760.61,60,12.6768333333333
"138","01",9,"5","up",1288.49,85,15.1587058823529
"139","01",9,"6","down",1188.02,48,24.7504166666667
"140","01",9,"6","up",1385.05,103,13.4470873786408
"141","01",10,"0","down",1259.89,42,29.997380952381
"142","01",10,"0","up",1553.61,106,14.6566981132075
"143","01",10,"1","down",725.26,43,16.866511627907
"144","01",10,"1","up",1017.42,59,17.244406779661
"145","01",10,"2","down",708.59,48,14.7622916666667
"146","01",10,"2","up",777.18,51,15.2388235294118
"147","01",10,"3","down",629.6,47,13.3957446808511
"148","01",10,"3","up",1347.23,76,17.7267105263158
"149","01",10,"4","down",946.96,53,17.8671698113208
"150","01",10,"4","up",1046.2,66,15.8515151515152
"151","01",10,"5","down",897.75,57,15.75
"152","01",10,"5","up",1151.66,69,16.6907246376812
"153","01",10,"6","down",752.23,41,18.3470731707317
"154","01",10,"6","up",1977.12,100,19.7712
"155","01",11,"0","down",854.31,46,18.5719565217391
"156","01",11,"0","up",1928.2,122,15.8049180327869
"157","01",11,"1","down",423.04,40,10.576
"158","01",11,"1","up",597.07,48,12.4389583333333
"159","01",11,"2","down",552.56,34,16.2517647058824
"160","01",11,"2","up",940.22,52,18.0811538461538
"161","01",11,"3","down",625.55,46,13.5989130434783
"162","01",11,"3","up",1107.61,69,16.0523188405797
"163","01",11,"4","down",632.23,45,14.0495555555556
"164","01",11,"4","up",1172.99,71,16.520985915493
"165","01",11,"5","down",756.7,51,14.8372549019608
"166","01",11,"5","up",893.72,66,13.5412121212121
"167","01",11,"6","down",1146.18,53,21.6260377358491
"168","01",11,"6","up",1537.43,103,14.9265048543689
"169","01",12,"0","down",938.96,46,20.4121739130435
"170","01",12,"0","up",1482.8,100,14.828
"171","01",12,"1","down",629.11,38,16.5555263157895
"172","01",12,"1","up",925.43,65,14.2373846153846
"173","01",12,"2","down",1343.79,49,27.4242857142857
"174","01",12,"2","up",1288,80,16.1
"175","01",12,"3","down",719.99,48,14.9997916666667
"176","01",12,"3","up",1152.25,78,14.7724358974359
"177","01",12,"4","down",684.55,49,13.9704081632653
"178","01",12,"4","up",1211.3,78,15.5294871794872
"179","01",12,"5","down",814.81,54,15.0890740740741
"180","01",12,"5","up",1024.43,79,12.9674683544304
"181","01",12,"6","down",1011.91,50,20.2382
"182","01",12,"6","up",1605.16,101,15.8926732673267
"183","01",13,"0","down",1296.64,42,30.872380952381
"184","01",13,"0","up",1570.19,114,13.7735964912281
"185","01",13,"1","down",690.91,41,16.8514634146341
"186","01",13,"1","up",1019.4,63,16.1809523809524
"187","01",13,"2","down",1212.71,52,23.3213461538462
"188","01",13,"2","up",1048.72,75,13.9829333333333
"189","01",13,"3","down",844.77,53,15.9390566037736
"190","01",13,"3","up",854.49,72,11.8679166666667
"191","01",13,"4","down",662.86,51,12.9972549019608
"192","01",13,"4","up",957.78,77,12.4387012987013
"193","01",13,"5","down",1033.69,53,19.5035849056604
"194","01",13,"5","up",1248.19,67,18.6297014925373
"195","01",13,"6","down",1131.45,43,26.3127906976744
"196","01",13,"6","up",1347.25,95,14.1815789473684
"197","01",14,"0","down",977.76,55,17.7774545454545
"198","01",14,"0","up",1574.42,114,13.810701754386
"199","01",14,"1","down",560.67,39,14.3761538461538
"200","01",14,"1","up",799.52,50,15.9904
"201","01",14,"2","down",778.28,47,16.5591489361702
"202","01",14,"2","up",931.18,61,15.2652459016393
"203","01",14,"3","down",537.31,45,11.9402222222222
"204","01",14,"3","up",886.53,58,15.285
"205","01",14,"4","down",671.76,49,13.709387755102
"206","01",14,"4","up",742.59,51,14.5605882352941
"207","01",14,"5","down",886.14,54,16.41
"208","01",14,"5","up",1232.47,60,20.5411666666667
"209","01",14,"6","down",1100.39,51,21.5762745098039
"210","01",14,"6","up",1638.24,101,16.220198019802
"211","01",15,"0","down",725.54,50,14.5108
"212","01",15,"0","up",1482.43,103,14.3925242718447
"213","01",15,"1","down",520.26,40,13.0065
"214","01",15,"1","up",915.77,50,18.3154
"215","01",15,"2","down",748.04,50,14.9608
"216","01",15,"2","up",1511.9,65,23.26
"217","01",15,"3","down",625.4,54,11.5814814814815
"218","01",15,"3","up",812.29,63,12.8934920634921
"219","01",15,"4","down",611.1,49,12.4714285714286
"220","01",15,"4","up",1264.03,72,17.5559722222222
"221","01",15,"5","down",1161.84,53,21.9215094339623
"222","01",15,"5","up",1461.29,70,20.8755714285714
"223","01",15,"6","down",746.6,39,19.1435897435897
"224","01",15,"6","up",1512.16,103,14.6811650485437
"225","01",16,"0","down",1385.93,50,27.7186
"226","01",16,"0","up",1717.91,108,15.9065740740741
"227","01",16,"1","down",1223.47,54,22.6568518518519
"228","01",16,"1","up",1207.54,80,15.09425
"229","01",16,"2","down",1020.04,66,15.4551515151515
"230","01",16,"2","up",2188.09,111,19.7125225225225
"231","01",16,"3","down",991.19,65,15.2490769230769
