"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","down",105.38,8,13.1725
"2","01",0,"0","up",392.78,65,6.04276923076923
"3","01",0,"1","down",84.63,9,9.40333333333333
"4","01",0,"1","up",254.67,59,4.3164406779661
"5","01",0,"2","down",6.41,6,1.06833333333333
"6","01",0,"2","up",374.47,76,4.92723684210526
"7","01",0,"3","down",53.29,3,17.7633333333333
"8","01",0,"3","up",513.76,80,6.422
"9","01",0,"4","down",75.61,7,10.8014285714286
"10","01",0,"4","up",380.71,80,4.758875
"11","01",0,"5","down",39.16,6,6.52666666666667
"12","01",0,"5","up",399.05,63,6.33412698412698
"13","01",0,"6","down",41.94,8,5.2425
"14","01",0,"6","up",395.35,73,5.41575342465753
"15","01",1,"0","down",20.41,1,20.41
"16","01",1,"0","up",141.78,30,4.726
"17","01",1,"1","down",2.97,2,1.485
"18","01",1,"1","up",156.08,32,4.8775
"19","01",1,"2","down",4.44,3,1.48
"20","01",1,"2","up",202.92,53,3.82867924528302
"21","01",1,"3","down",28.1,6,4.68333333333333
"22","01",1,"3","up",238.06,51,4.6678431372549
"23","01",1,"4","down",3.35,4,0.8375
"24","01",1,"4","up",319.21,47,6.79170212765957
"25","01",1,"5","down",2.68,2,1.34
"26","01",1,"5","up",239.81,44,5.45022727272727
"27","01",1,"6","down",14.71,2,7.355
"28","01",1,"6","up",231.62,42,5.5147619047619
"29","01",2,"0","down",1.99,2,0.995
"30","01",2,"0","up",78.79,25,3.1516
"31","01",2,"1","up",70.38,21,3.35142857142857
"32","01",2,"2","down",13.7,1,13.7
"33","01",2,"2","up",118.79,28,4.2425
"34","01",2,"3","down",14.01,2,7.005
"35","01",2,"3","up",130.57,18,7.25388888888889
"36","01",2,"4","up",199.45,31,6.43387096774194
"37","01",2,"5","up",221.63,25,8.8652
"38","01",2,"6","up",106.22,25,4.2488
"39","01",3,"0","down",25.21,1,25.21
"40","01",3,"0","up",159.76,14,11.4114285714286
"41","01",3,"1","up",44.99,14,3.21357142857143
"42","01",3,"2","down",2.54,2,1.27
"43","01",3,"2","up",201.51,16,12.594375
"44","01",3,"3","down",13.22,4,3.305
"45","01",3,"3","up",122.88,17,7.22823529411765
"46","01",3,"4","down",30.93,3,10.31
"47","01",3,"4","up",66.4,15,4.42666666666667
"48","01",3,"5","down",28.24,2,14.12
"49","01",3,"5","up",143.96,20,7.198
"50","01",3,"6","down",19.46,2,9.73
"51","01",3,"6","up",73.74,17,4.33764705882353
"52","01",4,"0","down",3.89,3,1.29666666666667
