"","floor","hour","week","direction","total","count","avgWait"
"1","01",0,"0","down",0.92,1,0.92
"2","01",0,"0","up",18.79,10,1.879
"3","01",0,"1","up",76.83,18,4.26833333333333
"4","01",0,"2","down",2.47,2,1.235
"5","01",0,"2","up",37.08,12,3.09
"6","01",0,"3","down",592.18,18,32.8988888888889
"7","01",0,"3","up",1651.25,33,50.0378787878788
"8","01",0,"4","down",19.42,2,9.71
"9","01",0,"4","up",68.28,18,3.79333333333333
"10","01",0,"5","up",25.35,11,2.30454545454545
"11","01",0,"6","down",1.32,1,1.32
"12","01",0,"6","up",45.4,13,3.49230769230769
"13","01",1,"0","down",1.47,1,1.47
"14","01",1,"0","up",10.8,6,1.8
"15","01",1,"1","down",15.04,4,3.76
"16","01",1,"1","up",5.36,4,1.34
"17","01",1,"2","down",3.3,4,0.825
"18","01",1,"2","up",25.45,12,2.12083333333333
"19","01",1,"3","down",932.98,13,71.7676923076923
"20","01",1,"3","up",2515.42,24,104.809166666667
"21","01",1,"4","down",21.11,6,3.51833333333333
"22","01",1,"4","up",33.38,19,1.75684210526316
"23","01",1,"5","down",3.4,3,1.13333333333333
"24","01",1,"5","up",6.83,7,0.975714285714286
"25","01",1,"6","down",1.58,1,1.58
"26","01",1,"6","up",24.4,13,1.87692307692308
"27","01",2,"0","down",5.58,5,1.116
"28","01",2,"0","up",33.45,6,5.575
"29","01",2,"1","down",31.9,7,4.55714285714286
"30","01",2,"1","up",4.44,3,1.48
"31","01",2,"2","down",5.55,9,0.616666666666667
"32","01",2,"2","up",74.6,10,7.46
"33","01",2,"3","down",1496.33,11,136.03
"34","01",2,"3","up",1072.21,19,56.4321052631579
"35","01",2,"4","down",20.28,10,2.028
"36","01",2,"4","up",51.89,20,2.5945
"37","01",2,"5","down",3.59,4,0.8975
"38","01",2,"5","up",11.67,7,1.66714285714286
"39","01",2,"6","down",5.7,6,0.95
"40","01",2,"6","up",22.41,8,2.80125
"41","01",3,"0","up",68.91,9,7.65666666666667
"42","01",3,"1","down",33.98,3,11.3266666666667
"43","01",3,"1","up",5.85,6,0.975
"44","01",3,"2","down",5.07,3,1.69
"45","01",3,"2","up",34.8,8,4.35
"46","01",3,"3","down",2368.96,11,215.36
"47","01",3,"3","up",765.49,13,58.8838461538462
"48","01",3,"4","down",18.68,3,6.22666666666667
"49","01",3,"4","up",86.73,17,5.10176470588235
"50","01",3,"5","up",2.77,4,0.6925
"51","01",3,"6","up",20.05,12,1.67083333333333
"52","01",4,"0","down",2.1,2,1.05
"53","01",4,"0","up",23.69,10,2.369
"54","01",4,"1","down",0.53,1,0.53
"55","01",4,"1","up",7.44,8,0.93
"56","01",4,"2","up",20.89,10,2.089
"57","01",4,"3","down",2608.09,16,163.005625
"58","01",4,"3","up",1190.85,25,47.634
"59","01",4,"4","down",2.92,4,0.73
"60","01",4,"4","up",59.54,17,3.50235294117647
"61","01",4,"5","down",36,3,12
"62","01",4,"5","up",30.53,5,6.106
"63","01",4,"6","down",15.87,2,7.935
"64","01",4,"6","up",39.38,10,3.938
"65","01",5,"0","down",17.5,4,4.375
"66","01",5,"0","up",9.65,11,0.877272727272727
"67","01",5,"1","down",3.57,2,1.785
"68","01",5,"1","up",41.15,9,4.57222222222222
"69","01",5,"2","down",2.34,3,0.78
"70","01",5,"2","up",46.38,13,3.56769230769231
"71","01",5,"3","down",371.19,5,74.238
"72","01",5,"3","up",151.3,22,6.87727272727273
"73","01",5,"4","down",16.64,3,5.54666666666667
"74","01",5,"4","up",73.81,16,4.613125
"75","01",5,"5","down",0.6,1,0.6
"76","01",5,"5","up",50.44,13,3.88
"77","01",5,"6","down",4.83,4,1.2075
"78","01",5,"6","up",8.87,10,0.887
"79","01",6,"0","down",36.95,8,4.61875
"80","01",6,"0","up",291.57,43,6.7806976744186
"81","01",6,"1","down",113.94,9,12.66
"82","01",6,"1","up",710.88,68,10.4541176470588
"83","01",6,"2","down",190.21,15,12.6806666666667
"84","01",6,"2","up",579.42,54,10.73
"85","01",6,"3","down",202.29,21,9.63285714285714
"86","01",6,"3","up",772.12,90,8.57911111111111
"87","01",6,"4","down",300.97,24,12.5404166666667
"88","01",6,"4","up",733.96,76,9.65736842105263
"89","01",6,"5","down",56.52,10,5.652
"90","01",6,"5","up",389.83,37,10.5359459459459
"91","01",6,"6","down",113.71,12,9.47583333333333
"92","01",6,"6","up",393.18,43,9.14372093023256
"93","01",7,"0","down",161.46,10,16.146
"94","01",7,"0","up",919.86,76,12.1034210526316
"95","01",7,"1","down",431.62,21,20.5533333333333
"96","01",7,"1","up",1370.46,92,14.8963043478261
"97","01",7,"2","down",706.73,21,33.6538095238095
"98","01",7,"2","up",1245.44,92,13.5373913043478
"99","01",7,"3","down",731.65,31,23.6016129032258
"100","01",7,"3","up",1918.17,134,14.3147014925373
"101","01",7,"4","down",1179.01,33,35.7275757575758
"102","01",7,"4","up",1654.84,133,12.4424060150376
"103","01",7,"5","down",528.93,19,27.8384210526316
"104","01",7,"5","up",830.98,64,12.9840625
"105","01",7,"6","down",282.87,10,28.287
"106","01",7,"6","up",1480.33,100,14.8033
"107","01",8,"0","down",348.19,21,16.5804761904762
"108","01",8,"0","up",730.79,62,11.786935483871
"109","01",8,"1","down",416.5,27,15.4259259259259
"110","01",8,"1","up",1486.15,79,18.8120253164557
"111","01",8,"2","down",455.28,23,19.7947826086957
"112","01",8,"2","up",1004.13,80,12.551625
"113","01",8,"3","down",782.94,45,17.3986666666667
"114","01",8,"3","up",1408.74,106,13.29
"115","01",8,"4","down",933.01,40,23.32525
"116","01",8,"4","up",1408.62,111,12.6902702702703
"117","01",8,"5","down",445.47,17,26.2041176470588
"118","01",8,"5","up",875.43,68,12.8739705882353
"119","01",8,"6","down",150.7,16,9.41875
"120","01",8,"6","up",1154.79,83,13.9131325301205
"121","01",9,"0","down",145.35,10,14.535
"122","01",9,"0","up",1469.94,107,13.7377570093458
"123","01",9,"1","down",338.71,20,16.9355
"124","01",9,"1","up",924.65,51,18.1303921568627
"125","01",9,"2","down",371.19,20,18.5595
"126","01",9,"2","up",867.55,63,13.7706349206349
"127","01",9,"3","down",460.39,31,14.8512903225806
"128","01",9,"3","up",1326.59,86,15.4254651162791
"129","01",9,"4","down",510.25,32,15.9453125
"130","01",9,"4","up",1351.31,102,13.248137254902
"131","01",9,"5","down",439.42,15,29.2946666666667
"132","01",9,"5","up",574.04,49,11.7151020408163
"133","01",9,"6","down",258.63,10,25.863
"134","01",9,"6","up",1317.62,86,15.3211627906977
"135","01",10,"0","down",151.84,6,25.3066666666667
"136","01",10,"0","up",1415.43,106,13.3531132075472
"137","01",10,"1","down",509.98,17,29.9988235294118
"138","01",10,"1","up",765.91,40,19.14775
"139","01",10,"2","down",274.88,74,3.71459459459459
"140","01",10,"2","up",825.13,215,3.83781395348837
"141","01",10,"3","down",524.81,30,17.4936666666667
"142","01",10,"3","up",1702.29,84,20.2653571428571
"143","01",10,"4","down",658.87,39,16.8941025641026
"144","01",10,"4","up",1073.09,77,13.9362337662338
"145","01",10,"5","down",95,10,9.5
"146","01",10,"5","up",564.56,37,15.2583783783784
"147","01",10,"6","down",355.92,17,20.9364705882353
"148","01",10,"6","up",1857.26,101,18.3887128712871
"149","01",11,"0","down",182.94,11,16.6309090909091
"150","01",11,"0","up",1635.43,100,16.3543
"151","01",11,"1","down",305.04,18,16.9466666666667
"152","01",11,"1","up",521.59,33,15.8057575757576
"153","01",11,"2","down",582.16,27,21.5614814814815
"154","01",11,"2","up",543.38,48,11.3204166666667
"155","01",11,"3","down",558.92,31,18.0296774193548
"156","01",11,"3","up",1390.11,64,21.72046875
"157","01",11,"4","down",461.99,31,14.9029032258065
"158","01",11,"4","up",813.76,64,12.715
"159","01",11,"5","down",101.64,10,10.164
"160","01",11,"5","up",395.11,33,11.9730303030303
"161","01",11,"6","down",496.48,21,23.6419047619048
"162","01",11,"6","up",1487.29,96,15.4926041666667
"163","01",12,"0","down",215.3,11,19.5727272727273
"164","01",12,"0","up",1550.28,112,13.8417857142857
"165","01",12,"1","down",291.88,14,20.8485714285714
"166","01",12,"1","up",824.42,46,17.9221739130435
"167","01",12,"2","down",641.77,106,6.05443396226415
"168","01",12,"2","up",1322.2,335,3.94686567164179
"169","01",12,"3","down",506.93,38,13.3402631578947
"170","01",12,"3","up",1356.26,92,14.7419565217391
"171","01",12,"4","down",575.28,26,22.1261538461538
"172","01",12,"4","up",1396.59,98,14.2509183673469
"173","01",12,"5","down",237.51,16,14.844375
"174","01",12,"5","up",584.89,42,13.9259523809524
"175","01",12,"6","down",358.33,20,17.9165
"176","01",12,"6","up",1421.28,107,13.2829906542056
"177","01",13,"0","down",307.41,12,25.6175
"178","01",13,"0","up",1538.41,96,16.0251041666667
"179","01",13,"1","down",209.11,14,14.9364285714286
"180","01",13,"1","up",557.98,43,12.9762790697674
"181","01",13,"2","down",628.41,26,24.1696153846154
"182","01",13,"2","up",1565.79,92,17.0194565217391
"183","01",13,"3","down",693.52,30,23.1173333333333
"184","01",13,"3","up",1462.63,83,17.6220481927711
"185","01",13,"4","down",765.15,36,21.2541666666667
"186","01",13,"4","up",1215.1,82,14.8182926829268
"187","01",13,"5","down",216.14,14,15.4385714285714
"188","01",13,"5","up",630.46,36,17.5127777777778
"189","01",13,"6","down",184.81,10,18.481
"190","01",13,"6","up",1337.43,92,14.5372826086957
"191","01",14,"0","down",110.69,10,11.069
"192","01",14,"0","up",1356.1,114,11.8956140350877
"193","01",14,"1","down",520.23,23,22.6186956521739
"194","01",14,"1","up",807.36,41,19.6917073170732
"195","01",14,"2","down",752.85,46,16.3663043478261
"196","01",14,"2","up",1259.37,109,11.5538532110092
"197","01",14,"3","down",694.45,40,17.36125
"198","01",14,"3","up",1558.98,96,16.239375
"199","01",14,"4","down",737.49,39,18.91
"200","01",14,"4","up",1298.19,94,13.8105319148936
"201","01",14,"5","down",472.29,30,15.743
"202","01",14,"5","up",763.25,54,14.1342592592593
"203","01",14,"6","down",101.31,9,11.2566666666667
"204","01",14,"6","up",1388.24,115,12.071652173913
"205","01",15,"0","down",115.07,12,9.58916666666667
"206","01",15,"0","up",1588.69,104,15.2758653846154
"207","01",15,"1","down",224.9,22,10.2227272727273
"208","01",15,"1","up",508.36,44,11.5536363636364
"209","01",15,"2","down",651.05,42,15.5011904761905
"210","01",15,"2","up",1663.64,98,16.9759183673469
"211","01",15,"3","down",608.54,33,18.4406060606061
"212","01",15,"3","up",1515.64,93,16.2972043010753
"213","01",15,"4","down",922.25,48,19.2135416666667
"214","01",15,"4","up",1608.06,91,17.670989010989
"215","01",15,"5","down",497.94,28,17.7835714285714
"216","01",15,"5","up",1068.93,71,15.0553521126761
"217","01",15,"6","down",161.02,17,9.47176470588235
"218","01",15,"6","up",1303.33,96,13.5763541666667
"219","01",16,"0","down",226.72,17,13.3364705882353
"220","01",16,"0","up",1060.21,83,12.7736144578313
"221","01",16,"1","down",534.14,22,24.2790909090909
"222","01",16,"1","up",730.15,43,16.9802325581395
"223","01",16,"2","down",523.84,35,14.9668571428571
"224","01",16,"2","up",1622.87,91,17.8337362637363
"225","01",16,"3","down",569.29,35,16.2654285714286
"226","01",16,"3","up",1483.44,87,17.0510344827586
"227","01",16,"4","down",700.61,35,20.0174285714286
"228","01",16,"4","up",1683.74,91,18.5026373626374
"229","01",16,"5","down",553.49,37,14.9591891891892
"230","01",16,"5","up",809.2,62,13.0516129032258
"231","01",16,"6","down",198.63,17,11.6841176470588
"232","01",16,"6","up",1182.64,90,13.1404444444444
"233","01",17,"0","down",165.11,12,13.7591666666667
"234","01",17,"0","up",1341.31,85,15.7801176470588
"235","01",17,"1","down",224.61,10,22.461
"236","01",17,"1","up",614.85,35,17.5671428571429
"237","01",17,"2","down",321.58,25,12.8632
"238","01",17,"2","up",1416.59,83,17.0673493975904
"239","01",17,"3","down",204.18,15,13.612
"240","01",17,"3","up",1558.41,86,18.1210465116279
"241","01",17,"4","down",151.75,13,11.6730769230769
"242","01",17,"4","up",866.1,72,12.0291666666667
"243","01",17,"5","down",251.95,17,14.8205882352941
"244","01",17,"5","up",1071.09,61,17.5588524590164
"245","01",17,"6","down",228.02,12,19.0016666666667
"246","01",17,"6","up",1461.39,99,14.7615151515152
"247","01",18,"0","down",351.4,11,31.9454545454545
"248","01",18,"0","up",1298.45,92,14.1135869565217
"249","01",18,"1","down",239.27,16,14.954375
"250","01",18,"1","up",1073.9,68,15.7926470588235
"251","01",18,"2","down",320.02,22,14.5463636363636
"252","01",18,"2","up",1989.49,136,14.6286029411765
"253","01",18,"3","down",198.2,19,10.4315789473684
"254","01",18,"3","up",2148.13,131,16.3979389312977
"255","01",18,"4","down",313.34,18,17.4077777777778
"256","01",18,"4","up",1177.68,88,13.3827272727273
"257","01",18,"5","down",248.48,15,16.5653333333333
"258","01",18,"5","up",1220.08,97,12.5781443298969
"259","01",18,"6","down",259.85,10,25.985
"260","01",18,"6","up",1540.59,88,17.5067045454545
"261","01",19,"0","down",69.73,5,13.946
"262","01",19,"0","up",972.11,82,11.855
"263","01",19,"1","down",201.82,9,22.4244444444444
"264","01",19,"1","up",958.29,60,15.9715
"265","01",19,"2","down",1414.31,49,28.8634693877551
"266","01",19,"2","up",2356.44,170,13.8614117647059
"267","01",19,"3","down",401.27,26,15.4334615384615
"268","01",19,"3","up",1933.18,142,13.6139436619718
"269","01",19,"4","down",226.23,10,22.623
"270","01",19,"4","up",1053.42,103,10.2273786407767
"271","01",19,"5","down",309.23,15,20.6153333333333
"272","01",19,"5","up",1474.22,113,13.0461946902655
"273","01",19,"6","down",215.01,12,17.9175
"274","01",19,"6","up",874.72,75,11.6629333333333
"275","01",20,"0","down",18.08,6,3.01333333333333
"276","01",20,"0","up",570.1,64,8.9078125
"277","01",20,"1","down",56.66,7,8.09428571428571
"278","01",20,"1","up",405.41,53,7.64924528301887
"279","01",20,"2","down",1944.64,73,26.638904109589
"280","01",20,"2","up",1832.93,189,9.69804232804233
"281","01",20,"3","down",146.63,18,8.14611111111111
"282","01",20,"3","up",1034.89,103,10.0474757281553
"283","01",20,"4","down",55.83,8,6.97875
"284","01",20,"4","up",763.08,89,8.57393258426966
"285","01",20,"5","down",165.9,8,20.7375
"286","01",20,"5","up",570.68,94,6.07106382978723
"287","01",20,"6","down",93.73,4,23.4325
"288","01",20,"6","up",644.69,75,8.59586666666667
"289","01",21,"0","down",20.25,3,6.75
"290","01",21,"0","up",195.34,39,5.00871794871795
"291","01",21,"1","down",34.18,6,5.69666666666667
"292","01",21,"1","up",169.85,43,3.95
"293","01",21,"2","down",2705.23,44,61.4825
"294","01",21,"2","up",2037.17,156,13.0587820512821
"295","01",21,"3","down",27.71,3,9.23666666666667
"296","01",21,"3","up",667.06,96,6.94854166666667
"297","01",21,"4","down",29.74,7,4.24857142857143
"298","01",21,"4","up",328.69,61,5.3883606557377
"299","01",21,"5","down",95.48,9,10.6088888888889
"300","01",21,"5","up",443.22,61,7.26590163934426
"301","01",21,"6","down",11.92,4,2.98
"302","01",21,"6","up",294.35,49,6.00714285714286
"303","01",22,"0","down",22.98,3,7.66
"304","01",22,"0","up",316.27,31,10.2022580645161
"305","01",22,"1","down",27.76,2,13.88
"306","01",22,"1","up",211.44,29,7.29103448275862
"307","01",22,"2","down",1805.47,33,54.7112121212121
"308","01",22,"2","up",1998.35,100,19.9835
"309","01",22,"3","down",19.01,6,3.16833333333333
"310","01",22,"3","up",245.88,45,5.464
"311","01",22,"4","down",70.49,12,5.87416666666667
"312","01",22,"4","up",452.3,56,8.07678571428571
"313","01",22,"5","down",63.62,10,6.362
"314","01",22,"5","up",306.04,45,6.80088888888889
"315","01",22,"6","down",106.62,9,11.8466666666667
"316","01",22,"6","up",144.11,34,4.23852941176471
