,floor,hour,week,direction,total,count,week_avgWait
1,1,0,0,down,36.25,4,9.0625
2,1,0,0,up,18.78,2,9.39
3,1,0,1,down,4.19,3,1.396666667
4,1,0,2,down,19.75,6,3.291666667
5,1,0,2,up,31.92,7,4.56
6,1,0,3,down,18.28,3,6.093333333
7,1,0,3,up,48.7,7,6.957142857
8,1,0,4,down,12.42,9,1.38
9,1,0,4,up,28.57,4,7.1425
10,1,0,5,down,1.52,2,0.76
11,1,0,5,up,12.82,3,4.273333333
12,1,0,6,down,48.6,7,6.942857143
13,1,0,6,up,16.43,4,4.1075
14,1,1,0,down,20.89,4,5.2225
15,1,1,1,down,40.55,4,10.1375
16,1,1,1,up,26.77,3,8.923333333
17,1,1,2,down,32.91,3,10.97
18,1,1,2,up,62.26,7,8.894285714
19,1,1,3,down,30.49,4,7.6225
20,1,1,3,up,20.81,4,5.2025
21,1,1,4,down,14.82,4,3.705
22,1,1,4,up,34.49,5,6.898
23,1,1,5,down,47.01,2,23.505
24,1,1,5,up,1.55,1,1.55
25,1,1,6,down,55.45,5,11.09
26,1,1,6,up,18.91,3,6.303333333
27,1,2,0,down,58.75,8,7.34375
28,1,2,0,up,43.55,3,14.51666667
29,1,2,1,down,26.3,3,8.766666667
30,1,2,1,up,33.3,3,11.1
31,1,2,2,down,5.31,4,1.3275
32,1,2,2,up,21.25,4,5.3125
33,1,2,3,down,42.57,5,8.514
34,1,2,3,up,82.22,6,13.70333333
35,1,2,4,down,18.58,3,6.193333333
36,1,2,4,up,23.4,6,3.9
37,1,2,5,down,17.71,2,8.855
38,1,2,5,up,1.59,1,1.59
39,1,2,6,down,18.93,3,6.31
40,1,2,6,up,34.59,3,11.53
41,1,3,0,down,45.94,5,9.188
42,1,3,1,down,3.27,2,1.635
43,1,3,1,up,21.51,3,7.17
44,1,3,2,down,54.76,5,10.952
45,1,3,2,up,35.52,2,17.76
46,1,3,3,down,2.64,2,1.32
47,1,3,3,up,20.39,2,10.195
48,1,3,4,down,43.14,3,14.38
49,1,3,4,up,1.6,1,1.6
50,1,3,5,down,18.27,1,18.27
51,1,3,6,down,25.44,6,4.24
52,1,3,6,up,2.52,2,1.26
53,1,4,0,down,53.08,8,6.635
54,1,4,0,up,16.01,1,16.01
55,1,4,1,down,32.2,5,6.44
56,1,4,1,up,2.62,2,1.31
57,1,4,2,down,16.92,6,2.82
58,1,4,2,up,19.48,3,6.493333333
59,1,4,3,down,21.75,5,4.35
60,1,4,3,up,11.11,2,5.555
61,1,4,4,down,69.44,9,7.715555556
62,1,4,4,up,20.38,3,6.793333333
63,1,4,5,down,17.31,2,8.655
64,1,4,5,up,1.53,1,1.53
65,1,4,6,down,28.43,3,9.476666667
66,1,4,6,up,1.67,1,1.67
67,1,5,0,down,41.45,4,10.3625
68,1,5,0,up,87.37,7,12.48142857
69,1,5,1,down,57.53,6,9.588333333
70,1,5,1,up,97.24,9,10.80444444
71,1,5,2,down,81.46,10,8.146
72,1,5,2,up,22,4,5.5
73,1,5,3,down,73.64,6,12.27333333
74,1,5,3,up,104.13,8,13.01625
75,1,5,4,down,82.3,6,13.71666667
76,1,5,4,up,42.79,5,8.558
77,1,5,5,down,0.22,1,0.22
78,1,5,5,up,22.62,2,11.31
79,1,5,6,down,59.53,8,7.44125
80,1,5,6,up,47.6,7,6.8
81,1,6,0,down,319.38,21,15.20857143
82,1,6,0,up,357.63,22,16.25590909
83,1,6,1,down,472.29,26,18.165
84,1,6,1,up,789.99,52,15.19211538
85,1,6,2,down,425.23,28,15.18678571
86,1,6,2,up,971.25,51,19.04411765
87,1,6,3,down,389.98,28,13.92785714
88,1,6,3,up,807.51,50,16.1502
89,1,6,4,down,620.84,35,17.73828571
90,1,6,4,up,774.25,46,16.83152174
91,1,6,5,down,287.75,13,22.13461538
92,1,6,5,up,536.76,29,18.50896552
93,1,6,6,down,448.27,26,17.24115385
94,1,6,6,up,394.71,26,15.18115385
95,1,7,0,down,691.74,30,23.058
96,1,7,0,up,711.34,40,17.7835
97,1,7,1,down,603.49,36,16.76361111
98,1,7,1,up,1428.13,86,16.60616279
99,1,7,2,down,780.64,33,23.65575758
100,1,7,2,up,1472.95,87,16.93045977
101,1,7,3,down,660.69,34,19.43205882
102,1,7,3,up,1503.04,88,17.08
103,1,7,4,down,839.35,38,22.08815789
104,1,7,4,up,1257.73,82,15.33817073
105,1,7,5,down,311.48,16,19.4675
106,1,7,5,up,622.63,42,14.82452381
107,1,7,6,down,523.92,33,15.87636364
108,1,7,6,up,1230.69,70,17.58128571
109,1,8,0,down,282.57,24,11.77375
110,1,8,0,up,406.7,38,10.70263158
111,1,8,1,down,390.47,35,11.15628571
112,1,8,1,up,1636.9,75,21.82533333
113,1,8,2,down,359.16,31,11.58580645
114,1,8,2,up,1406.27,75,18.75026667
115,1,8,3,down,422.81,33,12.81242424
116,1,8,3,up,1695.93,87,19.49344828
