,floor,hour,week,direction,total,count,week_avgWait
1,1,0,0,down,1.59,1,1.59
2,1,0,1,down,3.15,2,1.575
3,1,0,4,down,1.6,1,1.6
4,1,0,6,down,6.53,4,1.6325
5,1,1,0,down,3.16,2,1.58
6,1,1,1,down,1.59,1,1.59
7,1,1,3,down,4.78,3,1.593333333
8,1,2,1,down,4.63,3,1.543333333
9,1,2,2,down,1.55,1,1.55
10,1,2,4,down,1.59,1,1.59
11,1,3,0,down,1.57,1,1.57
12,1,3,1,down,3.23,2,1.615
13,1,3,2,down,4.96,3,1.653333333
14,1,3,5,down,1.61,1,1.61
15,1,3,6,down,6.39,4,1.5975
16,1,4,0,down,1.77,1,1.77
17,1,4,1,down,6.54,4,1.635
18,1,4,2,down,1.61,1,1.61
19,1,4,3,down,4.75,3,1.583333333
20,1,4,4,down,1.56,1,1.56
21,1,4,6,down,1.65,1,1.65
22,1,5,0,down,3.18,2,1.59
23,1,5,1,down,3.22,2,1.61
24,1,5,2,down,4.99,3,1.663333333
25,1,5,3,down,3.24,2,1.62
26,1,5,4,down,1.64,1,1.64
27,1,5,5,down,3.09,2,1.545
28,1,5,6,down,4.68,3,1.56
29,1,6,0,down,7.93,5,1.586
30,1,6,1,down,3.18,2,1.59
31,1,6,2,down,6.33,4,1.5825
32,1,6,3,down,3.17,1,3.17
33,1,6,4,down,4.69,3,1.563333333
34,1,6,5,down,1.59,1,1.59
35,1,6,6,down,4.83,2,2.415
36,1,7,0,down,14.6,9,1.622222222
37,1,7,1,down,30.15,8,3.76875
38,1,7,2,down,43.07,8,5.38375
39,1,7,3,down,27.26,5,5.452
40,1,7,4,down,54.42,9,6.046666667
41,1,7,5,down,6.46,3,2.153333333
42,1,7,6,down,22.67,8,2.83375
43,1,8,0,down,79.85,10,7.985
44,1,8,1,down,139.52,20,6.976
45,1,8,2,down,152.62,18,8.478888889
46,1,8,3,down,89.56,16,5.5975
47,1,8,4,down,117.97,15,7.864666667
48,1,8,5,down,89.92,24,3.746666667
49,1,8,6,down,9.58,6,1.596666667
50,1,9,0,down,9.33,6,1.555
51,1,9,1,down,58.65,14,4.189285714
52,1,9,2,down,31.68,8,3.96
53,1,9,3,down,49.64,9,5.515555556
54,1,9,4,down,17.73,5,3.546
55,1,9,5,down,19.26,12,1.605
56,1,9,6,down,51.17,5,10.234
57,1,10,0,down,1.64,1,1.64
58,1,10,1,down,19.31,6,3.218333333
59,1,10,2,down,14.48,4,3.62
60,1,10,3,down,28.87,6,4.811666667
61,1,10,4,down,11.27,7,1.61
62,1,10,5,down,31.58,9,3.508888889
63,1,10,6,down,19.16,6,3.193333333
64,1,11,0,down,1.53,1,1.53
65,1,11,1,down,49.98,9,5.553333333
66,1,11,2,down,41.56,8,5.195
67,1,11,3,down,59.11,11,5.373636364
68,1,11,4,down,87.65,8,10.95625
69,1,11,5,down,43.08,9,4.786666667
70,1,11,6,down,4.8,3,1.6
71,1,12,0,down,3.23,2,1.615
72,1,12,1,down,28.76,4,7.19
73,1,12,2,down,38.44,7,5.491428571
74,1,12,3,down,58.57,5,11.714
75,1,12,4,down,25.58,4,6.395
76,1,12,5,down,34.57,11,3.142727273
77,1,12,6,down,11.28,7,1.611428571
78,1,13,0,down,3.32,2,1.66
79,1,13,1,down,25.44,5,5.088
80,1,13,2,down,1.55,1,1.55
81,1,13,3,down,27.1,5,5.42
82,1,13,4,down,29.56,6,4.926666667
83,1,13,5,down,28.63,7,4.09
84,1,13,6,down,4.86,3,1.62
85,1,14,0,down,81.5,14,5.821428571
86,1,14,1,down,32.19,7,4.598571429
87,1,14,2,down,57.57,10,5.757
88,1,14,3,down,27.25,6,4.541666667
89,1,14,4,down,22.65,8,2.83125
90,1,14,5,down,78.51,14,5.607857143
91,1,14,6,down,17.59,5,3.518
92,1,15,0,down,35.62,5,7.124
93,1,15,1,down,19.41,6,3.235
94,1,15,2,down,36.97,6,6.161666667
95,1,15,3,down,33.71,9,3.745555556
96,1,15,4,down,51.23,12,4.269166667
97,1,15,5,down,79.03,15,5.268666667
98,1,15,6,down,39.9,5,7.98
99,1,16,0,down,69.93,15,4.662
100,1,16,1,down,69.32,11,6.301818182
101,1,16,2,down,111.9,15,7.46
102,1,16,3,down,59.25,13,4.557692308
103,1,16,4,down,221.93,21,10.56809524
104,1,16,5,down,179.59,30,5.986333333
105,1,16,6,down,23.73,9,2.636666667
106,1,17,1,down,69.97,10,6.997
107,1,17,2,down,98.05,9,10.89444444
108,1,17,3,down,108.57,10,10.857
109,1,17,4,down,92.39,13,7.106923077
110,1,17,5,down,59.08,16,3.6925
111,1,18,0,down,3.2,2,1.6
112,1,18,2,down,1.49,1,1.49
113,1,18,3,down,15.83,4,3.9575
114,1,18,5,down,14.4,3,4.8
115,1,18,6,down,6.13,4,1.5325
116,1,19,1,down,28.62,3,9.54
117,1,19,2,down,3.12,2,1.56
118,1,19,3,down,3.19,2,1.595
119,1,19,5,down,6.33,4,1.5825
120,1,19,6,down,3.17,2,1.585
121,1,20,0,down,1.5,1,1.5
122,1,20,1,down,4.8,3,1.6
123,1,20,2,down,1.69,1,1.69
124,1,20,3,down,3.15,2,1.575
125,1,20,4,down,14.23,3,4.743333333
126,1,20,5,down,3.2,2,1.6
127,1,20,6,down,4.89,3,1.63
128,1,21,0,down,3.27,2,1.635
129,1,21,1,down,51.6,5,10.32
130,1,21,2,down,17.49,5,3.498
131,1,21,3,down,19.27,5,3.854
132,1,21,4,down,6.36,4,1.59
133,1,21,5,down,47.92,12,3.993333333
134,1,21,6,down,25.99,6,4.331666667
135,1,22,0,down,7.95,5,1.59
136,1,22,1,down,1.61,1,1.61
137,1,22,3,down,6.46,4,1.615
