,floor,hour,week,direction,total,count,week_avgWait
1,1,0,0,up,884.47,39,22.67871795
2,1,0,1,up,883.98,39,22.66615385
3,1,0,2,up,922.94,39,23.66512821
4,1,0,3,up,722.2,31,23.29677419
5,1,0,4,up,487.13,27,18.04185185
6,1,0,5,up,359.85,16,22.490625
7,1,0,6,up,543.76,25,21.7504
8,1,1,0,up,497.71,23,21.63956522
9,1,1,1,up,529.91,24,22.07958333
10,1,1,2,up,459.9,22,20.90454545
11,1,1,3,up,518.65,20,25.9325
12,1,1,4,up,599.63,24,24.98458333
13,1,1,5,up,201.17,11,18.28818182
14,1,1,6,up,524.04,27,19.40888889
15,1,2,0,up,229.67,11,20.87909091
16,1,2,1,up,52.78,4,13.195
17,1,2,2,up,234.67,8,29.33375
18,1,2,3,up,222.07,10,22.207
19,1,2,4,up,339.46,12,28.28833333
20,1,2,5,up,149.23,5,29.846
21,1,2,6,up,189.96,10,18.996
22,1,3,0,up,98.09,4,24.5225
23,1,3,1,up,79.27,4,19.8175
24,1,3,2,up,105.7,5,21.14
25,1,3,3,up,88.73,3,29.57666667
26,1,3,4,up,210.15,10,21.015
27,1,3,5,up,177.47,6,29.57833333
28,1,3,6,up,106.6,6,17.76666667
29,1,4,1,up,26.79,2,13.395
30,1,4,2,up,0.44,1,0.44
31,1,4,3,up,92.33,4,23.0825
32,1,4,4,up,7.08,5,1.416
33,1,4,5,up,24.5,1,24.5
34,1,4,6,up,30.01,4,7.5025
35,1,5,0,up,25.84,2,12.92
36,1,5,1,up,1.35,1,1.35
37,1,5,2,up,32.79,2,16.395
38,1,5,3,up,31.95,4,7.9875
39,1,5,4,up,27.49,3,9.163333333
40,1,5,5,up,33.67,1,33.67
41,1,5,6,up,4.07,2,2.035
42,1,6,0,up,47.92,9,5.324444444
43,1,6,1,up,92.79,19,4.883684211
44,1,6,2,up,103.14,14,7.367142857
45,1,6,3,up,75.72,9,8.413333333
46,1,6,4,up,33.36,9,3.706666667
47,1,6,5,up,4.57,3,1.523333333
48,1,6,6,up,176.1,13,13.54615385
49,1,7,0,up,151.23,10,15.123
50,1,7,1,up,670.36,32,20.94875
51,1,7,2,up,380.04,26,14.61692308
52,1,7,3,up,422.87,36,11.74638889
53,1,7,4,up,604.73,33,18.32515152
54,1,7,5,up,322.13,15,21.47533333
55,1,7,6,up,60.96,17,3.585882353
56,1,8,0,up,390.86,30,13.02866667
57,1,8,1,up,657.38,40,16.4345
58,1,8,2,up,651.47,43,15.15046512
59,1,8,3,up,901.72,43,20.97023256
60,1,8,4,up,762.82,40,19.0705
61,1,8,5,up,1340.07,63,21.27095238
62,1,8,6,up,500.79,41,12.21439024
63,1,9,0,up,547.8,36,15.21666667
64,1,9,1,up,609.05,36,16.91805556
65,1,9,2,up,604.03,45,13.42288889
66,1,9,3,up,917.88,54,16.99777778
67,1,9,4,up,388.97,33,11.7869697
68,1,9,5,up,898.28,66,13.61030303
69,1,9,6,up,403.69,36,11.21361111
70,1,10,0,up,287.54,24,11.98083333
71,1,10,1,up,728.42,44,16.555
72,1,10,2,up,306.57,26,11.79115385
73,1,10,3,up,424.44,36,11.79
74,1,10,4,up,305.86,28,10.92357143
75,1,10,5,up,527.87,45,11.73044444
76,1,10,6,up,208.96,25,8.3584
77,1,11,0,up,255.42,28,9.122142857
78,1,11,1,up,779.18,43,18.12046512
79,1,11,2,up,358.53,41,8.744634146
80,1,11,3,up,432.67,34,12.72558824
81,1,11,4,up,807.91,50,16.1582
82,1,11,5,up,380.71,53,7.183207547
83,1,11,6,up,241.83,26,9.301153846
84,1,12,0,up,518.24,38,13.63789474
85,1,12,1,up,715.88,47,15.23148936
86,1,12,2,up,526.14,38,13.84578947
87,1,12,3,up,649.92,52,12.49846154
88,1,12,4,up,772.09,47,16.42744681
89,1,12,5,up,1542.69,81,19.04555556
90,1,12,6,up,463.46,39,11.88358974
91,1,13,0,up,500.75,38,13.17763158
92,1,13,1,up,751.72,60,12.52866667
93,1,13,2,up,527.99,40,13.19975
94,1,13,3,up,737.56,44,16.76272727
95,1,13,4,up,817.95,47,17.40319149
96,1,13,5,up,922.72,61,15.12655738
97,1,13,6,up,797.33,42,18.98404762
98,1,14,0,up,441.16,35,12.60457143
99,1,14,1,up,565.71,37,15.28945946
100,1,14,2,up,601.63,35,17.18942857
101,1,14,3,up,385.87,27,14.29148148
102,1,14,4,up,491.46,37,13.2827027
103,1,14,5,up,651.79,52,12.53442308
104,1,14,6,up,409.4,31,13.20645161
105,1,15,0,up,283.92,25,11.3568
106,1,15,1,up,424.82,30,14.16066667
107,1,15,2,up,486.52,34,14.30941176
108,1,15,3,up,824.12,40,20.603
109,1,15,4,up,271.38,29,9.357931034
110,1,15,5,up,518.19,46,11.265
111,1,15,6,up,195.71,21,9.31952381
112,1,16,0,up,606.7,39,15.55641026
113,1,16,1,up,636.91,47,13.5512766
114,1,16,2,up,531.87,46,11.5623913
115,1,16,3,up,549.02,39,14.0774359
116,1,16,4,up,895.62,53,16.89849057
117,1,16,5,up,1363.09,74,18.42013514
118,1,16,6,up,558.1,42,13.28809524
119,1,17,0,up,550.12,39,14.10564103
120,1,17,1,up,1492.32,62,24.06967742
121,1,17,2,up,1045.88,54,19.36814815
122,1,17,3,up,1326.99,62,21.40306452
123,1,17,4,up,1016.43,55,18.48054545
124,1,17,5,up,1454.57,87,16.7191954
125,1,17,6,up,412.03,39,10.56487179
126,1,18,0,up,766.32,51,15.02588235
127,1,18,1,up,1142.44,52,21.97
128,1,18,2,up,853.43,57,14.97245614
129,1,18,3,up,1014.89,57,17.80508772
130,1,18,4,up,446.56,32,13.955
131,1,18,5,up,1109.32,61,18.18557377
132,1,18,6,up,572.47,32,17.8896875
133,1,19,0,up,1032.45,60,17.2075
134,1,19,1,up,922.45,50,18.449
135,1,19,2,up,962.93,51,18.88098039
136,1,19,3,up,676.69,46,14.71065217
137,1,19,4,up,498.99,22,22.68136364
138,1,19,5,up,949.58,49,19.37918367
139,1,19,6,up,709.86,43,16.50837209
140,1,20,0,up,1000.68,59,16.96067797
141,1,20,1,up,836.45,44,19.01022727
142,1,20,2,up,1141.86,50,22.8372
143,1,20,3,up,1110.43,52,21.35442308
144,1,20,4,up,501.63,21,23.88714286
145,1,20,5,up,753.43,43,17.52162791
146,1,20,6,up,696.18,41,16.98
147,1,21,0,up,1139.93,48,23.74854167
148,1,21,1,up,1379.11,60,22.98516667
149,1,21,2,up,1160.55,60,19.3425
150,1,21,3,up,1095.28,56,19.55857143
151,1,21,4,up,536.1,30,17.87
152,1,21,5,up,1001.18,55,18.20327273
153,1,21,6,up,825.5,44,18.76136364
154,1,22,0,up,890.61,49,18.17571429
155,1,22,1,up,645.65,43,15.01511628
156,1,22,2,up,633.18,42,15.07571429
157,1,22,3,up,1050.84,55,19.10618182
158,1,22,4,up,350.09,21,16.67095238
159,1,22,5,up,855.06,40,21.3765
160,1,22,6,up,720.83,43,16.76348837
161,1,23,0,up,345.84,27,12.80888889
162,1,23,1,up,533.02,27,19.74148148
163,1,23,2,up,681.4,36,18.92777778
164,1,23,3,up,458.56,27,16.9837037
165,1,23,4,up,230.48,12,19.20666667
166,1,23,5,up,583.62,27,21.61555556
167,1,23,6,up,395.8,30,13.19333333
168,6,0,0,down,112.02,4,28.005
169,6,0,0,up,462.04,27,17.11259259
170,6,0,1,down,119.28,6,19.88
171,6,0,1,up,545.05,28,19.46607143
172,6,0,2,down,13.27,2,6.635
173,6,0,2,up,454.27,32,14.1959375
174,6,0,3,down,68.59,3,22.86333333
175,6,0,3,up,455.31,28,16.26107143
176,6,0,4,down,94.7,5,18.94
177,6,0,4,up,457.33,29,15.77
178,6,0,5,down,46.42,3,15.47333333
179,6,0,5,up,242.12,15,16.14133333
180,6,0,6,down,39.09,3,13.03
181,6,0,6,up,438.21,21,20.86714286
182,6,1,0,down,12.29,1,12.29
183,6,1,0,up,260.94,16,16.30875
184,6,1,1,up,166.7,11,15.15454545
185,6,1,2,up,256.76,16,16.0475
186,6,1,3,down,42.12,3,14.04
187,6,1,3,up,478.39,26,18.39961538
188,6,1,4,down,35.06,2,17.53
189,6,1,4,up,561.27,19,29.54052632
190,6,1,5,down,15.98,1,15.98
191,6,1,5,up,112.73,9,12.52555556
