,floor,hour,direction,avgWait_weekday
11,B4,11,up,49.02057613
12,B4,12,up,48.67666667
13,B4,13,up,43.59296296
17,B4,17,up,40.27939394
15,B4,15,up,35.87952381
16,B4,16,up,34.2713834
10,B4,10,up,34.1715859
14,B4,14,up,32.46376984
7,B4,7,up,32.40641791
18,B4,18,up,31.82266667
9,B4,9,up,31.82159624
8,B4,8,up,30.08351779
23,B4,23,up,27.55888889
19,B4,19,up,26.47895833
6,B4,6,up,24.82973333
3,B4,3,up,21.478
20,B4,20,up,21.43890625
21,B4,21,up,21.42745455
2,B4,2,up,20.2575
5,B4,5,up,14.74583333
0,B4,0,up,13.54285714
22,B4,22,up,12.7225
4,B4,4,up,6.17
1,B4,1,up,3.435
55,B3,19,down,56.8
58,B3,21,down,53.66333333
35,B3,9,down,42.51071429
38,B3,11,down,36.19391304
54,B3,19,up,34.61463415
51,B3,17,down,33.78166667
33,B3,8,down,30.31272727
56,B3,20,up,29.92285714
41,B3,12,up,27.95846847
53,B3,18,down,25.26
37,B3,10,down,25.10037037
44,B3,14,down,23.7655
40,B3,12,down,22.92956522
31,B3,7,down,22.58
42,B3,13,up,22.53537634
45,B3,14,up,21.90603774
47,B3,15,down,21.84884615
39,B3,11,up,21.71535088
36,B3,10,up,20.58682243
52,B3,18,up,20.53404762
32,B3,8,up,20.17243243
60,B3,22,down,20.1
57,B3,21,up,20.07733333
30,B3,7,up,19.91534392
50,B3,17,up,19.60731343
48,B3,16,up,19.57567568
43,B3,13,down,18.629
49,B3,16,down,18.58392857
34,B3,9,up,18.43597015
59,B3,22,up,18.15222222
61,B3,23,up,16.64
46,B3,15,up,16.1509901
27,B3,5,up,15.06
24,B3,0,up,14.26
28,B3,6,up,13.83535714
26,B3,4,up,13.16
29,B3,6,down,11.72
25,B3,1,up,8.81
96,B1,18,up,44.52363636
98,B1,19,up,43.2563197
94,B1,17,up,34.59875686
84,B1,12,up,33.96481203
71,B1,6,down,31.29852941
80,B1,10,up,30.99402844
92,B1,16,up,30.23877944
88,B1,14,up,29.7032636
95,B1,18,down,29.318
90,B1,15,up,29.27938215
82,B1,11,up,28.9941483
73,B1,7,down,28.96854839
93,B1,17,down,28.58122642
76,B1,8,up,28.25829181
97,B1,19,down,28.00276923
86,B1,13,up,27.07171598
78,B1,9,up,26.97566462
74,B1,7,up,26.18236715
81,B1,11,down,25.9253271
100,B1,20,up,25.63469043
85,B1,13,down,25.2455303
75,B1,8,down,25.05783133
79,B1,10,down,24.15363636
83,B1,12,down,23.6033871
101,B1,21,down,22.42967742
99,B1,20,down,22.27
87,B1,14,down,22.07666667
77,B1,9,down,21.0788764
89,B1,15,down,20.39195122
72,B1,6,up,19.47764706
102,B1,21,up,18.96095679
91,B1,16,down,17.15445378
104,B1,22,up,15.71271186
105,B1,23,up,15.38538012
103,B1,22,down,14.00636364
62,B1,0,down,11.775
63,B1,0,up,10.28657895
64,B1,1,down,10.204
69,B1,4,up,9.189473684
67,B1,3,up,9.102142857
106,B1,23,down,8.802222222
70,B1,5,up,7.678333333
65,B1,1,up,7.592954545
66,B1,2,up,6.351818182
68,B1,3,down,1.21
117,15,12,down,81.15102703
114,15,9,down,80.90065789
118,15,13,down,79.45678322
115,15,10,down,78.43833333
116,15,11,down,77.81405941
120,15,15,down,77.34607595
119,15,14,down,74.46777778
121,15,16,down,74.27364583
122,15,17,down,73.46947115
123,15,18,down,56.42613861
113,15,8,down,54.88721311
124,15,19,down,52.25733333
112,15,7,down,50.59324324
125,15,20,down,43.96684211
126,15,21,down,36.65133333
111,15,6,down,30.40777778
127,15,22,down,29.85708333
110,15,5,down,27.57333333
128,15,23,down,24.7204
107,15,0,down,24.1675
108,15,1,down,18.51384615
109,15,3,down,11.755
162,14,17,up,124.5208333
148,14,10,up,120.4057143
160,14,16,up,108.5733333
156,14,14,up,105.2033333
154,14,13,up,95.06
146,14,9,up,82.90636364
152,14,12,up,76.56933333
164,14,18,up,74.54666667
158,14,15,up,73.85333333
163,14,18,down,67.28525907
155,14,14,down,66.90239344
153,14,13,down,66.39167183
149,14,11,down,65.99817109
150,14,11,up,65.49533333
144,14,8,up,63.59923077
147,14,10,down,61.85969492
165,14,19,down,60.64501312
159,14,16,down,60.32532353
157,14,15,down,60.21380952
166,14,19,up,59.45
161,14,17,down,57.89131105
