,floor,hour,direction,avgWait_weekend
0,1,0,down,8.504999999999999
1,1,0,up,9.260576923076922
2,1,1,down,2.1925
3,1,1,up,6.564871794871794
4,1,2,up,6.360888888888888
5,1,2,down,10.803333333333333
6,1,3,down,3.433333333333333
7,1,3,up,8.64102564102564
8,1,4,down,6.408
9,1,4,up,10.06125
10,1,5,down,14.952857142857145
11,1,5,up,10.305774647887324
12,1,6,down,31.16500000000001
13,1,6,up,22.1937890625
14,1,7,down,66.7595
15,1,7,up,24.95310638297872
16,1,8,down,63.398684210526326
17,1,8,up,29.847853658536586
18,1,9,down,35.088
19,1,9,up,31.846604651162792
20,1,10,down,63.98265306122449
21,1,10,up,33.074473684210524
22,1,11,down,52.87042553191489
23,1,11,up,23.208023952095807
24,1,12,down,39.85593220338985
25,1,12,up,23.462529411764702
26,1,13,down,49.87125
27,1,13,up,26.526237113402058
28,1,14,down,41.893333333333345
29,1,14,up,28.255215311004786
30,1,15,down,54.76884615384616
31,1,15,up,31.4622009569378
32,1,16,down,77.25
33,1,16,up,34.54395
34,1,17,down,70.1246875
35,1,17,up,24.3325
36,1,18,down,74.42454545454545
37,1,18,up,27.131676646706588
38,1,19,down,44.913703703703696
39,1,19,up,31.274386792452827
40,1,20,down,43.70857142857143
41,1,20,up,33.26905172413793
42,1,21,down,16.97153846153846
43,1,21,up,26.409285714285716
44,1,22,down,38.5009090909091
45,1,22,up,16.618206106870232
46,1,23,down,14.165555555555557
47,1,23,up,13.922369668246446
48,2,2,down,16.18
49,2,4,down,24.78
50,2,4,up,5.44
51,2,5,down,16.54
52,2,6,down,10.89
53,2,7,down,32.88333333333333
54,2,7,up,15.988
55,2,8,down,70.77375
56,2,8,up,11.962592592592593
57,2,9,down,52.88777777777778
58,2,9,up,9.220833333333333
59,2,10,down,61.04545454545455
60,2,10,up,13.018157894736841
61,2,11,down,42.97103448275864
62,2,11,up,9.4212
63,2,12,down,54.58947368421053
64,2,12,up,12.41625
65,2,13,down,36.065714285714286
66,2,13,up,13.91777777777778
67,2,14,down,51.07086956521738
68,2,14,up,14.4525
69,2,15,down,66.3
70,2,15,up,14.005217391304347
71,2,16,down,38.871
72,2,16,up,10.885806451612904
73,2,17,down,39.13
74,2,17,up,16.980833333333333
75,2,18,down,93.49666666666668
76,2,18,up,15.946666666666667
77,2,19,down,3.77
78,2,19,up,19.108
79,2,20,up,21.435
80,2,20,down,50.795
81,2,21,up,6.565
82,2,21,down,69.36
83,2,22,up,27.21
84,2,23,down,24.04
85,4,0,down,24.701818181818187
86,4,0,up,18.59
87,4,1,down,27.90888888888889
88,4,1,up,22.845
89,4,2,down,38.12000000000001
90,4,2,up,13.36
91,4,3,down,24.855
92,4,4,down,18.648333333333333
93,4,4,up,28.7
94,4,5,down,25.975
