,floor,hour,direction,avgWait_weekend
0,1,0,down,7.6786206896551725
1,1,0,up,11.404126984126984
2,1,1,down,9.681034482758621
3,1,1,up,6.744909090909092
4,1,2,down,6.647631578947369
5,1,2,up,6.430212765957448
6,1,3,down,7.5024
7,1,3,up,7.566749999999999
8,1,4,down,5.764615384615384
9,1,4,up,8.268157894736841
10,1,5,down,8.715945945945947
11,1,5,up,7.774130434782609
12,1,6,down,13.31378205128205
13,1,6,up,14.4454128440367
14,1,7,down,21.964639175257734
15,1,7,up,13.30818604651163
16,1,8,down,25.392745098039214
17,1,8,up,17.369894179894178
18,1,9,down,18.04287037037037
19,1,9,up,14.22095744680851
20,1,10,down,16.8365306122449
21,1,10,up,18.513491124260355
22,1,11,down,18.29692307692308
23,1,11,up,14.385502958579883
24,1,12,down,17.564615384615383
25,1,12,up,14.608833333333335
26,1,13,down,22.55354166666667
27,1,13,up,16.021234567901235
28,1,14,down,18.919333333333334
29,1,14,up,17.830496894409936
30,1,15,down,20.743913043478262
31,1,15,up,17.187572254335258
32,1,16,down,18.30981818181818
33,1,16,up,13.985071770334928
34,1,17,down,17.586101694915254
35,1,17,up,14.89170616113744
36,1,18,down,19.42595238095238
37,1,18,up,15.307512437810946
38,1,19,down,22.17611111111111
39,1,19,up,13.96151376146789
40,1,20,down,13.597710843373495
41,1,20,up,14.987641025641027
42,1,21,down,12.872467532467532
43,1,21,up,10.82034965034965
44,1,22,down,12.065058823529412
45,1,22,up,11.688474576271187
46,1,23,down,7.117543859649123
47,1,23,up,9.29851485148515
48,2,0,up,7.29
49,2,1,down,11.82
50,2,1,up,19.07
51,2,2,down,7.84
52,2,2,up,6.4
53,2,3,down,14.086666666666666
54,2,4,down,1.06
55,2,5,down,20.39
56,2,6,down,25.961111111111112
57,2,6,up,20.992
58,2,7,down,18.009090909090908
59,2,7,up,8.47111111111111
60,2,8,down,19.436333333333334
61,2,8,up,9.255999999999998
62,2,9,down,14.292666666666666
63,2,9,up,12.035641025641025
64,2,10,down,16.210270270270268
65,2,10,up,13.077250000000001
66,2,11,down,13.835526315789474
67,2,11,up,11.786052631578947
68,2,12,down,15.714
69,2,12,up,11.406428571428572
70,2,13,down,15.155357142857143
71,2,13,up,10.917391304347827
72,2,14,down,18.046
73,2,14,up,35.84346153846154
74,2,15,down,14.851315789473682
75,2,15,up,13.12
76,2,16,down,15.603055555555557
77,2,16,up,11.015416666666667
78,2,17,down,21.3475
79,2,17,up,9.036
80,2,18,down,25.653333333333332
81,2,18,up,14.441428571428572
82,2,19,down,12.085714285714285
83,2,19,up,19.058
84,2,20,down,18.71
85,2,20,up,8.76
86,2,21,down,19.595
87,2,21,up,18.105
88,2,22,down,17.901666666666667
89,2,22,up,5.1466666666666665
90,2,23,down,12.78
91,3,0,down,11.589615384615387
92,3,0,up,6.169090909090909
93,3,1,down,3.621578947368421
94,3,1,up,4.164375
95,3,2,down,6.428181818181819
96,3,2,up,8.753333333333334
97,3,3,down,4.590625
98,3,3,up,5.489999999999999
99,3,4,down,7.04625
100,3,4,up,7.506666666666666
101,3,5,down,6.362307692307693
102,3,5,up,11.618
103,3,6,down,18.625714285714285
104,3,6,up,13.475
105,3,7,down,26.072857142857142
106,3,7,up,10.46774193548387
107,3,8,down,20.150555555555556
108,3,8,up,16.397021276595748
109,3,9,down,24.006746987951807
110,3,9,up,13.049850746268655
111,3,10,down,24.408311688311688
112,3,10,up,14.138421052631578
113,3,11,down,19.302560975609754
114,3,11,up,11.153424657534247
115,3,12,down,26.63921052631579
116,3,12,up,14.136000000000001
117,3,13,down,22.0995652173913
118,3,13,up,16.69157142857143
119,3,14,down,16.795064935064936
120,3,14,up,14.241666666666667
121,3,15,down,21.902839506172842
122,3,15,up,12.561549295774649
123,3,16,down,22.10125
124,3,16,up,13.492089552238806
125,3,17,down,21.588870967741936
126,3,17,up,12.245833333333332
127,3,18,down,28.454464285714288
128,3,18,up,12.83575
129,3,19,down,25.568139534883723
130,3,19,up,12.24735294117647
131,3,20,down,19.720468750000002
132,3,20,up,18.323999999999998
133,3,21,down,16.91090909090909
134,3,21,up,20.329583333333336
135,3,22,down,16.17833333333333
136,3,22,up,12.946956521739128
137,3,23,down,11.243055555555555
138,3,23,up,18.429333333333332
139,4,0,down,19.01076923076923
140,4,0,up,11.564166666666665
141,4,1,down,15.823333333333332
142,4,1,up,16.44764705882353
143,4,2,down,5.5086956521739125
144,4,2,up,7.293636363636363
145,4,3,down,7.411818181818182
146,4,3,up,9.948571428571428
147,4,4,down,9.639411764705883
148,4,4,up,12.122499999999999
149,4,5,down,15.550833333333335
150,4,5,up,6.078333333333333
151,4,6,down,12.792857142857143
152,4,6,up,14.570588235294117
153,4,7,down,28.20952380952381
154,4,7,up,11.89986842105263
155,4,8,down,36.35164556962025
156,4,8,up,16.586666666666666
157,4,9,down,19.387999999999998
158,4,9,up,12.143333333333333
159,4,10,down,28.191549295774646
160,4,10,up,14.795148514851485
161,4,11,down,21.8825
162,4,11,up,13.059569892473117
163,4,12,down,25.89027027027027
164,4,12,up,13.827093023255813
165,4,13,down,34.52
166,4,13,up,14.795731707317072
167,4,14,down,25.49109756097561
168,4,14,up,17.225607476635513
169,4,15,down,26.243466666666666
170,4,15,up,12.870722891566265
171,4,16,down,28.87294117647059
172,4,16,up,13.066282051282052
173,4,17,down,31.282297297297294
174,4,17,up,14.848888888888888
175,4,18,down,26.698
176,4,18,up,12.9036
177,4,19,down,27.23166666666667
178,4,19,up,13.868529411764705
179,4,20,down,21.8988
180,4,20,up,17.05727272727273
181,4,21,down,24.34923076923077
182,4,21,up,14.53793103448276
183,4,22,down,20.444444444444443
184,4,22,up,16.91090909090909
185,4,23,down,20.97304347826087
186,4,23,up,9.980625
187,5,0,down,18.259999999999998
188,5,0,up,16.37
189,5,1,down,9.664782608695651
190,5,1,up,24.93
191,5,2,down,10.196896551724139
192,5,2,up,27.801428571428573
193,5,3,down,13.34857142857143
194,5,3,up,23.79
195,5,4,down,11.627777777777778
196,5,4,up,16.506666666666664
197,5,5,down,8.9876
198,5,5,up,23.359999999999996
199,5,6,down,15.493055555555555
200,5,6,up,6.756666666666666
201,5,7,down,21.80909090909091
202,5,7,up,6.72375
203,5,8,down,28.180198019801978
204,5,8,up,9.288630136986301
205,5,9,down,29.200550458715593
206,5,9,up,8.68620253164557
207,5,10,down,33.636065573770495
208,5,10,up,12.584903846153846
209,5,11,down,27.801870967741934
210,5,11,up,9.821652173913044
211,5,12,down,33.8302962962963
