,floor,hour,direction,avgWait_weekday
0,1,0,down,8.03
1,1,0,up,3.7837500000000004
2,1,1,down,8.425
3,1,1,up,11.136000000000001
4,1,2,down,9.365
5,1,2,up,10.360000000000001
6,1,3,down,19.94333333333333
7,1,3,up,15.75
8,1,4,up,8.65
9,1,4,down,0.67
10,1,5,down,25.10833333333333
11,1,5,up,16.08909090909091
12,1,6,down,24.062207792207793
13,1,6,up,16.920881542699725
14,1,7,down,33.54444444444444
15,1,7,up,13.093651685393258
16,1,8,down,30.01764705882353
17,1,8,up,12.0787899543379
18,1,9,down,18.44009900990099
19,1,9,up,13.388571428571428
20,1,10,down,22.38050505050505
21,1,10,up,13.707073954983922
22,1,11,down,16.186874999999997
23,1,11,up,11.20741134751773
24,1,12,down,26.693333333333335
25,1,12,up,12.53194842406877
26,1,13,down,24.9458
27,1,13,up,12.30185507246377
28,1,14,down,24.873508771929824
29,1,14,up,14.298044871794872
30,1,15,down,25.070183486238534
31,1,15,up,13.244548494983277
32,1,16,down,20.94330188679245
33,1,16,up,13.46622950819672
34,1,17,down,22.04549180327869
35,1,17,up,14.245849802371541
36,1,18,down,16.54274193548387
37,1,18,up,15.249947089947089
38,1,19,down,14.9778
39,1,19,up,12.243076923076924
40,1,20,down,12.755555555555555
41,1,20,up,11.076
42,1,21,down,7.246
43,1,21,up,9.712916666666667
44,1,22,down,10.585238095238097
45,1,22,up,9.36198347107438
46,1,23,down,7.184
47,1,23,up,12.376666666666667
48,2,0,up,17.56
49,2,1,down,1.24
50,2,4,up,16.23
51,2,6,up,15.591999999999999
52,2,6,down,11.629999999999999
53,2,7,down,36.74321428571428
54,2,7,up,10.393766233766234
55,2,8,up,9.845343511450382
56,2,8,down,35.01154929577465
57,2,9,down,28.764675324675327
58,2,9,up,15.068928571428568
59,2,10,up,9.086277372262773
60,2,10,down,37.010156249999994
61,2,11,down,24.17361111111111
62,2,11,up,10.625308641975309
63,2,12,down,30.095000000000002
64,2,12,up,9.719496855345913
65,2,13,down,35.29158536585366
66,2,13,up,9.67736842105263
67,2,14,down,29.433132530120485
68,2,14,up,9.962236842105265
69,2,15,down,25.493595505617982
70,2,15,up,10.565414012738854
71,2,16,down,26.157341772151902
72,2,16,up,9.040130718954249
73,2,17,down,18.3768253968254
74,2,17,up,10.68721804511278
75,2,18,up,11.778194444444445
76,2,18,down,23.60795918367347
77,2,19,down,21.285294117647055
78,2,19,up,14.950999999999999
79,2,20,down,12.496363636363638
80,2,20,up,11.01923076923077
81,2,21,down,17.56
82,2,21,up,11.052000000000001
83,2,22,down,17.93
84,2,22,up,19.81
85,2,23,down,17.65
86,2,23,up,0.92
87,3,0,up,14.225882352941175
88,3,0,down,19.435000000000002
89,3,1,up,15.046666666666667
90,3,1,down,9.195
91,3,2,down,15.795999999999998
92,3,2,up,10.446666666666665
93,3,3,up,19.05
94,3,3,down,18.53
95,3,4,down,1.59
96,3,4,up,9.275
97,3,5,down,19.185
98,3,6,down,24.366666666666667
99,3,6,up,8.01
100,3,7,down,29.167916666666667
101,3,7,up,9.027333333333333
102,3,8,down,37.084920634920636
103,3,8,up,7.637755102040816
104,3,9,down,34.77699029126214
105,3,9,up,10.831728395061727
106,3,10,down,27.34505747126437
107,3,10,up,10.271566265060242
108,3,11,down,27.17586466165414
109,3,11,up,8.81421052631579
110,3,12,down,33.076153846153844
111,3,12,up,7.915147058823529
112,3,13,down,43.14269230769231
113,3,13,up,10.330561797752809
114,3,14,down,34.79205607476636
115,3,14,up,9.455461538461538
116,3,15,down,29.85433628318584
117,3,15,up,11.30528
118,3,16,down,29.853188405797106
119,3,16,up,9.854083333333334
120,3,17,down,31.928556701030928
121,3,17,up,12.092359550561799
122,3,18,down,22.905384615384612
123,3,18,up,10.017567567567568
124,3,19,down,19.352285714285713
125,3,19,up,14.84
126,3,20,down,13.575517241379313
127,3,20,up,13.214444444444446
128,3,21,down,14.822142857142856
129,3,21,up,11.881818181818181
130,3,22,down,16.63444444444444
131,3,22,up,8.68
132,3,23,down,18.75
133,3,23,up,12.398333333333333
134,4,0,down,14.218
135,4,0,up,14.673666666666666
136,4,1,up,14.339166666666669
137,4,1,down,13.628
138,4,2,up,13.959999999999999
139,4,2,down,1.6
140,4,3,up,17.5
141,4,4,up,18.7
142,4,4,down,1.48
143,4,5,up,16.78
144,4,5,down,17.965
145,4,6,down,29.2575
146,4,6,up,15.766818181818183
147,4,7,down,28.6555
148,4,7,up,10.303809523809523
149,4,8,down,40.471111111111114
150,4,8,up,9.807317073170731
151,4,9,down,32.21
152,4,9,up,9.114137931034483
153,4,10,down,49.31260869565217
154,4,10,up,9.694130434782608
155,4,11,down,35.90232876712329
156,4,11,up,10.394096385542168
157,4,12,down,24.990701754385967
158,4,12,up,9.125754716981133
159,4,13,down,39.212459016393446
160,4,13,up,8.7271
161,4,14,down,52.844
162,4,14,up,11.327542372881357
163,4,15,down,44.420300000000005
164,4,15,up,9.75609022556391
165,4,16,down,35.33483870967742
166,4,16,up,11.834999999999999
167,4,17,down,26.321263157894737
168,4,17,up,10.730319999999999
169,4,18,down,30.794603174603175
170,4,18,up,17.817777777777778
171,4,19,down,19.048750000000002
172,4,19,up,16.410117647058822
173,4,20,down,16.865666666666666
174,4,20,up,16.735833333333332
175,4,21,down,19.4048
176,4,21,up,14.150869565217393
177,4,22,down,19.437419354838706
178,4,22,up,12.682916666666666
179,4,23,down,13.6625
180,4,23,up,11.448571428571428
181,5,0,down,10.56625
182,5,0,up,13.060588235294118
183,5,1,up,14.115
184,5,1,down,10.86
185,5,2,up,9.592222222222222
186,5,2,down,10.61
187,5,3,up,13.654285714285715
188,5,3,down,17.959999999999997
189,5,4,up,15.84666666666667
190,5,4,down,15.97
191,5,5,up,11.6575
192,5,5,down,29.4225
193,5,6,up,13.244285714285715
194,5,6,down,20.348000000000003
195,5,7,down,34.471
196,5,7,up,10.4135
197,5,8,down,40.824430379746836
198,5,8,up,9.978
199,5,9,down,46.30752808988765
200,5,9,up,9.838285714285716
201,5,10,down,41.4441095890411
202,5,10,up,10.325833333333335
203,5,11,down,54.330873786407764
204,5,11,up,11.078316831683168
205,5,12,down,38.43091743119266
206,5,12,up,8.859634146341463
207,5,13,down,44.07285714285714
208,5,13,up,10.059102564102563
209,5,14,down,45.701410256410256
210,5,14,up,10.295963302752293
211,5,15,down,47.35247524752476
212,5,15,up,9.69009900990099
213,5,16,down,47.785599999999995
214,5,16,up,12.308659793814433
215,5,17,down,46.56439393939394
216,5,17,up,11.762911392405064
217,5,18,down,33.256534653465344
218,5,18,up,15.86862745098039
