,floor,hour,direction,week,avgWait
0,1,0,down,weekday,3.6356
1,1,0,up,weekday,6.3985
2,1,1,down,weekday,7.350526316
3,1,1,up,weekday,7.596315789
4,1,2,down,weekday,6.587391304
5,1,2,up,weekday,9.26
6,1,3,down,weekday,8.808823529
7,1,3,up,weekday,9.8775
8,1,4,down,weekday,5.86030303
9,1,4,up,weekday,6.327272727
10,1,5,down,weekday,10.511875
11,1,5,up,weekday,10.7130303
12,1,6,down,weekday,16.14289855
13,1,6,up,weekday,16.74493213
14,1,7,down,weekday,20.91175439
15,1,7,up,weekday,16.64018277
16,1,8,down,weekday,11.5504698
17,1,8,up,weekday,19.56193084
18,1,9,down,weekday,12.4627451
19,1,9,up,weekday,20.3194302
20,1,10,down,weekday,12.95984211
21,1,10,up,weekday,21.64458967
22,1,11,down,weekday,10.84364017
23,1,11,up,weekday,16.66116279
24,1,12,down,weekday,12.01
25,1,12,up,weekday,16.28873606
26,1,13,down,weekday,11.80262376
27,1,13,up,weekday,17.56478125
28,1,14,down,weekday,12.68972527
29,1,14,up,weekday,18.88765823
30,1,15,down,weekday,10.44982036
31,1,15,up,weekday,17.07266667
32,1,16,down,weekday,10.00748634
33,1,16,up,weekday,17.61412338
34,1,17,down,weekday,11.50153465
35,1,17,up,weekday,17.67837121
36,1,18,down,weekday,12.9748125
37,1,18,up,weekday,17.44681818
38,1,19,down,weekday,10.73245902
39,1,19,up,weekday,14.716375
40,1,20,down,weekday,8.247575758
41,1,20,up,weekday,9.629615385
42,1,21,down,weekday,8.773714286
43,1,21,up,weekday,9.787764706
44,1,22,up,weekday,9.244468085
45,1,22,down,weekday,14.31684211
46,1,23,down,weekday,10.80823529
47,1,23,up,weekday,12.79985075
48,2,0,down,weekday,12.823
49,2,0,up,weekday,25.53
50,2,1,up,weekday,17.49
51,2,1,down,weekday,12.76333333
52,2,2,down,weekday,9.83
53,2,2,up,weekday,1.06
54,2,3,down,weekday,17.6
55,2,3,up,weekday,1.16
56,2,4,down,weekday,16.555
57,2,5,up,weekday,9.6
58,2,6,down,weekday,11.777
59,2,6,up,weekday,4.76
60,2,7,down,weekday,20.74171875
61,2,7,up,weekday,5.363125
62,2,8,down,weekday,16.25045113
63,2,8,up,weekday,9.400263158
64,2,9,down,weekday,15.00403315
65,2,9,up,weekday,9.269487179
66,2,10,down,weekday,12.70044944
67,2,10,up,weekday,10.33633333
68,2,11,down,weekday,10.85039773
69,2,11,up,weekday,11.38576271
70,2,12,down,weekday,10.81606061
71,2,12,up,weekday,11.96833333
72,2,13,down,weekday,13.11651685
73,2,13,up,weekday,11.3287234
74,2,14,down,weekday,13.62728261
75,2,14,up,weekday,13.81065217
76,2,15,up,weekday,12.76933333
77,2,15,down,weekday,11.75961749
78,2,16,down,weekday,10.72790123
79,2,16,up,weekday,13.09479167
80,2,17,down,weekday,11.21296875
81,2,17,up,weekday,14.31925926
82,2,18,down,weekday,12.0005102
83,2,18,up,weekday,14.27076923
84,2,19,down,weekday,13.14465116
85,2,19,up,weekday,5.0475
86,2,20,down,weekday,11.653
87,2,20,up,weekday,8.22
88,2,21,down,weekday,14.59366667
89,2,21,up,weekday,33.35
90,2,22,down,weekday,11.7975
91,2,22,up,weekday,11.17
92,2,23,down,weekday,16.42
93,2,23,up,weekday,17.39
94,3,0,down,weekday,11.95875
95,3,1,up,weekday,11.04
96,3,1,down,weekday,13.507
97,3,2,down,weekday,13.02
98,3,3,down,weekday,19.02
99,3,4,up,weekday,20.68
100,3,4,down,weekday,1.61
101,3,5,down,weekday,19.2
102,3,6,down,weekday,13.58736842
103,3,6,up,weekday,15.87
104,3,7,down,weekday,20.19568627
105,3,7,up,weekday,13.12
106,3,8,down,weekday,17.6078
107,3,8,up,weekday,9.748888889
108,3,9,down,weekday,13.37362903
109,3,9,up,weekday,18.24133333
110,3,10,down,weekday,12.88413793
111,3,10,up,weekday,11.29333333
112,3,11,down,weekday,12.17277174
113,3,11,up,weekday,17.69051282
114,3,12,down,weekday,11.31172043
115,3,12,up,weekday,13.4325
116,3,13,down,weekday,13.83567568
117,3,13,up,weekday,10.835
118,3,14,down,weekday,13.56013423
119,3,14,up,weekday,8.218888889
120,3,15,down,weekday,13.67192982
121,3,15,up,weekday,11.18133333
122,3,16,down,weekday,12.4221978
123,3,16,up,weekday,11.90823529
124,3,17,down,weekday,13.31471366
125,3,17,up,weekday,15.94631579
126,3,18,down,weekday,13.08582822
127,3,18,up,weekday,11.17272727
128,3,19,down,weekday,14.54953704
129,3,19,up,weekday,13.705
130,3,20,down,weekday,13.01197183
131,3,20,up,weekday,8.283333333
132,3,21,down,weekday,12.95052632
133,3,21,up,weekday,11.31142857
134,3,22,down,weekday,13.35916667
135,3,22,up,weekday,13.86333333
136,3,23,down,weekday,16.138125
137,3,23,up,weekday,12.22
138,4,0,down,weekday,14.7759322
139,4,0,up,weekday,15.8
140,4,1,down,weekday,17.82190476
141,4,2,down,weekday,17.53285714
142,4,2,up,weekday,35.3
143,4,3,down,weekday,14.92454545
144,4,3,up,weekday,43.82
145,4,4,down,weekday,13.71888889
146,4,4,up,weekday,15.81
147,4,5,down,weekday,15.485
148,4,5,up,weekday,24.02
149,4,6,down,weekday,13.76684211
150,4,6,up,weekday,16.23
151,4,7,down,weekday,20.84141304
152,4,7,up,weekday,9.0025
153,4,8,down,weekday,19.319375
154,4,8,up,weekday,18.77666667
155,4,9,down,weekday,17.76914439
156,4,9,up,weekday,14.763125
157,4,10,down,weekday,18.72224719
158,4,10,up,weekday,11.23571429
159,4,11,down,weekday,16.19695431
160,4,11,up,weekday,13.28448276
