,floor,hour,direction,week,avgWait_weekday
233,5,0,down,weekend,0
56,5,1,down,weekday,0
223,3,1,up,weekend,0
234,5,1,down,weekend,0
32,3,2,down,weekday,0
33,3,2,up,weekday,0
41,4,2,up,weekday,0
224,3,2,up,weekend,0
227,4,2,up,weekend,0
0,1,4,down,weekday,0
1,1,4,up,weekday,0
73,6,4,down,weekday,0
207,1,4,up,weekend,0
246,6,4,down,weekend,0
2,1,5,up,weekday,0
3,1,5,down,weekday,0
194,B4,5,up,weekday,17.73
208,1,5,down,weekend,0
209,1,5,up,weekend,0
4,1,6,up,weekday,0
5,1,6,down,weekday,0
42,4,6,down,weekday,0
57,5,6,down,weekday,0
58,5,6,up,weekday,0
139,15,6,down,weekday,2.81
142,B1,6,up,weekday,250.235
143,B1,6,down,weekday,21.77
173,B3,6,up,weekday,183.12
174,B3,6,down,weekday,39.44
195,B4,6,up,weekday,22.54428571
210,1,6,down,weekend,0
235,5,6,up,weekend,0
287,B1,6,up,weekend,1.35
309,B3,6,down,weekend,10.88
318,B4,6,up,weekend,14.43
34,3,7,down,weekday,0
113,10,7,down,weekday,197.19
125,12,7,up,weekday,80.66
130,13,7,up,weekday,20.41
144,B1,7,down,weekday,1.36
145,B1,7,up,weekday,4.92
175,B3,7,down,weekday,20.44
176,B3,7,up,weekday,76.81
196,B4,7,up,weekday,43.41
288,B1,7,down,weekend,1.36
289,B1,7,up,weekend,1.37
319,B4,7,up,weekend,126.815
59,5,8,down,weekday,0
131,13,8,down,weekday,100.67
132,13,8,up,weekday,74.79
140,15,8,down,weekday,4.075
146,B1,8,up,weekday,2.717142857
147,B1,8,down,weekday,141.45
197,B4,8,up,weekday,59.9225
285,15,8,down,weekend,1.36
290,B1,8,down,weekend,1.42
291,B1,8,up,weekend,42.68
320,B4,8,up,weekend,141.37
6,1,9,up,weekday,0
27,2,9,down,weekday,0
43,4,9,up,weekday,0
60,5,9,down,weekday,0
148,B1,9,up,weekday,10.01
149,B1,9,down,weekday,2.72
177,B3,9,down,weekday,121.04
198,B4,9,up,weekday,89.65571429
281,14,9,down,weekend,2.71
292,B1,9,down,weekend,1.37
293,B1,9,up,weekend,371.3833333
321,B4,9,up,weekend,133.46
7,1,10,up,weekday,0
61,5,10,down,weekday,0
74,6,10,up,weekday,0
150,B1,10,up,weekday,23.11
151,B1,10,down,weekday,2.03
178,B3,10,down,weekday,14.91
199,B4,10,up,weekday,78.11875
236,5,10,up,weekend,0
253,7,10,up,weekend,0
282,14,10,up,weekend,25.8
294,B1,10,up,weekend,1.38
322,B4,10,up,weekend,152.695
8,1,11,down,weekday,0
9,1,11,up,weekday,0
44,4,11,down,weekday,0
62,5,11,down,weekday,0
85,7,11,down,weekday,0
97,8,11,up,weekday,0
114,10,11,down,weekday,17.77
118,11,11,down,weekday,8.16
119,11,11,up,weekday,159.16
126,12,11,down,weekday,1.3
133,13,11,up,weekday,1.39
141,15,11,down,weekday,1.34
152,B1,11,down,weekday,5.956666667
153,B1,11,up,weekday,23.785
179,B3,11,down,weekday,234.845
180,B3,11,up,weekday,112.052
211,1,11,up,weekend,0
237,5,11,up,weekend,0
271,11,11,down,weekend,181.28
272,11,11,up,weekend,13.57
310,B3,11,up,weekend,39.46
323,B4,11,up,weekend,1.273333333
10,1,12,down,weekday,0
11,1,12,up,weekday,0
35,3,12,down,weekday,0
98,8,12,down,weekday,0
154,B1,12,down,weekday,92.03285714
155,B1,12,up,weekday,200.4125
181,B3,12,down,weekday,40.215
182,B3,12,up,weekday,18.0625
200,B4,12,up,weekday,164.145
212,1,12,up,weekend,0
295,B1,12,up,weekend,5.105
296,B1,12,down,weekend,16.33
311,B3,12,down,weekend,145.42
312,B3,12,up,weekend,14.95
324,B4,12,up,weekend,83.93
12,1,13,down,weekday,0
13,1,13,up,weekday,0
36,3,13,up,weekday,0
75,6,13,down,weekday,0
76,6,13,up,weekday,0
156,B1,13,up,weekday,5.385
201,B4,13,up,weekday,139.4375
213,1,13,up,weekend,0
325,B4,13,up,weekend,145.495
14,1,14,down,weekday,0
15,1,14,up,weekday,0
63,5,14,up,weekday,0
77,6,14,up,weekday,0
86,7,14,up,weekday,0
99,8,14,up,weekday,0
157,B1,14,down,weekday,76.41333333
158,B1,14,up,weekday,1.898
