,floor,hour,direction,week,avgWait
0,1,0,down,weekday,1.585
1,1,1,down,weekday,1.588333333
2,1,2,down,weekday,1.554
3,1,3,down,weekday,1.626666667
4,1,4,down,weekday,1.623
5,1,5,down,weekday,1.627
6,1,6,down,weekday,1.686666667
7,1,7,down,weekday,4.346153846
8,1,8,down,weekday,7.335696203
9,1,9,down,weekday,3.976904762
10,1,10,down,weekday,3.14875
11,1,11,down,weekday,6.481891892
12,1,12,down,weekday,7.026363636
13,1,13,down,weekday,4.577368421
14,1,14,down,weekday,4.914666667
15,1,15,down,weekday,4.656315789
16,1,16,down,weekday,7.097733333
17,1,17,down,weekday,8.785238095
18,1,18,down,weekday,2.931428571
19,1,19,down,weekday,4.99
20,1,20,down,weekday,2.537
21,1,21,down,weekday,4.666190476
22,1,22,down,weekday,1.602
23,1,23,down,weekday,3.136666667
24,B1,1,up,weekday,1.5725
25,B1,2,up,weekday,1.585
26,B1,3,up,weekday,1.59
27,B1,4,up,weekday,1.606666667
28,B1,5,up,weekday,1.588888889
29,B1,6,up,weekday,1.662
30,B1,7,up,weekday,4.456
31,B1,8,up,weekday,9.992235294
32,B1,9,up,weekday,6.470322581
33,B1,10,up,weekday,2.005263158
34,B1,11,up,weekday,4.768421053
35,B1,12,up,weekday,8.082333333
36,B1,13,up,weekday,3.786470588
37,B1,14,up,weekday,7.63372549
38,B1,15,up,weekday,5.74862069
39,B1,16,up,weekday,8.931896552
40,B1,17,up,weekday,8.602105263
41,B1,18,up,weekday,4.226363636
42,B1,19,up,weekday,3.195
43,B1,20,up,weekday,1.576
44,B1,21,up,weekday,3.66375
45,B1,22,up,weekday,1.577142857
46,B1,23,up,weekday,2.553888889
47,1,0,down,weekend,1.6325
48,1,3,down,weekend,1.6
49,1,4,down,weekend,1.65
50,1,5,down,weekend,1.554
51,1,6,down,weekend,2.14
52,1,7,down,weekend,2.648181818
53,1,8,down,weekend,3.316666667
54,1,9,down,weekend,4.142941176
55,1,10,down,weekend,3.382666667
56,1,11,down,weekend,3.99
57,1,12,down,weekend,2.547222222
58,1,13,down,weekend,3.349
59,1,14,down,weekend,5.057894737
60,1,15,down,weekend,5.9465
61,1,16,down,weekend,5.213333333
62,1,17,down,weekend,3.6925
63,1,18,down,weekend,2.932857143
64,1,19,down,weekend,1.583333333
65,1,20,down,weekend,1.618
66,1,21,down,weekend,4.106111111
67,1,22,down,weekend,1.5875
68,1,23,down,weekend,3.563
69,B1,0,up,weekend,1.663333333
70,B1,3,up,weekend,1.61
71,B1,4,up,weekend,1.695
72,B1,5,up,weekend,1.58
73,B1,6,up,weekend,1.6
74,B1,7,up,weekend,2.473333333
75,B1,8,up,weekend,5.818378378
76,B1,9,up,weekend,3.512857143
77,B1,10,up,weekend,2.760666667
78,B1,11,up,weekend,5.416
79,B1,12,up,weekend,3.088181818
80,B1,13,up,weekend,4.367142857
81,B1,14,up,weekend,7.272
82,B1,15,up,weekend,8.040909091
83,B1,16,up,weekend,6.831875
84,B1,17,up,weekend,5.911818182
85,B1,18,up,weekend,2.992857143
86,B1,19,up,weekend,1.563333333
87,B1,20,up,weekend,1.6525
88,B1,21,up,weekend,4.522307692
89,B1,22,up,weekend,1.64
90,B1,23,up,weekend,1.59
