,floor,hour,direction,week,avgWait_weekday
0,B4,0,up,weekday,15.75304348
1,B4,1,up,weekday,13.256
2,B4,2,up,weekday,4.006363636
3,B4,3,up,weekday,8.892727273
4,B4,4,up,weekday,6.216666667
5,B4,5,up,weekday,5.677142857
6,B4,6,up,weekday,5.065342466
7,B4,7,up,weekday,9.895967742
8,B4,8,up,weekday,10.2215894
9,B4,9,up,weekday,11.10846535
10,B4,10,up,weekday,13.01443878
11,B4,11,up,weekday,13.19159624
12,B4,12,up,weekday,10.75183246
13,B4,13,up,weekday,12.22541463
14,B4,14,up,weekday,11.03203297
15,B4,15,up,weekday,11.55014218
16,B4,16,up,weekday,11.26432584
17,B4,17,up,weekday,10.94445313
18,B4,18,up,weekday,11.95637584
19,B4,19,up,weekday,13.32544828
20,B4,20,up,weekday,11.40865169
21,B4,21,up,weekday,8.239761905
22,B4,22,up,weekday,3.155892857
23,B4,23,up,weekday,9.845625
24,B4,0,up,weekend,12.57555556
25,B4,1,up,weekend,9.471428571
26,B4,2,up,weekend,15.285
27,B4,3,up,weekend,1.37
28,B4,4,up,weekend,1.66
29,B4,5,up,weekend,1.195
30,B4,6,up,weekend,3.412
31,B4,7,up,weekend,4.3072
32,B4,8,up,weekend,9.904473684
33,B4,9,up,weekend,11.39275362
34,B4,10,up,weekend,9.8962
35,B4,11,up,weekend,11.10023529
36,B4,12,up,weekend,10.72306818
37,B4,13,up,weekend,9.781630435
38,B4,14,up,weekend,9.721010101
39,B4,15,up,weekend,12.89516484
40,B4,16,up,weekend,12.88784091
41,B4,17,up,weekend,10.4185
42,B4,18,up,weekend,16.70769231
43,B4,19,up,weekend,15.45566667
44,B4,20,up,weekend,12.814
45,B4,21,up,weekend,12.1224
46,B4,22,up,weekend,7.061
47,B4,23,up,weekend,12.89047619
