,floor,hour,direction,week,avgWait
0,1,0,up,weekday,22.28982857
1,1,1,up,weekday,23.06017699
2,1,2,up,weekday,23.97
3,1,3,up,weekday,22.38230769
4,1,4,up,weekday,10.55333333
5,1,5,up,weekday,9.951666667
6,1,6,up,weekday,5.882166667
7,1,7,up,weekday,16.27175182
8,1,8,up,weekday,17.16454082
9,1,9,up,weekday,15.03789216
10,1,10,up,weekday,12.99259494
11,1,11,up,weekday,13.43729592
12,1,12,up,weekday,14.33454955
13,1,13,up,weekday,14.56755459
14,1,14,up,weekday,14.53701754
15,1,15,up,weekday,14.49848101
16,1,16,up,weekday,14.37553571
17,1,17,up,weekday,19.96963235
18,1,18,up,weekday,16.96240964
19,1,19,up,weekday,17.87558952
20,1,20,up,weekday,20.31438053
21,1,21,up,weekday,20.90933071
22,1,22,up,weekday,17.0017619
23,1,23,up,weekday,17.43643411
24,6,0,down,weekday,20.393
25,6,0,up,weekday,16.48611111
26,6,1,down,weekday,14.91166667
27,6,1,up,weekday,19.59159091
28,6,2,up,weekday,16.70714286
29,6,2,down,weekday,6.065
30,6,3,up,weekday,15.359
31,6,4,up,weekday,15.56071429
32,6,5,up,weekday,9.56
33,6,6,down,weekday,23.63636364
34,6,6,up,weekday,20.82026316
35,6,7,down,weekday,20.4475
36,6,7,up,weekday,15.19783784
37,6,8,down,weekday,22.57793651
38,6,8,up,weekday,18.52363636
39,6,9,down,weekday,17.96952381
40,6,9,up,weekday,20.15442105
41,6,10,down,weekday,20.75733333
42,6,10,up,weekday,16.90697368
43,6,11,down,weekday,20.09145161
44,6,11,up,weekday,18.0202
45,6,12,down,weekday,20.40657143
46,6,12,up,weekday,15.674
47,6,13,up,weekday,19.99566265
48,6,13,down,weekday,15.525625
49,6,14,down,weekday,25.51964286
50,6,14,up,weekday,21.92692308
51,6,15,up,weekday,14.67942857
52,6,15,down,weekday,16.73033333
53,6,16,down,weekday,18.98767123
54,6,16,up,weekday,19.32668966
55,6,17,down,weekday,23.64924528
56,6,17,up,weekday,21.36772277
57,6,18,down,weekday,19.5221875
58,6,18,up,weekday,21.00776316
59,6,19,down,weekday,25.08703704
60,6,19,up,weekday,19.26456522
61,6,20,down,weekday,30.455
62,6,20,up,weekday,17.24727273
63,6,21,up,weekday,18.03189474
64,6,21,down,weekday,29.28142857
65,6,22,down,weekday,9.543333333
66,6,22,up,weekday,16.42
67,6,23,down,weekday,32.305
68,6,23,up,weekday,19.57888889
69,7,0,down,weekday,16.70636364
70,7,0,up,weekday,11.75
71,7,1,up,weekday,15.48866667
72,7,1,down,weekday,14.78
73,7,2,down,weekday,10
74,7,2,up,weekday,17.5725
75,7,3,up,weekday,5.41
76,7,4,up,weekday,20.51
77,7,4,down,weekday,14.01
78,7,5,down,weekday,19.635
79,7,5,up,weekday,18.407
80,7,6,down,weekday,23.2612931
81,7,6,up,weekday,27.04473684
82,7,7,down,weekday,26.2520339
83,7,7,up,weekday,22.2
84,7,8,down,weekday,19.47875
85,7,8,up,weekday,18.30125
86,7,9,down,weekday,19.885
87,7,9,up,weekday,20.11615385
88,7,10,down,weekday,16.83326087
89,7,10,up,weekday,14.4875
90,7,11,down,weekday,19.7003125
91,7,11,up,weekday,9.385
92,7,12,down,weekday,20.32816667
93,7,12,up,weekday,22.33666667
94,7,13,down,weekday,20.1082
95,7,13,up,weekday,16.3675
96,7,14,down,weekday,20.80368421
97,7,14,up,weekday,17.76888889
98,7,15,down,weekday,22.21918367
99,7,15,up,weekday,14.536
100,7,16,down,weekday,20.9518
101,7,16,up,weekday,12.02
102,7,17,down,weekday,27.70372549
103,7,17,up,weekday,12.54166667
104,7,18,down,weekday,27.32844444
105,7,18,up,weekday,20.66333333
106,7,19,down,weekday,26.13607143
107,7,19,up,weekday,18.52333333
108,7,20,down,weekday,21.81166667
109,7,20,up,weekday,9.818
110,7,21,down,weekday,21.8435
111,7,21,up,weekday,15.64333333
112,7,22,down,weekday,21.51837209
113,7,22,up,weekday,16.605
114,7,23,down,weekday,20.91676471
115,7,23,up,weekday,11.42
116,8,0,down,weekday,9.77625
117,8,0,up,weekday,23.965
118,8,1,down,weekday,13.004
119,8,1,up,weekday,10.04928571
120,8,2,down,weekday,14.50222222
