"","hour","floor","week","count"
"1","0","01","weekday",933
"2","1","01","weekday",507
"3","2","01","weekday",263
"4","3","01","weekday",200
"5","4","01","weekday",171
"6","5","01","weekday",385
"7","6","01","weekday",971
"8","7","01","weekday",1161
"9","8","01","weekday",1351
"10","9","01","weekday",1408
"11","10","01","weekday",1319
"12","11","01","weekday",1242
"13","12","01","weekday",1318
"14","13","01","weekday",1377
"15","14","01","weekday",1368
"16","15","01","weekday",1449
"17","16","01","weekday",1469
"18","17","01","weekday",1527
"19","18","01","weekday",1466
"20","19","01","weekday",1511
"21","20","01","weekday",1783
"22","21","01","weekday",1744
"23","22","01","weekday",1299
"24","23","01","weekday",913
"25","0","02","weekday",10
"26","1","02","weekday",9
"27","2","02","weekday",3
"28","3","02","weekday",7
"29","4","02","weekday",7
"30","5","02","weekday",4
"31","6","02","weekday",95
"32","7","02","weekday",245
"33","8","02","weekday",343
"34","9","02","weekday",355
"35","10","02","weekday",299
"36","11","02","weekday",295
"37","12","02","weekday",258
"38","13","02","weekday",344
"39","14","02","weekday",318
"40","15","02","weekday",306
"41","16","02","weekday",310
"42","17","02","weekday",162
"43","18","02","weekday",71
"44","19","02","weekday",46
"45","20","02","weekday",30
"46","21","02","weekday",25
"47","22","02","weekday",36
"48","23","02","weekday",11
"49","0","04","weekday",44
"50","1","04","weekday",34
"51","2","04","weekday",35
"52","3","04","weekday",19
"53","4","04","weekday",12
"54","5","04","weekday",16
"55","6","04","weekday",246
"56","7","04","weekday",540
"57","8","04","weekday",622
"58","9","04","weekday",516
"59","10","04","weekday",554
"60","11","04","weekday",558
"61","12","04","weekday",526
"62","13","04","weekday",619
"63","14","04","weekday",634
"64","15","04","weekday",588
"65","16","04","weekday",510
"66","17","04","weekday",337
"67","18","04","weekday",354
"68","19","04","weekday",465
"69","20","04","weekday",216
"70","21","04","weekday",130
"71","22","04","weekday",168
"72","23","04","weekday",135
"73","0","08","weekday",55
"74","1","08","weekday",41
"75","2","08","weekday",26
"76","3","08","weekday",21
"77","4","08","weekday",17
"78","5","08","weekday",37
"79","6","08","weekday",460
"80","7","08","weekday",837
"81","8","08","weekday",767
"82","9","08","weekday",744
"83","10","08","weekday",688
"84","11","08","weekday",699
"85","12","08","weekday",736
"86","13","08","weekday",754
"87","14","08","weekday",736
"88","15","08","weekday",727
"89","16","08","weekday",675
"90","17","08","weekday",703
"91","18","08","weekday",698
"92","19","08","weekday",672
"93","20","08","weekday",532
"94","21","08","weekday",425
"95","22","08","weekday",263
"96","23","08","weekday",154
"97","0","09","weekday",37
"98","1","09","weekday",19
"99","2","09","weekday",13
"100","3","09","weekday",11
"101","4","09","weekday",7
"102","5","09","weekday",25
"103","6","09","weekday",195
"104","7","09","weekday",308
"105","8","09","weekday",275
"106","9","09","weekday",262
"107","10","09","weekday",249
"108","11","09","weekday",266
"109","12","09","weekday",267
"110","13","09","weekday",285
"111","14","09","weekday",310
"112","15","09","weekday",289
"113","16","09","weekday",260
"114","17","09","weekday",252
"115","18","09","weekday",299
"116","19","09","weekday",259
"117","20","09","weekday",244
"118","21","09","weekday",168
"119","22","09","weekday",120
"120","23","09","weekday",67
"121","0","10","weekday",0
"122","1","10","weekday",2
"123","2","10","weekday",1
"124","3","10","weekday",3
"125","4","10","weekday",0
"126","5","10","weekday",1
"127","6","10","weekday",18
"128","7","10","weekday",227
"129","8","10","weekday",156
"130","9","10","weekday",98
"131","10","10","weekday",127
"132","11","10","weekday",147
"133","12","10","weekday",119
"134","13","10","weekday",130
"135","14","10","weekday",153
"136","15","10","weekday",101
"137","16","10","weekday",115
"138","17","10","weekday",62
"139","18","10","weekday",37
"140","19","10","weekday",14
"141","20","10","weekday",15
"142","21","10","weekday",6
"143","22","10","weekday",9
"144","23","10","weekday",1
"145","0","11","weekday",30
"146","1","11","weekday",18
"147","2","11","weekday",21
"148","3","11","weekday",14
"149","4","11","weekday",13
"150","5","11","weekday",25
"151","6","11","weekday",155
"152","7","11","weekday",287
"153","8","11","weekday",269
"154","9","11","weekday",258
"155","10","11","weekday",231
"156","11","11","weekday",227
"157","12","11","weekday",253
"158","13","11","weekday",265
"159","14","11","weekday",266
"160","15","11","weekday",268
"161","16","11","weekday",252
"162","17","11","weekday",248
"163","18","11","weekday",273
"164","19","11","weekday",238
"165","20","11","weekday",219
"166","21","11","weekday",176
"167","22","11","weekday",130
"168","23","11","weekday",73
"169","0","12","weekday",39
"170","1","12","weekday",31
"171","2","12","weekday",22
"172","3","12","weekday",12
"173","4","12","weekday",10
"174","5","12","weekday",22
"175","6","12","weekday",160
"176","7","12","weekday",346
"177","8","12","weekday",269
"178","9","12","weekday",292
"179","10","12","weekday",269
"180","11","12","weekday",227
"181","12","12","weekday",263
"182","13","12","weekday",263
"183","14","12","weekday",267
"184","15","12","weekday",264
"185","16","12","weekday",229
"186","17","12","weekday",258
"187","18","12","weekday",294
"188","19","12","weekday",309
"189","20","12","weekday",241
"190","21","12","weekday",188
"191","22","12","weekday",132
"192","23","12","weekday",89
"193","0","13","weekday",39
"194","1","13","weekday",23
"195","2","13","weekday",7
"196","3","13","weekday",13
"197","4","13","weekday",3
"198","5","13","weekday",34
"199","6","13","weekday",184
"200","7","13","weekday",315
"201","8","13","weekday",285
"202","9","13","weekday",266
"203","10","13","weekday",242
"204","11","13","weekday",261
"205","12","13","weekday",269
"206","13","13","weekday",276
"207","14","13","weekday",246
"208","15","13","weekday",272
"209","16","13","weekday",260
"210","17","13","weekday",252
"211","18","13","weekday",284
"212","19","13","weekday",263
"213","20","13","weekday",242
"214","21","13","weekday",213
"215","22","13","weekday",136
"216","23","13","weekday",130
"217","0","14","weekday",27
"218","1","14","weekday",22
"219","2","14","weekday",9
"220","3","14","weekday",14
"221","4","14","weekday",11
"222","5","14","weekday",30
"223","6","14","weekday",201
"224","7","14","weekday",289
"225","8","14","weekday",260
"226","9","14","weekday",254
"227","10","14","weekday",246
"228","11","14","weekday",240
"229","12","14","weekday",260
"230","13","14","weekday",274
"231","14","14","weekday",259
"232","15","14","weekday",253
"233","16","14","weekday",245
"234","17","14","weekday",243
"235","18","14","weekday",267
"236","19","14","weekday",247
"237","20","14","weekday",207
"238","21","14","weekday",156
"239","22","14","weekday",160
"240","23","14","weekday",60
"241","0","15","weekday",37
"242","1","15","weekday",10
"243","2","15","weekday",6
"244","3","15","weekday",7
"245","4","15","weekday",11
"246","5","15","weekday",27
"247","6","15","weekday",93
"248","7","15","weekday",273
"249","8","15","weekday",243
"250","9","15","weekday",226
"251","10","15","weekday",223
"252","11","15","weekday",228
"253","12","15","weekday",255
"254","13","15","weekday",248
"255","14","15","weekday",235
"256","15","15","weekday",233
"257","16","15","weekday",212
"258","17","15","weekday",222
"259","18","15","weekday",207
"260","19","15","weekday",225
"261","20","15","weekday",258
"262","21","15","weekday",190
"263","22","15","weekday",104
"264","23","15","weekday",90
"265","0","B1","weekday",125
"266","1","B1","weekday",103
"267","2","B1","weekday",50
"268","3","B1","weekday",39
"269","4","B1","weekday",20
"270","5","B1","weekday",60
"271","6","B1","weekday",598
"272","7","B1","weekday",931
"273","8","B1","weekday",929
"274","9","B1","weekday",880
"275","10","B1","weekday",803
"276","11","B1","weekday",1018
"277","12","B1","weekday",1126
"278","13","B1","weekday",961
"279","14","B1","weekday",870
"280","15","B1","weekday",861
"281","16","B1","weekday",956
"282","17","B1","weekday",1102
"283","18","B1","weekday",1086
"284","19","B1","weekday",1012
"285","20","B1","weekday",851
"286","21","B1","weekday",544
"287","22","B1","weekday",324
"288","23","B1","weekday",164
"289","0","03","weekday",46
"290","1","03","weekday",45
"291","2","03","weekday",27
"292","3","03","weekday",24
"293","4","03","weekday",11
"294","5","03","weekday",31
"295","6","03","weekday",126
"296","7","03","weekday",402
"297","8","03","weekday",395
"298","9","03","weekday",314
"299","10","03","weekday",356
"300","11","03","weekday",365
"301","12","03","weekday",318
"302","13","03","weekday",411
"303","14","03","weekday",412
"304","15","03","weekday",297
"305","16","03","weekday",284
"306","17","03","weekday",224
"307","18","03","weekday",237
"308","19","03","weekday",362
"309","20","03","weekday",191
"310","21","03","weekday",128
"311","22","03","weekday",173
"312","23","03","weekday",222
"313","0","05","weekday",41
"314","1","05","weekday",40
"315","2","05","weekday",30
"316","3","05","weekday",18
"317","4","05","weekday",7
"318","5","05","weekday",48
"319","6","05","weekday",268
"320","7","05","weekday",488
"321","8","05","weekday",373
"322","9","05","weekday",377
"323","10","05","weekday",394
"324","11","05","weekday",377
