"","hour","floor","week","count"
"1","0","01","weekday",339
"2","1","01","weekday",264
"3","2","01","weekday",241
"4","3","01","weekday",195
"5","4","01","weekday",190
"6","5","01","weekday",262
"7","6","01","weekday",594
"8","7","01","weekday",856
"9","8","01","weekday",1276
"10","9","01","weekday",1441
"11","10","01","weekday",1397
"12","11","01","weekday",1366
"13","12","01","weekday",1414
"14","13","01","weekday",1486
"15","14","01","weekday",1389
"16","15","01","weekday",1423
"17","16","01","weekday",1455
"18","17","01","weekday",1467
"19","18","01","weekday",1294
"20","19","01","weekday",1240
"21","20","01","weekday",1260
"22","21","01","weekday",1038
"23","22","01","weekday",943
"24","23","01","weekday",560
"25","0","02","weekday",3
"26","1","02","weekday",7
"27","2","02","weekday",4
"28","3","02","weekday",12
"29","4","02","weekday",13
"30","5","02","weekday",27
"31","6","02","weekday",72
"32","7","02","weekday",174
"33","8","02","weekday",204
"34","9","02","weekday",240
"35","10","02","weekday",192
"36","11","02","weekday",171
"37","12","02","weekday",118
"38","13","02","weekday",164
"39","14","02","weekday",171
"40","15","02","weekday",169
"41","16","02","weekday",178
"42","17","02","weekday",86
"43","18","02","weekday",49
"44","19","02","weekday",19
"45","20","02","weekday",29
"46","21","02","weekday",21
"47","22","02","weekday",27
"48","23","02","weekday",10
"49","0","03","weekday",129
"50","1","03","weekday",141
"51","2","03","weekday",89
"52","3","03","weekday",94
"53","4","03","weekday",117
"54","5","03","weekday",133
"55","6","03","weekday",201
"56","7","03","weekday",325
"57","8","03","weekday",534
"58","9","03","weekday",497
"59","10","03","weekday",507
"60","11","03","weekday",541
"61","12","03","weekday",503
"62","13","03","weekday",505
"63","14","03","weekday",535
"64","15","03","weekday",531
"65","16","03","weekday",488
"66","17","03","weekday",267
"67","18","03","weekday",208
"68","19","03","weekday",280
"69","20","03","weekday",191
"70","21","03","weekday",205
"71","22","03","weekday",224
"72","23","03","weekday",169
"73","0","04","weekday",80
"74","1","04","weekday",93
"75","2","04","weekday",76
"76","3","04","weekday",56
"77","4","04","weekday",86
"78","5","04","weekday",33
"79","6","04","weekday",100
"80","7","04","weekday",663
"81","8","04","weekday",491
"82","9","04","weekday",492
"83","10","04","weekday",736
"84","11","04","weekday",834
"85","12","04","weekday",857
"86","13","04","weekday",774
"87","14","04","weekday",767
"88","15","04","weekday",803
"89","16","04","weekday",643
"90","17","04","weekday",487
"91","18","04","weekday",414
"92","19","04","weekday",396
"93","20","04","weekday",258
"94","21","04","weekday",205
"95","22","04","weekday",191
"96","23","04","weekday",100
"97","0","05","weekday",85
"98","1","05","weekday",76
"99","2","05","weekday",62
"100","3","05","weekday",44
"101","4","05","weekday",63
"102","5","05","weekday",54
"103","6","05","weekday",131
"104","7","05","weekday",460
"105","8","05","weekday",517
"106","9","05","weekday",706
"107","10","05","weekday",680
"108","11","05","weekday",522
"109","12","05","weekday",559
"110","13","05","weekday",581
"111","14","05","weekday",674
"112","15","05","weekday",567
"113","16","05","weekday",549
"114","17","05","weekday",389
"115","18","05","weekday",299
"116","19","05","weekday",288
"117","20","05","weekday",209
"118","21","05","weekday",147
"119","22","05","weekday",117
"120","23","05","weekday",80
"121","0","06","weekday",53
"122","1","06","weekday",39
"123","2","06","weekday",30
"124","3","06","weekday",23
"125","4","06","weekday",13
"126","5","06","weekday",22
"127","6","06","weekday",141
"128","7","06","weekday",415
"129","8","06","weekday",374
"130","9","06","weekday",446
"131","10","06","weekday",433
"132","11","06","weekday",519
"133","12","06","weekday",485
"134","13","06","weekday",498
"135","14","06","weekday",489
"136","15","06","weekday",431
"137","16","06","weekday",447
"138","17","06","weekday",446
"139","18","06","weekday",317
"140","19","06","weekday",288
"141","20","06","weekday",267
"142","21","06","weekday",159
"143","22","06","weekday",112
"144","23","06","weekday",88
"145","0","07","weekday",61
"146","1","07","weekday",43
"147","2","07","weekday",36
"148","3","07","weekday",18
"149","4","07","weekday",25
"150","5","07","weekday",38
"151","6","07","weekday",158
"152","7","07","weekday",289
"153","8","07","weekday",363
"154","9","07","weekday",365
"155","10","07","weekday",321
"156","11","07","weekday",425
"157","12","07","weekday",442
"158","13","07","weekday",438
"159","14","07","weekday",428
"160","15","07","weekday",461
"161","16","07","weekday",395
"162","17","07","weekday",390
"163","18","07","weekday",331
"164","19","07","weekday",235
"165","20","07","weekday",198
"166","21","07","weekday",151
"167","22","07","weekday",117
"168","23","07","weekday",69
"169","0","08","weekday",37
"170","1","08","weekday",22
"171","2","08","weekday",19
"172","3","08","weekday",9
"173","4","08","weekday",7
"174","5","08","weekday",16
"175","6","08","weekday",116
"176","7","08","weekday",402
"177","8","08","weekday",414
"178","9","08","weekday",473
"179","10","08","weekday",424
"180","11","08","weekday",477
"181","12","08","weekday",437
"182","13","08","weekday",431
"183","14","08","weekday",460
"184","15","08","weekday",405
"185","16","08","weekday",321
"186","17","08","weekday",292
"187","18","08","weekday",327
"188","19","08","weekday",255
"189","20","08","weekday",181
"190","21","08","weekday",117
"191","22","08","weekday",89
"192","23","08","weekday",82
"193","0","09","weekday",60
"194","1","09","weekday",50
"195","2","09","weekday",37
"196","3","09","weekday",27
"197","4","09","weekday",17
"198","5","09","weekday",38
"199","6","09","weekday",135
"200","7","09","weekday",445
"201","8","09","weekday",370
"202","9","09","weekday",356
"203","10","09","weekday",369
"204","11","09","weekday",433
"205","12","09","weekday",495
"206","13","09","weekday",442
"207","14","09","weekday",469
"208","15","09","weekday",433
"209","16","09","weekday",422
"210","17","09","weekday",463
"211","18","09","weekday",453
"212","19","09","weekday",344
"213","20","09","weekday",253
"214","21","09","weekday",161
"215","22","09","weekday",123
"216","23","09","weekday",68
"217","0","10","weekday",13
"218","1","10","weekday",11
"219","2","10","weekday",7
"220","3","10","weekday",11
"221","4","10","weekday",6
"222","5","10","weekday",4
"223","6","10","weekday",67
"224","7","10","weekday",300
"225","8","10","weekday",444
"226","9","10","weekday",311
"227","10","10","weekday",381
"228","11","10","weekday",470
"229","12","10","weekday",387
"230","13","10","weekday",372
"231","14","10","weekday",611
"232","15","10","weekday",478
"233","16","10","weekday",423
"234","17","10","weekday",211
"235","18","10","weekday",193
"236","19","10","weekday",159
"237","20","10","weekday",143
"238","21","10","weekday",175
"239","22","10","weekday",15
"240","23","10","weekday",15
"241","0","11","weekday",50
"242","1","11","weekday",46
"243","2","11","weekday",29
"244","3","11","weekday",17
"245","4","11","weekday",13
"246","5","11","weekday",29
"247","6","11","weekday",129
"248","7","11","weekday",457
"249","8","11","weekday",440
"250","9","11","weekday",431
"251","10","11","weekday",455
"252","11","11","weekday",500
"253","12","11","weekday",524
"254","13","11","weekday",542
"255","14","11","weekday",525
"256","15","11","weekday",521
"257","16","11","weekday",428
"258","17","11","weekday",478
"259","18","11","weekday",406
"260","19","11","weekday",389
"261","20","11","weekday",260
"262","21","11","weekday",169
"263","22","11","weekday",109
"264","23","11","weekday",81
"265","0","12","weekday",67
"266","1","12","weekday",40
"267","2","12","weekday",33
"268","3","12","weekday",25
"269","4","12","weekday",16
"270","5","12","weekday",44
"271","6","12","weekday",88
"272","7","12","weekday",432
"273","8","12","weekday",334
"274","9","12","weekday",362
"275","10","12","weekday",386
"276","11","12","weekday",424
"277","12","12","weekday",455
"278","13","12","weekday",491
"279","14","12","weekday",515
"280","15","12","weekday",486
"281","16","12","weekday",416
"282","17","12","weekday",399
"283","18","12","weekday",378
"284","19","12","weekday",320
"285","20","12","weekday",223
"286","21","12","weekday",172
"287","22","12","weekday",125
"288","23","12","weekday",91
"289","0","13","weekday",54
"290","1","13","weekday",36
"291","2","13","weekday",26
"292","3","13","weekday",18
"293","4","13","weekday",15
"294","5","13","weekday",31
"295","6","13","weekday",98
"296","7","13","weekday",369
"297","8","13","weekday",446
"298","9","13","weekday",380
"299","10","13","weekday",404
"300","11","13","weekday",392
"301","12","13","weekday",387
"302","13","13","weekday",431
"303","14","13","weekday",477
"304","15","13","weekday",419
"305","16","13","weekday",341
"306","17","13","weekday",375
"307","18","13","weekday",374
"308","19","13","weekday",311
"309","20","13","weekday",222
"310","21","13","weekday",158
"311","22","13","weekday",109
"312","23","13","weekday",63
"313","0","14","weekday",48
"314","1","14","weekday",29
"315","2","14","weekday",22
"316","3","14","weekday",21
"317","4","14","weekday",15
"318","5","14","weekday",37
"319","6","14","weekday",101
"320","7","14","weekday",246
"321","8","14","weekday",398
"322","9","14","weekday",388
"323","10","14","weekday",346
"324","11","14","weekday",380
"325","12","14","weekday",373
"326","13","14","weekday",376
"327","14","14","weekday",421
"328","15","14","weekday",392
"329","16","14","weekday",341
"330","17","14","weekday",339
"331","18","14","weekday",343
"332","19","14","weekday",285
"333","20","14","weekday",214
"334","21","14","weekday",121
"335","22","14","weekday",116
"336","23","14","weekday",60
"337","0","15","weekday",33
"338","1","15","weekday",22
"339","2","15","weekday",23
"340","3","15","weekday",11
"341","4","15","weekday",15
"342","5","15","weekday",18
"343","6","15","weekday",86
"344","7","15","weekday",319
"345","8","15","weekday",305
"346","9","15","weekday",240
"347","10","15","weekday",270
"348","11","15","weekday",343
"349","12","15","weekday",324
"350","13","15","weekday",285
"351","14","15","weekday",288
"352","15","15","weekday",308
"353","16","15","weekday",301
"354","17","15","weekday",330
"355","18","15","weekday",306
"356","19","15","weekday",255
"357","20","15","weekday",186
"358","21","15","weekday",130
"359","22","15","weekday",87
"360","23","15","weekday",53
"361","0","B1","weekday",73
"362","1","B1","weekday",67
"363","2","B1","weekday",68
"364","3","B1","weekday",56
"365","4","B1","weekday",59
"366","5","B1","weekday",85
"367","6","B1","weekday",606
"368","7","B1","weekday",807
"369","8","B1","weekday",600
"370","9","B1","weekday",578
"371","10","B1","weekday",614
"372","11","B1","weekday",744
"373","12","B1","weekday",863
"374","13","B1","weekday",693
"375","14","B1","weekday",505
"376","15","B1","weekday",619
"377","16","B1","weekday",769
"378","17","B1","weekday",933
"379","18","B1","weekday",871
"380","19","B1","weekday",799
"381","20","B1","weekday",537
"382","21","B1","weekday",344
"383","22","B1","weekday",209
"384","23","B1","weekday",152
"385","0","B3","weekday",33
"386","1","B3","weekday",19
"387","2","B3","weekday",33
"388","3","B3","weekday",17
"389","4","B3","weekday",20
"390","5","B3","weekday",114
"391","6","B3","weekday",521
"392","7","B3","weekday",221
"393","8","B3","weekday",240
"394","9","B3","weekday",256
"395","10","B3","weekday",191
"396","11","B3","weekday",214
"397","12","B3","weekday",154
"398","13","B3","weekday",193
"399","14","B3","weekday",265
"400","15","B3","weekday",272
"401","16","B3","weekday",349
"402","17","B3","weekday",261
"403","18","B3","weekday",110
"404","19","B3","weekday",120
"405","20","B3","weekday",120
"406","21","B3","weekday",103
"407","22","B3","weekday",105
"408","23","B3","weekday",44
"409","0","B4","weekday",127
"410","1","B4","weekday",116
"411","2","B4","weekday",122
"412","3","B4","weekday",82
"413","4","B4","weekday",86
"414","5","B4","weekday",100
"415","6","B4","weekday",393
"416","7","B4","weekday",554
"417","8","B4","weekday",769
"418","9","B4","weekday",818
"419","10","B4","weekday",817
"420","11","B4","weekday",799
"421","12","B4","weekday",862
"422","13","B4","weekday",844
"423","14","B4","weekday",788
"424","15","B4","weekday",789
"425","16","B4","weekday",735
"426","17","B4","weekday",635
"427","18","B4","weekday",467
"428","19","B4","weekday",355
"429","20","B4","weekday",226
"430","21","B4","weekday",185
"431","22","B4","weekday",337
"432","23","B4","weekday",218
"433","0","01","weekend",121
"434","1","01","weekend",82
"435","2","01","weekend",92
"436","3","01","weekend",69
"437","4","01","weekend",63
"438","5","01","weekend",73
"439","6","01","weekend",164
"440","7","01","weekend",280
"441","8","01","weekend",341
"442","9","01","weekend",371
"443","10","01","weekend",370
"444","11","01","weekend",377
"445","12","01","weekend",402
"446","13","01","weekend",411
"447","14","01","weekend",402
"448","15","01","weekend",421
"449","16","01","weekend",460
"450","17","01","weekend",453
"451","18","01","weekend",405
"452","19","01","weekend",389
"453","20","01","weekend",421
"454","21","01","weekend",286
"455","22","01","weekend",291
"456","23","01","weekend",161
"457","0","02","weekend",2
"458","1","02","weekend",3
"459","2","02","weekend",1
"460","3","02","weekend",5
"461","4","02","weekend",2
"462","5","02","weekend",8
"463","6","02","weekend",22
"464","7","02","weekend",14
"465","8","02","weekend",14
"466","9","02","weekend",14
"467","10","02","weekend",13
"468","11","02","weekend",4
"469","12","02","weekend",10
"470","13","02","weekend",16
"471","14","02","weekend",13
"472","15","02","weekend",12
"473","16","02","weekend",12
"474","17","02","weekend",7
"475","18","02","weekend",3
"476","19","02","weekend",6
"477","20","02","weekend",4
"478","21","02","weekend",6
"479","22","02","weekend",6
"480","23","02","weekend",6
"481","0","03","weekend",45
"482","1","03","weekend",48
"483","2","03","weekend",36
"484","3","03","weekend",31
"485","4","03","weekend",42
"486","5","03","weekend",44
"487","6","03","weekend",60
"488","7","03","weekend",71
"489","8","03","weekend",100
"490","9","03","weekend",106
"491","10","03","weekend",120
"492","11","03","weekend",118
"493","12","03","weekend",97
"494","13","03","weekend",114
"495","14","03","weekend",126
"496","15","03","weekend",115
"497","16","03","weekend",106
"498","17","03","weekend",65
"499","18","03","weekend",66
"500","19","03","weekend",87
"501","20","03","weekend",66
"502","21","03","weekend",56
"503","22","03","weekend",55
"504","23","03","weekend",57
"505","0","04","weekend",26
"506","1","04","weekend",31
"507","2","04","weekend",26
"508","3","04","weekend",18
"509","4","04","weekend",36
"510","5","04","weekend",12
"511","6","04","weekend",27
"512","7","04","weekend",91
"513","8","04","weekend",88
"514","9","04","weekend",71
"515","10","04","weekend",117
"516","11","04","weekend",137
"517","12","04","weekend",108
"518","13","04","weekend",115
"519","14","04","weekend",120
"520","15","04","weekend",93
"521","16","04","weekend",65
"522","17","04","weekend",74
"523","18","04","weekend",50
"524","19","04","weekend",68
"525","20","04","weekend",32
"526","21","04","weekend",34
"527","22","04","weekend",33
"528","23","04","weekend",34
"529","0","05","weekend",26
"530","1","05","weekend",26
"531","2","05","weekend",11
"532","3","05","weekend",20
"533","4","05","weekend",23
"534","5","05","weekend",14
"535","6","05","weekend",39
"536","7","05","weekend",60
