"","hour","floor","week","count"
"1","0","01","weekday",706
"2","1","01","weekday",434
"3","2","01","weekday",196
"4","3","01","weekday",148
"5","4","01","weekday",137
"6","5","01","weekday",340
"7","6","01","weekday",722
"8","7","01","weekday",804
"9","8","01","weekday",964
"10","9","01","weekday",876
"11","10","01","weekday",805
"12","11","01","weekday",772
"13","12","01","weekday",810
"14","13","01","weekday",837
"15","14","01","weekday",914
"16","15","01","weekday",945
"17","16","01","weekday",977
"18","17","01","weekday",978
"19","18","01","weekday",974
"20","19","01","weekday",1009
"21","20","01","weekday",1265
"22","21","01","weekday",1358
"23","22","01","weekday",1168
"24","23","01","weekday",815
"25","0","02","weekday",0
"26","1","02","weekday",1
"27","2","02","weekday",2
"28","3","02","weekday",3
"29","4","02","weekday",3
"30","5","02","weekday",0
"31","6","02","weekday",11
"32","7","02","weekday",97
"33","8","02","weekday",194
"34","9","02","weekday",176
"35","10","02","weekday",165
"36","11","02","weekday",215
"37","12","02","weekday",159
"38","13","02","weekday",169
"39","14","02","weekday",133
"40","15","02","weekday",144
"41","16","02","weekday",185
"42","17","02","weekday",99
"43","18","02","weekday",44
"44","19","02","weekday",37
"45","20","02","weekday",15
"46","21","02","weekday",13
"47","22","02","weekday",5
"48","23","02","weekday",1
"49","0","03","weekday",36
"50","1","03","weekday",29
"51","2","03","weekday",23
"52","3","03","weekday",18
"53","4","03","weekday",29
"54","5","03","weekday",29
"55","6","03","weekday",503
"56","7","03","weekday",428
"57","8","03","weekday",390
"58","9","03","weekday",322
"59","10","03","weekday",429
"60","11","03","weekday",448
"61","12","03","weekday",430
"62","13","03","weekday",402
"63","14","03","weekday",498
"64","15","03","weekday",410
"65","16","03","weekday",388
"66","17","03","weekday",386
"67","18","03","weekday",337
"68","19","03","weekday",411
"69","20","03","weekday",205
"70","21","03","weekday",190
"71","22","03","weekday",176
"72","23","03","weekday",150
"73","0","04","weekday",47
"74","1","04","weekday",21
"75","2","04","weekday",23
"76","3","04","weekday",19
"77","4","04","weekday",13
"78","5","04","weekday",15
"79","6","04","weekday",131
"80","7","04","weekday",374
"81","8","04","weekday",444
"82","9","04","weekday",400
"83","10","04","weekday",508
"84","11","04","weekday",501
"85","12","04","weekday",367
"86","13","04","weekday",500
"87","14","04","weekday",452
"88","15","04","weekday",451
"89","16","04","weekday",282
"90","17","04","weekday",228
"91","18","04","weekday",201
"92","19","04","weekday",443
"93","20","04","weekday",154
"94","21","04","weekday",72
"95","22","04","weekday",85
"96","23","04","weekday",211
"97","0","05","weekday",36
"98","1","05","weekday",30
"99","2","05","weekday",16
"100","3","05","weekday",23
"101","4","05","weekday",18
"102","5","05","weekday",16
"103","6","05","weekday",136
"104","7","05","weekday",326
"105","8","05","weekday",279
"106","9","05","weekday",365
"107","10","05","weekday",320
"108","11","05","weekday",301
"109","12","05","weekday",327
"110","13","05","weekday",320
"111","14","05","weekday",348
"112","15","05","weekday",318
"113","16","05","weekday",296
"114","17","05","weekday",284
"115","18","05","weekday",271
"116","19","05","weekday",328
"117","20","05","weekday",234
"118","21","05","weekday",174
"119","22","05","weekday",127
"120","23","05","weekday",85
"121","0","06","weekday",75
"122","1","06","weekday",79
"123","2","06","weekday",32
"124","3","06","weekday",18
"125","4","06","weekday",26
"126","5","06","weekday",78
"127","6","06","weekday",327
"128","7","06","weekday",490
"129","8","06","weekday",409
"130","9","06","weekday",462
"131","10","06","weekday",422
"132","11","06","weekday",442
"133","12","06","weekday",377
"134","13","06","weekday",387
"135","14","06","weekday",429
"136","15","06","weekday",427
"137","16","06","weekday",393
"138","17","06","weekday",448
"139","18","06","weekday",436
"140","19","06","weekday",429
"141","20","06","weekday",406
"142","21","06","weekday",351
"143","22","06","weekday",233
"144","23","06","weekday",161
"145","0","07","weekday",66
"146","1","07","weekday",33
"147","2","07","weekday",21
"148","3","07","weekday",17
"149","4","07","weekday",18
"150","5","07","weekday",53
"151","6","07","weekday",276
"152","7","07","weekday",448
"153","8","07","weekday",450
"154","9","07","weekday",450
"155","10","07","weekday",383
"156","11","07","weekday",465
"157","12","07","weekday",420
