"","hour","floor","week","count"
"1","0","01","weekday",262
"2","1","01","weekday",147
"3","2","01","weekday",117
"4","3","01","weekday",85
"5","4","01","weekday",89
"6","5","01","weekday",167
"7","6","01","weekday",444
"8","7","01","weekday",572
"9","8","01","weekday",799
"10","9","01","weekday",833
"11","10","01","weekday",904
"12","11","01","weekday",774
"13","12","01","weekday",1096
"14","13","01","weekday",807
"15","14","01","weekday",1061
"16","15","01","weekday",1078
"17","16","01","weekday",986
"18","17","01","weekday",821
"19","18","01","weekday",1142
"20","19","01","weekday",1079
"21","20","01","weekday",1259
"22","21","01","weekday",882
"23","22","01","weekday",584
"24","23","01","weekday",315
"25","0","02","weekday",0
"26","1","02","weekday",0
"27","2","02","weekday",0
"28","3","02","weekday",1
"29","4","02","weekday",0
"30","5","02","weekday",1
"31","6","02","weekday",17
"32","7","02","weekday",49
"33","8","02","weekday",83
"34","9","02","weekday",124
"35","10","02","weekday",104
"36","11","02","weekday",96
"37","12","02","weekday",92
"38","13","02","weekday",92
"39","14","02","weekday",96
"40","15","02","weekday",116
"41","16","02","weekday",88
"42","17","02","weekday",45
"43","18","02","weekday",24
"44","19","02","weekday",16
"45","20","02","weekday",8
"46","21","02","weekday",4
"47","22","02","weekday",7
"48","23","02","weekday",3
"49","0","03","weekday",28
"50","1","03","weekday",25
"51","2","03","weekday",47
"52","3","03","weekday",40
"53","4","03","weekday",22
"54","5","03","weekday",29
"55","6","03","weekday",247
"56","7","03","weekday",678
"57","8","03","weekday",411
"58","9","03","weekday",282
"59","10","03","weekday",331
"60","11","03","weekday",390
"61","12","03","weekday",821
"62","13","03","weekday",528
"63","14","03","weekday",397
"64","15","03","weekday",334
"65","16","03","weekday",401
"66","17","03","weekday",607
"67","18","03","weekday",449
"68","19","03","weekday",301
"69","20","03","weekday",205
"70","21","03","weekday",167
"71","22","03","weekday",200
"72","23","03","weekday",113
"73","0","04","weekday",52
"74","1","04","weekday",53
"75","2","04","weekday",44
"76","3","04","weekday",43
"77","4","04","weekday",55
"78","5","04","weekday",45
"79","6","04","weekday",99
"80","7","04","weekday",383
"81","8","04","weekday",412
"82","9","04","weekday",437
"83","10","04","weekday",484
"84","11","04","weekday",548
"85","12","04","weekday",521
"86","13","04","weekday",542
"87","14","04","weekday",486
"88","15","04","weekday",462
"89","16","04","weekday",336
"90","17","04","weekday",290
"91","18","04","weekday",182
"92","19","04","weekday",257
"93","20","04","weekday",132
"94","21","04","weekday",118
"95","22","04","weekday",87
"96","23","04","weekday",95
"97","0","05","weekday",29
"98","1","05","weekday",27
"99","2","05","weekday",19
"100","3","05","weekday",17
"101","4","05","weekday",19
"102","5","05","weekday",20
"103","6","05","weekday",95
"104","7","05","weekday",267
"105","8","05","weekday",305
"106","9","05","weekday",378
"107","10","05","weekday",254
"108","11","05","weekday",289
"109","12","05","weekday",376
"110","13","05","weekday",337
"111","14","05","weekday",326
"112","15","05","weekday",350
"113","16","05","weekday",244
"114","17","05","weekday",311
"115","18","05","weekday",321
"116","19","05","weekday",234
"117","20","05","weekday",157
"118","21","05","weekday",108
"119","22","05","weekday",98
"120","23","05","weekday",55
"121","0","06","weekday",79
"122","1","06","weekday",41
"123","2","06","weekday",22
"124","3","06","weekday",15
"125","4","06","weekday",13
"126","5","06","weekday",18
"127","6","06","weekday",135
"128","7","06","weekday",387
"129","8","06","weekday",318
"130","9","06","weekday",372
"131","10","06","weekday",335
"132","11","06","weekday",326
"133","12","06","weekday",464
