"","hour","floor","week","count"
"1","0","01","weekday",45
"2","1","01","weekday",19
"3","2","01","weekday",9
"4","3","01","weekday",12
"5","4","01","weekday",9
"6","5","01","weekday",59
"7","6","01","weekday",221
"8","7","01","weekday",527
"9","8","01","weekday",694
"10","9","01","weekday",770
"11","10","01","weekday",763
"12","11","01","weekday",795
"13","12","01","weekday",779
"14","13","01","weekday",806
"15","14","01","weekday",874
"16","15","01","weekday",848
"17","16","01","weekday",951
"18","17","01","weekday",1216
"19","18","01","weekday",1213
"20","19","01","weekday",845
"21","20","01","weekday",513
"22","21","01","weekday",400
"23","22","01","weekday",307
"24","23","01","weekday",143
"25","0","02","weekday",0
"26","1","02","weekday",2
"27","2","02","weekday",2
"28","3","02","weekday",0
"29","4","02","weekday",3
"30","5","02","weekday",1
"31","6","02","weekday",14
"32","7","02","weekday",182
"33","8","02","weekday",256
"34","9","02","weekday",397
"35","10","02","weekday",439
"36","11","02","weekday",553
"37","12","02","weekday",429
"38","13","02","weekday",426
"39","14","02","weekday",453
"40","15","02","weekday",465
"41","16","02","weekday",462
"42","17","02","weekday",313
"43","18","02","weekday",142
"44","19","02","weekday",63
"45","20","02","weekday",21
"46","21","02","weekday",23
"47","22","02","weekday",2
"48","23","02","weekday",4
"49","0","03","weekday",7
"50","1","03","weekday",6
"51","2","03","weekday",5
"52","3","03","weekday",4
"53","4","03","weekday",14
"54","5","03","weekday",7
"55","6","03","weekday",73
"56","7","03","weekday",183
"57","8","03","weekday",313
"58","9","03","weekday",381
"59","10","03","weekday",315
"60","11","03","weekday",329
"61","12","03","weekday",268
"62","13","03","weekday",347
"63","14","03","weekday",416
"64","15","03","weekday",368
"65","16","03","weekday",377
"66","17","03","weekday",164
"67","18","03","weekday",90
"68","19","03","weekday",58
"69","20","03","weekday",49
"70","21","03","weekday",26
"71","22","03","weekday",24
"72","23","03","weekday",5
"73","0","04","weekday",12
"74","1","04","weekday",7
"75","2","04","weekday",5
"76","3","04","weekday",2
"77","4","04","weekday",15
"78","5","04","weekday",15
"79","6","04","weekday",33
"80","7","04","weekday",320
"81","8","04","weekday",331
"82","9","04","weekday",309
"83","10","04","weekday",280
"84","11","04","weekday",221
"85","12","04","weekday",204
"86","13","04","weekday",295
"87","14","04","weekday",300
"88","15","04","weekday",348
"89","16","04","weekday",228
"90","17","04","weekday",166
"91","18","04","weekday",125
"92","19","04","weekday",112
"93","20","04","weekday",47
"94","21","04","weekday",33
"95","22","04","weekday",50
"96","23","04","weekday",70
"97","0","05","weekday",11
"98","1","05","weekday",8
"99","2","05","weekday",11
"100","3","05","weekday",11
"101","4","05","weekday",4
"102","5","05","weekday",6
"103","6","05","weekday",67
"104","7","05","weekday",296
"105","8","05","weekday",291
"106","9","05","weekday",316
"107","10","05","weekday",286
"108","11","05","weekday",280
"109","12","05","weekday",331
"110","13","05","weekday",321
"111","14","05","weekday",289
"112","15","05","weekday",310
"113","16","05","weekday",286
"114","17","05","weekday",197
"115","18","05","weekday",177
"116","19","05","weekday",117
"117","20","05","weekday",51
"118","21","05","weekday",60
"119","22","05","weekday",45
"120","23","05","weekday",35
"121","0","06","weekday",193
"122","1","06","weekday",85
"123","2","06","weekday",42
"124","3","06","weekday",14
"125","4","06","weekday",9
"126","5","06","weekday",16
"127","6","06","weekday",284
"128","7","06","weekday",688
"129","8","06","weekday",551
"130","9","06","weekday",486
"131","10","06","weekday",500
"132","11","06","weekday",452
"133","12","06","weekday",371
"134","13","06","weekday",382
"135","14","06","weekday",417
"136","15","06","weekday",411
"137","16","06","weekday",413
"138","17","06","weekday",458
"139","18","06","weekday",387
"140","19","06","weekday",323
"141","20","06","weekday",213
"142","21","06","weekday",181
"143","22","06","weekday",117
"144","23","06","weekday",87
"145","0","07","weekday",17
"146","1","07","weekday",10
"147","2","07","weekday",10
"148","3","07","weekday",1
"149","4","07","weekday",4
"150","5","07","weekday",16
"151","6","07","weekday",44
"152","7","07","weekday",225
"153","8","07","weekday",395
"154","9","07","weekday",506
"155","10","07","weekday",368
"156","11","07","weekday",379
"157","12","07","weekday",447
"158","13","07","weekday",398
"159","14","07","weekday",411
"160","15","07","weekday",410
"161","16","07","weekday",406
"162","17","07","weekday",234
"163","18","07","weekday",129
"164","19","07","weekday",92
"165","20","07","weekday",40
"166","21","07","weekday",30
"167","22","07","weekday",22
"168","23","07","weekday",13
"169","0","08","weekday",5
"170","1","08","weekday",2
"171","2","08","weekday",3
"172","3","08","weekday",0
"173","4","08","weekday",1
"174","5","08","weekday",3
"175","6","08","weekday",166
"176","7","08","weekday",475
"177","8","08","weekday",417
"178","9","08","weekday",416
"179","10","08","weekday",337
"180","11","08","weekday",348
"181","12","08","weekday",376
"182","13","08","weekday",369
"183","14","08","weekday",397
"184","15","08","weekday",378
"185","16","08","weekday",360
"186","17","08","weekday",330
"187","18","08","weekday",256
"188","19","08","weekday",165
"189","20","08","weekday",80
"190","21","08","weekday",46
"191","22","08","weekday",31
"192","23","08","weekday",9
"193","0","09","weekday",2
"194","1","09","weekday",9
"195","2","09","weekday",5
"196","3","09","weekday",2
"197","4","09","weekday",10
"198","5","09","weekday",6
"199","6","09","weekday",75
"200","7","09","weekday",333
"201","8","09","weekday",373
"202","9","09","weekday",386
"203","10","09","weekday",317
"204","11","09","weekday",330
"205","12","09","weekday",360
"206","13","09","weekday",313
"207","14","09","weekday",321
"208","15","09","weekday",337
"209","16","09","weekday",321
"210","17","09","weekday",274
"211","18","09","weekday",157
"212","19","09","weekday",120
"213","20","09","weekday",60
"214","21","09","weekday",33
"215","22","09","weekday",17
"216","23","09","weekday",9
"217","0","10","weekday",5
"218","1","10","weekday",7
"219","2","10","weekday",0
"220","3","10","weekday",1
"221","4","10","weekday",1
"222","5","10","weekday",105
"223","6","10","weekday",424
"224","7","10","weekday",285
"225","8","10","weekday",52
"226","9","10","weekday",50
"227","10","10","weekday",133
"228","11","10","weekday",166
"229","12","10","weekday",100
"230","13","10","weekday",113
"231","14","10","weekday",118
"232","15","10","weekday",166
"233","16","10","weekday",141
"234","17","10","weekday",45
"235","18","10","weekday",20
"236","19","10","weekday",39
"237","20","10","weekday",18
"238","21","10","weekday",30
"239","22","10","weekday",122
"240","23","10","weekday",8
"241","0","11","weekday",7
"242","1","11","weekday",2
"243","2","11","weekday",1
"244","3","11","weekday",1
"245","4","11","weekday",2
"246","5","11","weekday",41
"247","6","11","weekday",147
"248","7","11","weekday",477
"249","8","11","weekday",414
"250","9","11","weekday",310
"251","10","11","weekday",297
"252","11","11","weekday",289
"253","12","11","weekday",306
"254","13","11","weekday",282
"255","14","11","weekday",282
"256","15","11","weekday",323
"257","16","11","weekday",305
"258","17","11","weekday",221
"259","18","11","weekday",176
"260","19","11","weekday",88
"261","20","11","weekday",58
"262","21","11","weekday",46
"263","22","11","weekday",27
"264","23","11","weekday",15
"265","0","12","weekday",2
"266","1","12","weekday",3
"267","2","12","weekday",1
"268","3","12","weekday",0
"269","4","12","weekday",1
"270","5","12","weekday",13
"271","6","12","weekday",129
"272","7","12","weekday",310
"273","8","12","weekday",396
"274","9","12","weekday",320
"275","10","12","weekday",231
"276","11","12","weekday",278
"277","12","12","weekday",312
"278","13","12","weekday",288
"279","14","12","weekday",289
"280","15","12","weekday",309
"281","16","12","weekday",249
"282","17","12","weekday",232
"283","18","12","weekday",194
"284","19","12","weekday",102
"285","20","12","weekday",42
"286","21","12","weekday",21
"287","22","12","weekday",11
"288","23","12","weekday",28
"289","0","13","weekday",4
"290","1","13","weekday",1
"291","2","13","weekday",1
"292","3","13","weekday",0
"293","4","13","weekday",3
"294","5","13","weekday",6
"295","6","13","weekday",168
"296","7","13","weekday",305
"297","8","13","weekday",290
"298","9","13","weekday",283
"299","10","13","weekday",266
"300","11","13","weekday",344
"301","12","13","weekday",369
"302","13","13","weekday",284
"303","14","13","weekday",308
"304","15","13","weekday",331
"305","16","13","weekday",278
"306","17","13","weekday",261
"307","18","13","weekday",187
"308","19","13","weekday",65
"309","20","13","weekday",35
"310","21","13","weekday",39
"311","22","13","weekday",18
"312","23","13","weekday",15
"313","0","14","weekday",11
"314","1","14","weekday",6
"315","2","14","weekday",3
"316","3","14","weekday",4
"317","4","14","weekday",5
"318","5","14","weekday",12
"319","6","14","weekday",81
"320","7","14","weekday",316
"321","8","14","weekday",382
"322","9","14","weekday",458
"323","10","14","weekday",368
"324","11","14","weekday",408
"325","12","14","weekday",393
"326","13","14","weekday",384
"327","14","14","weekday",436
"328","15","14","weekday",419
"329","16","14","weekday",424
"330","17","14","weekday",272
"331","18","14","weekday",154
"332","19","14","weekday",70
"333","20","14","weekday",56
"334","21","14","weekday",34
"335","22","14","weekday",23
"336","23","14","weekday",9
"337","0","15","weekday",8
"338","1","15","weekday",6
"339","2","15","weekday",5
"340","3","15","weekday",3
"341","4","15","weekday",7
"342","5","15","weekday",21
"343","6","15","weekday",66
"344","7","15","weekday",397
"345","8","15","weekday",382
"346","9","15","weekday",341
"347","10","15","weekday",300
"348","11","15","weekday",306
"349","12","15","weekday",273
"350","13","15","weekday",357
"351","14","15","weekday",337
"352","15","15","weekday",368
"353","16","15","weekday",318
"354","17","15","weekday",196
"355","18","15","weekday",122
"356","19","15","weekday",71
"357","20","15","weekday",59
"358","21","15","weekday",20
"359","22","15","weekday",19
"360","23","15","weekday",13
"361","0","B1","weekday",24
"362","1","B1","weekday",21
"363","2","B1","weekday",6
"364","3","B1","weekday",8
"365","4","B1","weekday",12
"366","5","B1","weekday",10
"367","6","B1","weekday",166
"368","7","B1","weekday",399
"369","8","B1","weekday",592
"370","9","B1","weekday",550
"371","10","B1","weekday",542
"372","11","B1","weekday",747
"373","12","B1","weekday",755
"374","13","B1","weekday",618
"375","14","B1","weekday",592
"376","15","B1","weekday",537
"377","16","B1","weekday",617
"378","17","B1","weekday",695
"379","18","B1","weekday",580
"380","19","B1","weekday",369
"381","20","B1","weekday",239
"382","21","B1","weekday",87
"383","22","B1","weekday",66
"384","23","B1","weekday",58
"385","0","B3","weekday",10
"386","1","B3","weekday",13
"387","2","B3","weekday",9
"388","3","B3","weekday",5
"389","4","B3","weekday",2
"390","5","B3","weekday",0
"391","6","B3","weekday",15
"392","7","B3","weekday",65
"393","8","B3","weekday",104
"394","9","B3","weekday",118
"395","10","B3","weekday",127
"396","11","B3","weekday",131
"397","12","B3","weekday",101
"398","13","B3","weekday",151
"399","14","B3","weekday",167
"400","15","B3","weekday",199
"401","16","B3","weekday",259
"402","17","B3","weekday",353
"403","18","B3","weekday",355
"404","19","B3","weekday",233
"405","20","B3","weekday",176
"406","21","B3","weekday",136
"407","22","B3","weekday",110
"408","23","B3","weekday",61
"409","0","B4","weekday",3
"410","1","B4","weekday",7
"411","2","B4","weekday",4
"412","3","B4","weekday",4
"413","4","B4","weekday",6
"414","5","B4","weekday",5
"415","6","B4","weekday",147
"416","7","B4","weekday",347
"417","8","B4","weekday",528
"418","9","B4","weekday",509
"419","10","B4","weekday",432
"420","11","B4","weekday",454
"421","12","B4","weekday",419
"422","13","B4","weekday",521
"423","14","B4","weekday",500
"424","15","B4","weekday",521
"425","16","B4","weekday",509
"426","17","B4","weekday",467
"427","18","B4","weekday",410
"428","19","B4","weekday",243
"429","20","B4","weekday",140
"430","21","B4","weekday",101
"431","22","B4","weekday",67
"432","23","B4","weekday",24
"433","0","01","weekend",17
"434","1","01","weekend",4
"435","2","01","weekend",5
"436","3","01","weekend",4
"437","4","01","weekend",3
"438","5","01","weekend",28
"439","6","01","weekend",88
"440","7","01","weekend",104
"441","8","01","weekend",136
"442","9","01","weekend",120
"443","10","01","weekend",160
"444","11","01","weekend",204
"445","12","01","weekend",207
"446","13","01","weekend",185
"447","14","01","weekend",199
"448","15","01","weekend",190
"449","16","01","weekend",212
"450","17","01","weekend",218
"451","18","01","weekend",139
"452","19","01","weekend",103
"453","20","01","weekend",80
"454","21","01","weekend",83
"455","22","01","weekend",87
"456","23","01","weekend",36
"457","0","02","weekend",0
"458","1","02","weekend",0
"459","2","02","weekend",0
"460","3","02","weekend",1
"461","4","02","weekend",0
"462","5","02","weekend",0
"463","6","02","weekend",3
"464","7","02","weekend",10
"465","8","02","weekend",23
"466","9","02","weekend",20
"467","10","02","weekend",16
"468","11","02","weekend",16
"469","12","02","weekend",27
"470","13","02","weekend",24
"471","14","02","weekend",14
"472","15","02","weekend",16
"473","16","02","weekend",9
"474","17","02","weekend",13
"475","18","02","weekend",6
"476","19","02","weekend",8
"477","20","02","weekend",4
"478","21","02","weekend",12
"479","22","02","weekend",1
"480","23","02","weekend",1
"481","0","03","weekend",2
"482","1","03","weekend",2
"483","2","03","weekend",2
"484","3","03","weekend",5
"485","4","03","weekend",2
"486","5","03","weekend",1
"487","6","03","weekend",8
"488","7","03","weekend",43
"489","8","03","weekend",55
"490","9","03","weekend",22
"491","10","03","weekend",29
"492","11","03","weekend",42
"493","12","03","weekend",64
"494","13","03","weekend",48
"495","14","03","weekend",24
"496","15","03","weekend",21
"497","16","03","weekend",26
"498","17","03","weekend",14
"499","18","03","weekend",10
"500","19","03","weekend",7
"501","20","03","weekend",10
"502","21","03","weekend",8
"503","22","03","weekend",7
"504","23","03","weekend",2
"505","0","04","weekend",3
"506","1","04","weekend",1
"507","2","04","weekend",2
"508","3","04","weekend",5
"509","4","04","weekend",3
"510","5","04","weekend",1
"511","6","04","weekend",9
"512","7","04","weekend",72
"513","8","04","weekend",70
"514","9","04","weekend",29
"515","10","04","weekend",37
"516","11","04","weekend",28
"517","12","04","weekend",72
"518","13","04","weekend",62
"519","14","04","weekend",44
"520","15","04","weekend",34
"521","16","04","weekend",28
"522","17","04","weekend",28
"523","18","04","weekend",23
"524","19","04","weekend",18
"525","20","04","weekend",12
"526","21","04","weekend",13
"527","22","04","weekend",13
"528","23","04","weekend",24
"529","0","05","weekend",4
"530","1","05","weekend",2
"531","2","05","weekend",3
"532","3","05","weekend",3
"533","4","05","weekend",0
"534","5","05","weekend",1
"535","6","05","weekend",18
"536","7","05","weekend",44
"537","8","05","weekend",84
"538","9","05","weekend",60
"539","10","05","weekend",54
"540","11","05","weekend",53
"541","12","05","weekend",68
"542","13","05","weekend",78
