"","hour","floor","direction","week","count"
"1","0","01","down","weekday",19
"2","1","01","down","weekday",12
"3","2","01","down","weekday",5
"4","3","01","down","weekday",13
"5","4","01","down","weekday",8
"6","5","01","down","weekday",15
"7","6","01","down","weekday",72
"8","7","01","down","weekday",150
"9","8","01","down","weekday",91
"10","9","01","down","weekday",121
"11","10","01","down","weekday",136
"12","11","01","down","weekday",127
"13","12","01","down","weekday",131
"14","13","01","down","weekday",157
"15","14","01","down","weekday",138
"16","15","01","down","weekday",129
"17","16","01","down","weekday",112
"18","17","01","down","weekday",85
"19","18","01","down","weekday",88
"20","19","01","down","weekday",62
"21","20","01","down","weekday",68
"22","21","01","down","weekday",62
"23","22","01","down","weekday",54
"24","23","01","down","weekday",34
"25","0","02","down","weekday",0
"26","1","02","down","weekday",0
"27","2","02","down","weekday",0
"28","3","02","down","weekday",1
"29","4","02","down","weekday",0
"30","5","02","down","weekday",3
"31","6","02","down","weekday",6
"32","7","02","down","weekday",19
"33","8","02","down","weekday",57
"34","9","02","down","weekday",85
"35","10","02","down","weekday",93
"36","11","02","down","weekday",86
"37","12","02","down","weekday",79
"38","13","02","down","weekday",75
"39","14","02","down","weekday",94
"40","15","02","down","weekday",93
"41","16","02","down","weekday",76
"42","17","02","down","weekday",39
"43","18","02","down","weekday",27
"44","19","02","down","weekday",6
"45","20","02","down","weekday",10
"46","21","02","down","weekday",4
"47","22","02","down","weekday",4
"48","23","02","down","weekday",3
"49","0","04","down","weekday",33
"50","1","04","down","weekday",14
"51","2","04","down","weekday",8
"52","3","04","down","weekday",7
"53","4","04","down","weekday",3
"54","5","04","down","weekday",1
"55","6","04","down","weekday",15
"56","7","04","down","weekday",57
"57","8","04","down","weekday",129
"58","9","04","down","weekday",131
"59","10","04","down","weekday",136
"60","11","04","down","weekday",203
"61","12","04","down","weekday",234
"62","13","04","down","weekday",175
"63","14","04","down","weekday",188
"64","15","04","down","weekday",217
"65","16","04","down","weekday",163
"66","17","04","down","weekday",194
"67","18","04","down","weekday",142
"68","19","04","down","weekday",98
"69","20","04","down","weekday",202
"70","21","04","down","weekday",76
"71","22","04","down","weekday",31
"72","23","04","down","weekday",12
"73","0","08","down","weekday",55
"74","1","08","down","weekday",30
"75","2","08","down","weekday",13
"76","3","08","down","weekday",16
"77","4","08","down","weekday",15
"78","5","08","down","weekday",21
"79","6","08","down","weekday",112
"80","7","08","down","weekday",233
"81","8","08","down","weekday",293
"82","9","08","down","weekday",317
"83","10","08","down","weekday",279
"84","11","08","down","weekday",292
"85","12","08","down","weekday",313
"86","13","08","down","weekday",269
"87","14","08","down","weekday",250
"88","15","08","down","weekday",289
"89","16","08","down","weekday",314
"90","17","08","down","weekday",356
"91","18","08","down","weekday",324
"92","19","08","down","weekday",317
"93","20","08","down","weekday",269
"94","21","08","down","weekday",230
"95","22","08","down","weekday",113
"96","23","08","down","weekday",39
"97","0","09","down","weekday",63
"98","1","09","down","weekday",36
"99","2","09","down","weekday",29
"100","3","09","down","weekday",15
"101","4","09","down","weekday",20
"102","5","09","down","weekday",37
"103","6","09","down","weekday",183
"104","7","09","down","weekday",283
"105","8","09","down","weekday",339
"106","9","09","down","weekday",355
"107","10","09","down","weekday",326
"108","11","09","down","weekday",324
"109","12","09","down","weekday",358
"110","13","09","down","weekday",336
"111","14","09","down","weekday",331
"112","15","09","down","weekday",354
"113","16","09","down","weekday",355
"114","17","09","down","weekday",419
"115","18","09","down","weekday",391
"116","19","09","down","weekday",360
"117","20","09","down","weekday",372
"118","21","09","down","weekday",307
"119","22","09","down","weekday",171
"120","23","09","down","weekday",75
"121","0","10","down","weekday",5
"122","1","10","down","weekday",4
"123","2","10","down","weekday",0
"124","3","10","down","weekday",1
"125","4","10","down","weekday",0
"126","5","10","down","weekday",2
"127","6","10","down","weekday",4
