"","hour","floor","direction","week","count"
"1","0","01","down","weekday",76
"2","1","01","down","weekday",90
"3","2","01","down","weekday",88
"4","3","01","down","weekday",79
"5","4","01","down","weekday",72
"6","5","01","down","weekday",133
"7","6","01","down","weekday",540
"8","7","01","down","weekday",347
"9","8","01","down","weekday",268
"10","9","01","down","weekday",262
"11","10","01","down","weekday",248
"12","11","01","down","weekday",216
"13","12","01","down","weekday",238
"14","13","01","down","weekday",250
"15","14","01","down","weekday",234
"16","15","01","down","weekday",246
"17","16","01","down","weekday",321
"18","17","01","down","weekday",282
"19","18","01","down","weekday",241
"20","19","01","down","weekday",232
"21","20","01","down","weekday",182
"22","21","01","down","weekday",174
"23","22","01","down","weekday",237
"24","23","01","down","weekday",158
"25","0","02","down","weekday",4
"26","1","02","down","weekday",9
"27","2","02","down","weekday",4
"28","3","02","down","weekday",8
"29","4","02","down","weekday",5
"30","5","02","down","weekday",3
"31","6","02","down","weekday",21
"32","7","02","down","weekday",44
"33","8","02","down","weekday",106
"34","9","02","down","weekday",158
"35","10","02","down","weekday",138
"36","11","02","down","weekday",134
"37","12","02","down","weekday",76
"38","13","02","down","weekday",110
"39","14","02","down","weekday",142
"40","15","02","down","weekday",150
"41","16","02","down","weekday",152
"42","17","02","down","weekday",77
"43","18","02","down","weekday",53
"44","19","02","down","weekday",38
"45","20","02","down","weekday",14
"46","21","02","down","weekday",14
"47","22","02","down","weekday",13
"48","23","02","down","weekday",14
"49","0","03","down","weekday",56
"50","1","03","down","weekday",57
"51","2","03","down","weekday",44
"52","3","03","down","weekday",33
"53","4","03","down","weekday",53
"54","5","03","down","weekday",38
"55","6","03","down","weekday",55
"56","7","03","down","weekday",89
"57","8","03","down","weekday",183
"58","9","03","down","weekday",213
"59","10","03","down","weekday",207
"60","11","03","down","weekday",210
"61","12","03","down","weekday",203
"62","13","03","down","weekday",186
"63","14","03","down","weekday",221
"64","15","03","down","weekday",224
"65","16","03","down","weekday",267
"66","17","03","down","weekday",265
"67","18","03","down","weekday",179
"68","19","03","down","weekday",118
"69","20","03","down","weekday",186
"70","21","03","down","weekday",124
"71","22","03","down","weekday",109
"72","23","03","down","weekday",88
"73","0","04","down","weekday",45
"74","1","04","down","weekday",41
"75","2","04","down","weekday",44
"76","3","04","down","weekday",43
"77","4","04","down","weekday",61
"78","5","04","down","weekday",23
"79","6","04","down","weekday",17
"80","7","04","down","weekday",154
"81","8","04","down","weekday",221
"82","9","04","down","weekday",184
"83","10","04","down","weekday",166
"84","11","04","down","weekday",207
"85","12","04","down","weekday",222
"86","13","04","down","weekday",183
"87","14","04","down","weekday",197
"88","15","04","down","weekday",195
"89","16","04","down","weekday",239
"90","17","04","down","weekday",232
"91","18","04","down","weekday",211
"92","19","04","down","weekday",160
"93","20","04","down","weekday",183
"94","21","04","down","weekday",105
"95","22","04","down","weekday",118
"96","23","04","down","weekday",50
"97","0","05","down","weekday",83
"98","1","05","down","weekday",53
"99","2","05","down","weekday",46
"100","3","05","down","weekday",50
"101","4","05","down","weekday",59
"102","5","05","down","weekday",46
"103","6","05","down","weekday",107
"104","7","05","down","weekday",249
"105","8","05","down","weekday",317
"106","9","05","down","weekday",327
"107","10","05","down","weekday",306
"108","11","05","down","weekday",393
"109","12","05","down","weekday",386
"110","13","05","down","weekday",317
"111","14","05","down","weekday",418
"112","15","05","down","weekday",376
"113","16","05","down","weekday",469
"114","17","05","down","weekday",396
"115","18","05","down","weekday",323
"116","19","05","down","weekday",221
"117","20","05","down","weekday",261
"118","21","05","down","weekday",156
"119","22","05","down","weekday",126
"120","23","05","down","weekday",55
"121","0","06","down","weekday",46
"122","1","06","down","weekday",42
"123","2","06","down","weekday",14
"124","3","06","down","weekday",12
"125","4","06","down","weekday",15
"126","5","06","down","weekday",23
"127","6","06","down","weekday",69
"128","7","06","down","weekday",190
"129","8","06","down","weekday",227
"130","9","06","down","weekday",220
"131","10","06","down","weekday",219
"132","11","06","down","weekday",256
"133","12","06","down","weekday",249
"134","13","06","down","weekday",243
"135","14","06","down","weekday",227
"136","15","06","down","weekday",238
"137","16","06","down","weekday",305
"138","17","06","down","weekday",317
"139","18","06","down","weekday",272
"140","19","06","down","weekday",254
"141","20","06","down","weekday",195
"142","21","06","down","weekday",145
"143","22","06","down","weekday",111
"144","23","06","down","weekday",47
"145","0","07","down","weekday",44
"146","1","07","down","weekday",29
"147","2","07","down","weekday",27
"148","3","07","down","weekday",12
"149","4","07","down","weekday",19
"150","5","07","down","weekday",25
"151","6","07","down","weekday",79
"152","7","07","down","weekday",176
"153","8","07","down","weekday",184
"154","9","07","down","weekday",201
"155","10","07","down","weekday",191
"156","11","07","down","weekday",244
"157","12","07","down","weekday",254
"158","13","07","down","weekday",228
"159","14","07","down","weekday",216
"160","15","07","down","weekday",239
"161","16","07","down","weekday",297
"162","17","07","down","weekday",309
"163","18","07","down","weekday",270
"164","19","07","down","weekday",207
"165","20","07","down","weekday",188
"166","21","07","down","weekday",130
"167","22","07","down","weekday",121
"168","23","07","down","weekday",55
"169","0","08","down","weekday",33
"170","1","08","down","weekday",31
"171","2","08","down","weekday",12
"172","3","08","down","weekday",10
"173","4","08","down","weekday",11
"174","5","08","down","weekday",17
"175","6","08","down","weekday",57
"176","7","08","down","weekday",220
"177","8","08","down","weekday",212
"178","9","08","down","weekday",205
"179","10","08","down","weekday",218
"180","11","08","down","weekday",226
"181","12","08","down","weekday",228
"182","13","08","down","weekday",213
"183","14","08","down","weekday",198
"184","15","08","down","weekday",216
"185","16","08","down","weekday",256
"186","17","08","down","weekday",280
"187","18","08","down","weekday",269
"188","19","08","down","weekday",227
"189","20","08","down","weekday",217
"190","21","08","down","weekday",129
"191","22","08","down","weekday",77
"192","23","08","down","weekday",42
"193","0","09","down","weekday",70
"194","1","09","down","weekday",46
"195","2","09","down","weekday",38
"196","3","09","down","weekday",21
"197","4","09","down","weekday",17
"198","5","09","down","weekday",19
"199","6","09","down","weekday",83
"200","7","09","down","weekday",211
"201","8","09","down","weekday",243
"202","9","09","down","weekday",253
"203","10","09","down","weekday",233
"204","11","09","down","weekday",244
"205","12","09","down","weekday",270
"206","13","09","down","weekday",236
"207","14","09","down","weekday",223
"208","15","09","down","weekday",248
"209","16","09","down","weekday",316
"210","17","09","down","weekday",421
"211","18","09","down","weekday",368
"212","19","09","down","weekday",306
"213","20","09","down","weekday",236
"214","21","09","down","weekday",140
"215","22","09","down","weekday",97
"216","23","09","down","weekday",41
"217","0","10","down","weekday",10
"218","1","10","down","weekday",3
"219","2","10","down","weekday",8
"220","3","10","down","weekday",10
"221","4","10","down","weekday",5
"222","5","10","down","weekday",1
"223","6","10","down","weekday",17
"224","7","10","down","weekday",24
"225","8","10","down","weekday",143
"226","9","10","down","weekday",130
"227","10","10","down","weekday",188
"228","11","10","down","weekday",173
"229","12","10","down","weekday",119
"230","13","10","down","weekday",153
"231","14","10","down","weekday",230
"232","15","10","down","weekday",209
"233","16","10","down","weekday",256
"234","17","10","down","weekday",243
"235","18","10","down","weekday",151
"236","19","10","down","weekday",125
"237","20","10","down","weekday",104
"238","21","10","down","weekday",103
"239","22","10","down","weekday",53
"240","23","10","down","weekday",10
"241","0","11","down","weekday",55
"242","1","11","down","weekday",40
"243","2","11","down","weekday",23
"244","3","11","down","weekday",14
"245","4","11","down","weekday",20
"246","5","11","down","weekday",31
"247","6","11","down","weekday",96
"248","7","11","down","weekday",282
"249","8","11","down","weekday",262
"250","9","11","down","weekday",251
"251","10","11","down","weekday",246
"252","11","11","down","weekday",252
"253","12","11","down","weekday",265
"254","13","11","down","weekday",263
"255","14","11","down","weekday",221
"256","15","11","down","weekday",233
"257","16","11","down","weekday",347
"258","17","11","down","weekday",402
"259","18","11","down","weekday",364
"260","19","11","down","weekday",309
"261","20","11","down","weekday",293
"262","21","11","down","weekday",239
"263","22","11","down","weekday",130
"264","23","11","down","weekday",56
"265","0","12","down","weekday",48
"266","1","12","down","weekday",33
"267","2","12","down","weekday",24
"268","3","12","down","weekday",15
"269","4","12","down","weekday",19
"270","5","12","down","weekday",29
"271","6","12","down","weekday",62
"272","7","12","down","weekday",192
"273","8","12","down","weekday",233
"274","9","12","down","weekday",206
"275","10","12","down","weekday",221
"276","11","12","down","weekday",223
"277","12","12","down","weekday",232
"278","13","12","down","weekday",224
"279","14","12","down","weekday",230
"280","15","12","down","weekday",235
"281","16","12","down","weekday",306
"282","17","12","down","weekday",389
"283","18","12","down","weekday",323
"284","19","12","down","weekday",266
"285","20","12","down","weekday",241
"286","21","12","down","weekday",140
"287","22","12","down","weekday",111
"288","23","12","down","weekday",63
"289","0","13","down","weekday",43
"290","1","13","down","weekday",33
"291","2","13","down","weekday",12
"292","3","13","down","weekday",13
"293","4","13","down","weekday",9
"294","5","13","down","weekday",27
"295","6","13","down","weekday",85
"296","7","13","down","weekday",210
"297","8","13","down","weekday",265
"298","9","13","down","weekday",215
"299","10","13","down","weekday",231
"300","11","13","down","weekday",238
"301","12","13","down","weekday",229
"302","13","13","down","weekday",229
"303","14","13","down","weekday",222
"304","15","13","down","weekday",221
"305","16","13","down","weekday",288
"306","17","13","down","weekday",351
"307","18","13","down","weekday",303
"308","19","13","down","weekday",251
"309","20","13","down","weekday",218
"310","21","13","down","weekday",159
"311","22","13","down","weekday",101
"312","23","13","down","weekday",64
"313","0","14","down","weekday",39
"314","1","14","down","weekday",33
"315","2","14","down","weekday",19
"316","3","14","down","weekday",20
"317","4","14","down","weekday",17
"318","5","14","down","weekday",45
"319","6","14","down","weekday",87
"320","7","14","down","weekday",149
"321","8","14","down","weekday",188
"322","9","14","down","weekday",220
"323","10","14","down","weekday",189
"324","11","14","down","weekday",212
"325","12","14","down","weekday",230
"326","13","14","down","weekday",209
"327","14","14","down","weekday",208
"328","15","14","down","weekday",204
"329","16","14","down","weekday",262
"330","17","14","down","weekday",315
