"","hour","floor","direction","week","count"
"1","0","01","down","weekday",31
"2","1","01","down","weekday",17
"3","2","01","down","weekday",3
"4","3","01","down","weekday",11
"5","4","01","down","weekday",19
"6","5","01","down","weekday",20
"7","6","01","down","weekday",102
"8","7","01","down","weekday",182
"9","8","01","down","weekday",212
"10","9","01","down","weekday",176
"11","10","01","down","weekday",203
"12","11","01","down","weekday",219
"13","12","01","down","weekday",196
"14","13","01","down","weekday",197
"15","14","01","down","weekday",185
"16","15","01","down","weekday",202
"17","16","01","down","weekday",206
"18","17","01","down","weekday",163
"19","18","01","down","weekday",136
"20","19","01","down","weekday",120
"21","20","01","down","weekday",65
"22","21","01","down","weekday",63
"23","22","01","down","weekday",43
"24","23","01","down","weekday",40
"25","0","02","down","weekday",1
"26","1","02","down","weekday",2
"27","2","02","down","weekday",1
"28","3","02","down","weekday",2
"29","4","02","down","weekday",4
"30","5","02","down","weekday",0
"31","6","02","down","weekday",19
"32","7","02","down","weekday",14
"33","8","02","down","weekday",32
"34","9","02","down","weekday",57
"35","10","02","down","weekday",53
"36","11","02","down","weekday",63
"37","12","02","down","weekday",42
"38","13","02","down","weekday",69
"39","14","02","down","weekday",54
"40","15","02","down","weekday",63
"41","16","02","down","weekday",60
"42","17","02","down","weekday",32
"43","18","02","down","weekday",33
"44","19","02","down","weekday",23
"45","20","02","down","weekday",17
"46","21","02","down","weekday",7
"47","22","02","down","weekday",3
"48","23","02","down","weekday",2
"49","0","03","down","weekday",93
"50","1","03","down","weekday",48
"51","2","03","down","weekday",16
"52","3","03","down","weekday",10
"53","4","03","down","weekday",9
"54","5","03","down","weekday",9
"55","6","03","down","weekday",111
"56","7","03","down","weekday",134
"57","8","03","down","weekday",225
"58","9","03","down","weekday",197
"59","10","03","down","weekday",224
"60","11","03","down","weekday",227
"61","12","03","down","weekday",210
"62","13","03","down","weekday",223
"63","14","03","down","weekday",236
"64","15","03","down","weekday",293
"65","16","03","down","weekday",275
"66","17","03","down","weekday",284
"67","18","03","down","weekday",240
"68","19","03","down","weekday",211
"69","20","03","down","weekday",291
"70","21","03","down","weekday",170
"71","22","03","down","weekday",261
"72","23","03","down","weekday",238
"73","0","04","down","weekday",190
"74","1","04","down","weekday",45
"75","2","04","down","weekday",11
"76","3","04","down","weekday",7
"77","4","04","down","weekday",7
"78","5","04","down","weekday",8
"79","6","04","down","weekday",23
"80","7","04","down","weekday",82
"81","8","04","down","weekday",194
"82","9","04","down","weekday",196
"83","10","04","down","weekday",199
"84","11","04","down","weekday",207
"85","12","04","down","weekday",221
"86","13","04","down","weekday",193
"87","14","04","down","weekday",259
"88","15","04","down","weekday",296
"89","16","04","down","weekday",306
"90","17","04","down","weekday",189
"91","18","04","down","weekday",141
"92","19","04","down","weekday",131
"93","20","04","down","weekday",344
"94","21","04","down","weekday",105
"95","22","04","down","weekday",60
"96","23","04","down","weekday",66
"97","0","05","down","weekday",56
"98","1","05","down","weekday",54
"99","2","05","down","weekday",33
"100","3","05","down","weekday",15
"101","4","05","down","weekday",13
"102","5","05","down","weekday",28
"103","6","05","down","weekday",83
"104","7","05","down","weekday",145
"105","8","05","down","weekday",192
"106","9","05","down","weekday",239
"107","10","05","down","weekday",232
"108","11","05","down","weekday",195
"109","12","05","down","weekday",203
"110","13","05","down","weekday",220
"111","14","05","down","weekday",240
"112","15","05","down","weekday",230
"113","16","05","down","weekday",264
"114","17","05","down","weekday",264
"115","18","05","down","weekday",261
"116","19","05","down","weekday",271
"117","20","05","down","weekday",223
"118","21","05","down","weekday",170
"119","22","05","down","weekday",101
"120","23","05","down","weekday",37
"121","0","06","down","weekday",59
"122","1","06","down","weekday",58
"123","2","06","down","weekday",21
"124","3","06","down","weekday",20
"125","4","06","down","weekday",23
"126","5","06","down","weekday",60
"127","6","06","down","weekday",216
"128","7","06","down","weekday",266
"129","8","06","down","weekday",334
"130","9","06","down","weekday",309
"131","10","06","down","weekday",312
"132","11","06","down","weekday",232
"133","12","06","down","weekday",249
"134","13","06","down","weekday",262
"135","14","06","down","weekday",275
"136","15","06","down","weekday",315
"137","16","06","down","weekday",307
"138","17","06","down","weekday",305
"139","18","06","down","weekday",349
"140","19","06","down","weekday",339
"141","20","06","down","weekday",345
"142","21","06","down","weekday",281
"143","22","06","down","weekday",153
"144","23","06","down","weekday",75
