"","hour","floor","direction","week","count"
"1","0","01","down","weekday",22
"2","1","01","down","weekday",30
"3","2","01","down","weekday",41
"4","3","01","down","weekday",20
"5","4","01","down","weekday",24
"6","5","01","down","weekday",14
"7","6","01","down","weekday",79
"8","7","01","down","weekday",125
"9","8","01","down","weekday",152
"10","9","01","down","weekday",118
"11","10","01","down","weekday",170
"12","11","01","down","weekday",117
"13","12","01","down","weekday",200
"14","13","01","down","weekday",120
"15","14","01","down","weekday",178
"16","15","01","down","weekday",173
"17","16","01","down","weekday",164
"18","17","01","down","weekday",80
"19","18","01","down","weekday",90
"20","19","01","down","weekday",109
"21","20","01","down","weekday",114
"22","21","01","down","weekday",69
"23","22","01","down","weekday",63
"24","23","01","down","weekday",24
"25","0","02","down","weekday",20
"26","1","02","down","weekday",10
"27","2","02","down","weekday",12
"28","3","02","down","weekday",11
"29","4","02","down","weekday",16
"30","5","02","down","weekday",4
"31","6","02","down","weekday",3
"32","7","02","down","weekday",7
"33","8","02","down","weekday",22
"34","9","02","down","weekday",73
"35","10","02","down","weekday",87
"36","11","02","down","weekday",64
"37","12","02","down","weekday",39
"38","13","02","down","weekday",44
"39","14","02","down","weekday",42
"40","15","02","down","weekday",74
"41","16","02","down","weekday",50
"42","17","02","down","weekday",47
"43","18","02","down","weekday",22
"44","19","02","down","weekday",12
"45","20","02","down","weekday",8
"46","21","02","down","weekday",9
"47","22","02","down","weekday",14
"48","23","02","down","weekday",16
"49","0","03","down","weekday",41
"50","1","03","down","weekday",27
"51","2","03","down","weekday",37
"52","3","03","down","weekday",19
"53","4","03","down","weekday",27
"54","5","03","down","weekday",14
"55","6","03","down","weekday",44
"56","7","03","down","weekday",128
"57","8","03","down","weekday",169
"58","9","03","down","weekday",120
"59","10","03","down","weekday",185
"60","11","03","down","weekday",148
"61","12","03","down","weekday",259
"62","13","03","down","weekday",132
"63","14","03","down","weekday",141
"64","15","03","down","weekday",204
"65","16","03","down","weekday",146
"66","17","03","down","weekday",217
"67","18","03","down","weekday",188
"68","19","03","down","weekday",176
"69","20","03","down","weekday",170
"70","21","03","down","weekday",88
"71","22","03","down","weekday",111
"72","23","03","down","weekday",67
"73","0","04","down","weekday",53
"74","1","04","down","weekday",48
"75","2","04","down","weekday",38
"76","3","04","down","weekday",34
"77","4","04","down","weekday",46
"78","5","04","down","weekday",26
"79","6","04","down","weekday",21
"80","7","04","down","weekday",67
"81","8","04","down","weekday",150
"82","9","04","down","weekday",118
"83","10","04","down","weekday",157
"84","11","04","down","weekday",146
"85","12","04","down","weekday",249
"86","13","04","down","weekday",116
"87","14","04","down","weekday",167
"88","15","04","down","weekday",201
"89","16","04","down","weekday",200
"90","17","04","down","weekday",155
"91","18","04","down","weekday",129
"92","19","04","down","weekday",137
"93","20","04","down","weekday",233
"94","21","04","down","weekday",95
"95","22","04","down","weekday",105
"96","23","04","down","weekday",56
"97","0","05","down","weekday",33
"98","1","05","down","weekday",21
"99","2","05","down","weekday",26
"100","3","05","down","weekday",18
"101","4","05","down","weekday",21
"102","5","05","down","weekday",15
"103","6","05","down","weekday",65
"104","7","05","down","weekday",174
"105","8","05","down","weekday",155
"106","9","05","down","weekday",183
"107","10","05","down","weekday",235
"108","11","05","down","weekday",160
"109","12","05","down","weekday",299
"110","13","05","down","weekday",163
"111","14","05","down","weekday",213
"112","15","05","down","weekday",171
"113","16","05","down","weekday",196
"114","17","05","down","weekday",212
"115","18","05","down","weekday",240
"116","19","05","down","weekday",182
"117","20","05","down","weekday",183
"118","21","05","down","weekday",118
"119","22","05","down","weekday",103
"120","23","05","down","weekday",42
"121","0","06","down","weekday",80
"122","1","06","down","weekday",35
"123","2","06","down","weekday",33
"124","3","06","down","weekday",10
"125","4","06","down","weekday",20
"126","5","06","down","weekday",42
"127","6","06","down","weekday",95
"128","7","06","down","weekday",179
"129","8","06","down","weekday",237
"130","9","06","down","weekday",223
"131","10","06","down","weekday",251
"132","11","06","down","weekday",187
"133","12","06","down","weekday",356
"134","13","06","down","weekday",201
"135","14","06","down","weekday",226
"136","15","06","down","weekday",277
"137","16","06","down","weekday",221
"138","17","06","down","weekday",240
"139","18","06","down","weekday",307
"140","19","06","down","weekday",374
"141","20","06","down","weekday",354
"142","21","06","down","weekday",259
"143","22","06","down","weekday",149
"144","23","06","down","weekday",66
"145","0","07","down","weekday",54
"146","1","07","down","weekday",21
"147","2","07","down","weekday",29
"148","3","07","down","weekday",15
"149","4","07","down","weekday",24
"150","5","07","down","weekday",22
"151","6","07","down","weekday",60
"152","7","07","down","weekday",197
"153","8","07","down","weekday",214
"154","9","07","down","weekday",191
"155","10","07","down","weekday",227
"156","11","07","down","weekday",171
"157","12","07","down","weekday",387
"158","13","07","down","weekday",212
"159","14","07","down","weekday",222
"160","15","07","down","weekday",219
"161","16","07","down","weekday",206
"162","17","07","down","weekday",258
"163","18","07","down","weekday",333
"164","19","07","down","weekday",349
"165","20","07","down","weekday",298
"166","21","07","down","weekday",190
"167","22","07","down","weekday",167
"168","23","07","down","weekday",71
"169","0","08","down","weekday",87
"170","1","08","down","weekday",23
"171","2","08","down","weekday",31
"172","3","08","down","weekday",9
"173","4","08","down","weekday",24
"174","5","08","down","weekday",18
"175","6","08","down","weekday",86
"176","7","08","down","weekday",224
"177","8","08","down","weekday",241
"178","9","08","down","weekday",196
"179","10","08","down","weekday",250
"180","11","08","down","weekday",204
"181","12","08","down","weekday",420
"182","13","08","down","weekday",240
"183","14","08","down","weekday",265
"184","15","08","down","weekday",255
"185","16","08","down","weekday",261
"186","17","08","down","weekday",292
"187","18","08","down","weekday",324
"188","19","08","down","weekday",361
"189","20","08","down","weekday",380
"190","21","08","down","weekday",275
"191","22","08","down","weekday",143
"192","23","08","down","weekday",53
"193","0","09","down","weekday",112
"194","1","09","down","weekday",33
"195","2","09","down","weekday",28
"196","3","09","down","weekday",11
"197","4","09","down","weekday",7
"198","5","09","down","weekday",14
"199","6","09","down","weekday",54
"200","7","09","down","weekday",186
"201","8","09","down","weekday",204
"202","9","09","down","weekday",185
"203","10","09","down","weekday",288
"204","11","09","down","weekday",190
"205","12","09","down","weekday",395
"206","13","09","down","weekday",212
"207","14","09","down","weekday",246
"208","15","09","down","weekday",209
"209","16","09","down","weekday",225
"210","17","09","down","weekday",256
"211","18","09","down","weekday",354
"212","19","09","down","weekday",374
"213","20","09","down","weekday",316
"214","21","09","down","weekday",257
"215","22","09","down","weekday",129
"216","23","09","down","weekday",42
"217","0","10","down","weekday",33
"218","1","10","down","weekday",13
"219","2","10","down","weekday",23
"220","3","10","down","weekday",5
"221","4","10","down","weekday",1
"222","5","10","down","weekday",0
"223","6","10","down","weekday",0
"224","7","10","down","weekday",9
"225","8","10","down","weekday",29
"226","9","10","down","weekday",26
"227","10","10","down","weekday",56
"228","11","10","down","weekday",38
"229","12","10","down","weekday",58
"230","13","10","down","weekday",65
"231","14","10","down","weekday",59
"232","15","10","down","weekday",45
"233","16","10","down","weekday",34
"234","17","10","down","weekday",42
"235","18","10","down","weekday",14
"236","19","10","down","weekday",19
"237","20","10","down","weekday",145
"238","21","10","down","weekday",97
"239","22","10","down","weekday",43
"240","23","10","down","weekday",2
"241","0","11","down","weekday",98
"242","1","11","down","weekday",37
"243","2","11","down","weekday",39
"244","3","11","down","weekday",14
"245","4","11","down","weekday",7
"246","5","11","down","weekday",28
"247","6","11","down","weekday",102
"248","7","11","down","weekday",212
"249","8","11","down","weekday",281
"250","9","11","down","weekday",216
"251","10","11","down","weekday",273
"252","11","11","down","weekday",190
"253","12","11","down","weekday",365
"254","13","11","down","weekday",223
"255","14","11","down","weekday",260
"256","15","11","down","weekday",235
"257","16","11","down","weekday",257
"258","17","11","down","weekday",298
"259","18","11","down","weekday",343
"260","19","11","down","weekday",396
"261","20","11","down","weekday",345
