"","hour","floor","direction","week","count"
"1","0","01","down","weekday",1
"2","1","01","down","weekday",0
"3","2","01","down","weekday",1
"4","3","01","down","weekday",2
"5","4","01","down","weekday",1
"6","5","01","down","weekday",4
"7","6","01","down","weekday",106
"8","7","01","down","weekday",218
"9","8","01","down","weekday",132
"10","9","01","down","weekday",156
"11","10","01","down","weekday",155
"12","11","01","down","weekday",173
"13","12","01","down","weekday",155
"14","13","01","down","weekday",167
"15","14","01","down","weekday",163
"16","15","01","down","weekday",173
"17","16","01","down","weekday",174
"18","17","01","down","weekday",186
"19","18","01","down","weekday",98
"20","19","01","down","weekday",70
"21","20","01","down","weekday",43
"22","21","01","down","weekday",46
"23","22","01","down","weekday",24
"24","23","01","down","weekday",10
"25","0","02","down","weekday",0
"26","1","02","down","weekday",1
"27","2","02","down","weekday",0
"28","3","02","down","weekday",0
"29","4","02","down","weekday",0
"30","5","02","down","weekday",0
"31","6","02","down","weekday",5
"32","7","02","down","weekday",39
"33","8","02","down","weekday",108
"34","9","02","down","weekday",119
"35","10","02","down","weekday",124
"36","11","02","down","weekday",178
"37","12","02","down","weekday",110
"38","13","02","down","weekday",142
"39","14","02","down","weekday",130
"40","15","02","down","weekday",145
"41","16","02","down","weekday",128
"42","17","02","down","weekday",102
"43","18","02","down","weekday",87
"44","19","02","down","weekday",23
"45","20","02","down","weekday",15
"46","21","02","down","weekday",9
"47","22","02","down","weekday",1
"48","23","02","down","weekday",1
"49","0","03","down","weekday",3
"50","1","03","down","weekday",3
"51","2","03","down","weekday",7
"52","3","03","down","weekday",1
"53","4","03","down","weekday",3
"54","5","03","down","weekday",2
"55","6","03","down","weekday",12
"56","7","03","down","weekday",39
"57","8","03","down","weekday",106
"58","9","03","down","weekday",167
"59","10","03","down","weekday",161
"60","11","03","down","weekday",206
"61","12","03","down","weekday",120
"62","13","03","down","weekday",119
"63","14","03","down","weekday",162
"64","15","03","down","weekday",172
"65","16","03","down","weekday",214
"66","17","03","down","weekday",141
"67","18","03","down","weekday",78
"68","19","03","down","weekday",47
"69","20","03","down","weekday",42
"70","21","03","down","weekday",17
"71","22","03","down","weekday",16
"72","23","03","down","weekday",7
"73","0","04","down","weekday",17
"74","1","04","down","weekday",8
"75","2","04","down","weekday",2
"76","3","04","down","weekday",1
"77","4","04","down","weekday",2
"78","5","04","down","weekday",3
"79","6","04","down","weekday",12
